,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X000725.SZ,X003816.SZ,X600031.SH,X000596.SZ,X002371.SZ,X002049.SZ,X000063.SZ,X000625.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X300142.SZ,X000661.SZ,X600522.SH,X002241.SZ,X601877.SH,X000733.SZ,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X000157.SZ,X600702.SH,X600584.SH,X300003.SZ,X600884.SH,X002414.SZ,X000066.SZ,X000799.SZ,X002007.SZ,X600487.SH,X002223.SZ,X002294.SZ,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.168643873770187,0.217720438924819,0.0960194011868781,0.217067442452233,0,0,0.145166428675055,0,0,0,0,0,0,0,0,0,0,0,-0.0792466008745134,0,0,0,0.20293228054273,0,0,0,0,0,0,0,0,-0.00196686959019684,0.0449651670930704,0.00135927176824825,0,0,0,0,0,0,0,0.0410882305640677,0,0,0,0,0,0,0,0,-0.00474184416425678,0,0,0,0,0,0,0
X000858.SZ,0.23996085001965,0,0,0,0.323916017095271,0.100041531813398,0,0,0.0299181222204914,0,0.0885109864765254,0,-0.0155122469713383,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0546442339431644,0,0.0230357521010616,0,0,0,0,0.0476273326348617,0,0,0,0,0.101887239739753,0,0,0,-0.058615208969241,0,0,0,0.0088945230894331,0,0,0,0,-0.0206975685168934,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.900526069065561,0,0,0,0,0,0,0,0.04421579138887,0,0,0,0,0,0.00708293840425849,-0.109882986966781,0,0,0,0,0,-0.0276036450575432,0,0,0.153147520176631,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0397562158025435,0,0,-0.154061184407044,0,0,0,0,0,0,0,0,0,0,-0.0391284089595347,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560982977701881,0,0,0,0,0,0,3.46944695195361e-18,0,-0.00115200725330554,0.00278258966150512,0,0,0.0199658821176211,0.160580188956835,0,0,0,0,0,0,0,0,-0.0334974494051249,0.227968733955865,0.131028078321648,0.094143882088283,0,0,0,0,0.19035343990293,0,0,0,-0.0877590142955979,0,0,0,0,0,0
X000568.SZ,0.449115103809127,0.172482007751398,0.620571733460291,0,0,-0.0965900552856425,0.023802343300503,0.0303610502165996,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101285617466829,0,0,0,0,0,0,0.0984673100017641,0.0826047764856998,0,0.0224978331681035,0,0,0,0,0,0,0,-0.00758824438171661,0,0,0,0,0,0,0.00495217839753105,0,0,1.38777878078145e-17,0,-0.0446201763289484,0.0849745408902183,0,0,0,0,0,0
X600276.SH,0,0.0600408295113935,0,0,0,0,0,0,0,0,0,0,-0.0937421637835595,0,0,0,0,0,0,0,0.0721826519444075,0,0,0,0,0,0,0.0991757543312459,0.0264070014089617,-0.145962614270182,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0689717572322903,0,0,0,0.072527231426594,0.0145042628062159,0,0.0653710835402178,0,0.0387541226608659,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.20891163979232,0,0,0.0729345100971323,0,0,0,0,0,0.0126255403203725,0,0,0,0,0,0,-0.177573480253369,0,0,0,0,0.340717526407718,0,-0.0197586183891123,0,0,0,0,0,0.0846976800442346,0,0,0,0.0949668064433992,0,0,0,-0.0380056994402207,0.0721094714052976,0,0,0,-0.0135557013431345,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0923019228532659,0,0,0,0,0,0.253100910721299,0,0,0.060737784658402,0,0,0,0.124279723893009,0,0,0,0,0,0,0.122741123388114,0,-0.280856164159432,0.000595059194578784,0,0.0564632637760309,0,0,0,0,0,0,0,0,0.101245350901626,0,0,-0.0347170466985273,-0.0428397168100434,0.0397293554523215,0,0.139410132335776,0,0,0,0,0,-0.0116978192951392,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.214847778963635,0,0,0,0,0.0285551570876282,0,0.178703387275863,-0.00680417745210261,0,0,0,0,0.0421084042437868,0,0,0,0,0,0,0.0430790047360163,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0638084383298506,0,0,0,0.218377706544626,0,0,0,-0.242006928633336,0,0,0,0,0.0781721523307452,0,0,0,-0.0202444777613547,-0.0740595477721432,0,0,0,0,0,0
X300124.SZ,0,0,-0.00812457259446788,0,0,0,0.0957452129339753,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.145682295364772,0,0.285669250651921,0,0,-0.199949448361635,0,0,0,0,0,0,0.14061073400739,0,0,0.104377903221964,0,0,0,0,0,0,0,-0.0369259058138731,-0.0606990445457072,0,0,-0.208929864922738,0,0,0,-0.0486347872999266,0,0,0,0,0,0,0,0
