,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X002415.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X600690.SH,X000568.SZ,X600031.SH,X000338.SZ,X600741.SH,X601877.SH,X600703.SH,X000596.SZ,X000661.SZ,X600809.SH,X000100.SZ,X600271.SH,X002236.SZ,X300003.SZ,X300124.SZ,X000625.SZ,X300142.SZ,X002008.SZ,X002007.SZ,X600487.SH,X000157.SZ,X002506.SZ,X000977.SZ,X002456.SZ,X600498.SH,X600776.SH,X002241.SZ,X600066.SH,X000050.SZ,X600522.SH,X600177.SH,X002179.SZ,X600867.SH,X600566.SH,X600089.SH,X002180.SZ,X600183.SH,X002129.SZ,X002371.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.242738339389178,0,0,0,0.0101863627609488,0,0,0,0,0,0,0,0,0,0,0,0.0869890201340575,0,0.0729542497557117,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607032794224353,0,0.011424725019205,0.0110866065512323,0,0.0595116486145797,0,0,0,0,-0.00780356396105488,0,0,-0.0300479165877648,0,0,0,0,0,0.0204686003898196,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.391517040929123,0,0,0.168902432445802,0,0,0,0,0,0.289276080531314,0,0,0,0,0,-0.0388586267292665,0,0,0,0,0,0,0,0.0254422640798414,0,0,0.0849027393247659,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0411787071522297,0,-0.0024177709206976,0.0596413399636911,0,0,0,-0.00663640810957367,0,0
X000651.SZ,0,0,0,0,0,0.221960233933349,0,0,0,0,0.0997984475413131,0,0.201647462730348,0,0.137700197263584,0,0,0.126165215112725,0.0392407042419349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00418130068276398,0,0,-0.0216930443985135,0,0,0,-0.01979802931313,0,0,0,0,0,-0.0143733593685792,0,0,-0.0256362564032884,0,0,0,0,-0.020076460164003,0,0
X600104.SH,0,0,0.0489378824709701,0,0,0,0,0.00212740268273086,0,0.150285909879541,0,0.114407027351354,0,0.0567530570600653,0.253914947461691,0,0,0,0,0,0,0,0,0,0,0.148912889488967,0,0,0,0,0,0,0.0688300121897135,0,0,0,0.0265352946774076,0.00933307647963724,0,0,0,0.00228217451249191,0,0,0,0,0,0,0,0,0,0,-0.0546806063490172,0,0,0,0.0179248085073236,0,0
X002415.SZ,0,0,0.0711205654655261,0,0,0,0,0.0444224319068793,0,0.107614847503415,0,0,0.0431140645875992,0,0.0459885148232887,0,0,0,0,0.019101222218053,0,0,0.243433925027011,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.00265231158629845,0,0,0,0.0284549949516827,0.0113542781549837,0,0,0,-0.0196197647467436,0,0,0,0,0,0,0
X600276.SH,0,0,0.256958857559453,0,0,0,0,0,0,-0.296124833877915,0,0,0,0,0,0,0.237390295117332,0,0.123828171298974,0,0,0,0,0.504848148408015,-0.0381761268283683,0,0,0,0,0,0,-0.068278788804581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390005432516449,0.00923297431256835,0,0,0,0,0,0
X002304.SZ,0,0.0374553011194277,0.0965232960708659,0,0,0,0,0,0,0.033709299328893,0,0.133624795095499,0,0,0,0,0,0.167656808658516,0,0.327377976805544,-0.0297270845866507,0,0,0,0,0,0.000809528049003683,0,0,0,0,0,0.0511030665225514,0,0,0,0,0,0,0,0,0,0.028961173234205,0,0,0,0,0,0,0,0,0.022284164982349,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0664202549425884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493905148541655,0,0,0,0.0246648140735464,0,0,6.93889390390723e-18,0,0.542443387672512,0.149800292790752,0,0,0,0,0,0,0,0,0,0,0.08288010586638,0,0.071400156797813,0,-0.0819033001382137,-0.0222781709666491,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.220687545878857,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.16323716309371,0.0701682209324243,0,0,0,0,0,0,0,0,0,0,0,0.120698388450592,0,0.0153301042395024,0,0.0705491440585807,0.0715309295108766,0,0,0,0,0,0,0,0,0.184760756931062,0,0,0,-0.0257697517565478,0,0,0,0,0.0597147774605765,0,0
X002475.SZ,0,0.00783197443729268,0,0,0,0,0,0.0285878509813642,0,0,0,0,0.0579340858918626,0.018170423682107,0,0,0.166723825687174,0,0,0,0,0,0,0,0,0.0313636683658368,0,0,0,0,0,0,0,0.121308687872178,0,-0.061819426255921,0.0705367566506891,0,0,0,0,0,0,0,0,0,0.0662150599858139,0.116439379393912,0,0,0,0.0496823121976568,0,0,0,0,-0.0596716934873662,0,0
