,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X600741.SH,X000625.SZ,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X300124.SZ,X000100.SZ,X002008.SZ,X601877.SH,X600809.SH,X300136.SZ,X300003.SZ,X002085.SZ,X600487.SH,X002508.SZ,X600089.SH,X600271.SH,X600177.SH,X000157.SZ,X600522.SH,X000050.SZ,X600118.SH,X300115.SZ,X002294.SZ,X600867.SH,X600699.SH,X000559.SZ,X000981.SZ,X600372.SH,X600498.SH,X600566.SH,X000623.SZ,X002179.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0134445030246381,0,0.14600995254554,0,0.117076504294497,0,0,0,0.0306369119492197,0.0681385573872964,0,0,0,0,0,0,0,0,0,0.0115645305395273,0,0,0,0.0466773612737492,0,0,-4.33680868994202e-19,0,0.0638275281129589,0,0,0,0,0,0,0,0,0.0775389266051297,0,0,0,0,0,0,0,0,0,0.0650028810876125,0,0.0068265948242739,-0.0171313047784107,0,0,0,0,0,0
X600104.SH,0,0,0,0.201172553861912,0,0,0,0,0,0,0,0,0,0,0,0.395963137101786,0,-1.73472347597681e-18,0,0,0.151552525373701,0,0,0,0,0,0,0.0216589852774915,0.165306764767839,-0.212902338472937,0,0,0,0,0,0,0,0,0,-0.0362284897776426,0,0,0,0,0,-0.0959690191305996,0,0,0,0.112413280627039,0,0.0138815783007468,-0.00696741859625788,-0.0798572796757162,0,0,0,0,0
X002415.SZ,0,0,0,0,0.02778142414765,0,0,0,0,0.289709892616554,0,0,0.169667724846199,0,0,0.0927669756961093,0,0,0.0384201055325338,0,0,0,0,0,0,0.0528609224773532,0,0.0850634867380498,0.0529556702214071,0,0.00924437452062506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131168285178686,0,0,0,0,0.00786687127236461,0.0217718257056754,0,0,0,0,0,0
X000651.SZ,0,0.0936003446189878,0,0,0.163208898015374,0,0,0,0,0.169660995203429,0,0,0.0384631976445542,-0.094235422286819,0,0,0,0.0659077166094589,0,0,0,0,0,0,0,0,0,0,-0.0169635866684395,0,0.220103909772544,-0.00244602624492076,0,0,0,0,0,0,0.00822994841688075,0,0,0,0,0,0,0,0,0,0,0,0.192317005916845,4.33680868994202e-19,0.0124285987976368,0,0,0,0,0,0
X000858.SZ,0.298884361099679,0,0,0.200292613929453,0,0,0,0,0,0,0,0.216218576922292,0.0695060107287158,0,0,0,0,0,0,0,0,0,0,0,0,0.160883972978944,0,0,0,0,0.0111372038817879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00453573893307179,0,0,0,0,0,0
X600276.SH,0,0.153261975140522,0,0,0.216616267131883,0,0.0414605452844958,0,0,0,0.0725417376426499,0,0,-0.0754659516688872,0,0,0,0,0,0,0,-0.0520250539560928,0,0,-0.0163644971783902,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,-0.0724798565466922,-0.0555261995683761,0.164007178748843,0,0,0,0.052570188668532,-0.0634926141450143,0.0094557077631494,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.252335880803108,0,0,0,0,0,0,0.392742810731679,0,0,0,0,0,0.0465177598019101,-0.148200048765817,0.00695655941661994,0,0,0,0,0,0.111329947434819,-0.0252056100422403,0,0,0,0,0,0,0,0,0,0.00445457802268942,0,0,0,-0.0104303980357201,0,0,0,0,-0.00735626353424516,0,0,0,0,0,-0.0104774216850663,0.0176516363651041,0,0,0,0,0,0
X000725.SZ,0,0,0.0609189372444168,1.73472347597681e-18,0,0,0,0,0,0.117422230991472,0,0,0.0107950249050686,0,0,0.0494511474088197,0,0,0,0.0715510279784741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486511801482505,0.273934182471836,0,0,0.155694610696848,0,0,0.0148076687234326,0,0,-0.00375163330357023,-0.00942398043752891,-0.164391204358736,0,0,0,0,0
X000063.SZ,0,0,0.120356860775345,0,0,0,0,0,0,0,0.340614444976111,0.141265906341828,0.121315230835651,0,0,0,0,0,0,0,0,0,0,0.0514848066911433,0,0.010506151030772,0,0,0,0.0266150757151536,0,0,0,0,0,0,0,0,0,0.0537802524928989,0,0,0,0,0.153300296157458,0,0,0,0,0,0.00258420146219245,-0.0378458729258805,0.0629908990324281,0,0,0,0,0,0
X600690.SH,0,0,0,0.413092143009047,0,0,0,0,0.0366983373567376,0,0,0,0.0582899498355228,0,0,0.287661473478652,0,0,0,0,0,0,0,0.00343949884660483,0,0,0.0389978431198884,-0.029899859053629,0.0473543539587226,0,0,0,0,0,0,0,0.0190026880455961,0,0,0,0,0,0,0,0,0,0.0878679828076817,0,0,0,0,0.0176224059537247,0,0,0,0,0,0,0
