,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002475.SZ,X003816.SZ,X000725.SZ,X600031.SH,X002304.SZ,X000568.SZ,X000338.SZ,X000661.SZ,X600690.SH,X600703.SH,X600809.SH,X002371.SZ,X300003.SZ,X600183.SH,X000100.SZ,X002007.SZ,X600741.SH,X000977.SZ,X300014.SZ,X000596.SZ,X002241.SZ,X002236.SZ,X601877.SH,X000625.SZ,X300142.SZ,X000157.SZ,X600498.SH,X002463.SZ,X002129.SZ,X300124.SZ,X002456.SZ,X600487.SH,X600271.SH,X002179.SZ,X000066.SZ,X600522.SH,X600584.SH,X300136.SZ,X600118.SH,X600177.SH,X002414.SZ,X002180.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.135652111360376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141167030872536,0,0.153872798785029,-0.0261904624807894,0,0,0,0,0.158195453801521,0.153096193587014,0,-0.0590046208980149,0,0,0.229587447595505,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0427993675760751,-0.0183453587544614,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0467735999699474,0,0.00686355391207954,0,0,0,0.0128855382997249,0,0.12044799509748,0.395588916157933,0,0.00610690132980659,0,0,0.0801449630739844,0,0,0,0,0,0,0,0,0.0999276993026105,0,0,0,0.0928385918639362,0.0643814562591113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113777907302801,0.0262784144957094,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280933136117136,0,0.0883777887386175,0,0.159313946033064,0.00394999138297184,0.0166080214333861,0,0,0.0174789748655425,0,0,0.00671189839254444,0,0.0472200851330214,0,0,0,0,0,-0.0128478492853294,0,0,0,0,0,0,0,0,0,0,0,0.0351392668452969,0,0,0.0350310913392892,0,0,-0.0126064324343594,0,0,0,0,0,0,0
X000651.SZ,0,0.0134034200947123,0,0,0,0.047632021843543,0,0,0,0,0,0,0.239982392337315,0.159560656982237,0,0,0,0,0,0,0,0,0,0,0,0,0.0100423920936365,0,0,0,0,0.204158565051854,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142323660183622,0,0,0,0,0,0
X002415.SZ,0,0.107976545077939,0,0,0,0,0,0.199214305638468,0,0,0,0,0.0982356249737515,0,0,0,0,0,0,0,3.46944695195361e-18,3.46944695195361e-18,0,0,0,0,0,0,0.18375478367024,0,0.159130640877742,0,0,0.0312480204900711,0,0,0,0,0,0.0139518541412801,0,0,0,0,0.0338492166152637,0,0,0,0.0043546848747275,0,0,0,0.0119093671969156,0,0,0,0,0,0
X600104.SH,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.0225011135822022,0,0.419134918678868,0.154495938635059,0.0611830080560678,0,0.00541859474284631,0,0,0,0,0,-6.93889390390723e-18,0,0.0594322922162534,0,0,0.00580649675674044,0,0,0,0,0,0,0,0,0.0861925824057452,0,0,0,0,0,0.00835803029298878,0,0,0,0,0,0,0,0,0.0929993178968,-0.0435400404574952,0.0322240979724875,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.112881972429513,0,0,0,0,0,0,0,0,0,0,-0.0842746464845524,0,0.0759987620715925,0,0,0,0,0.223646647928943,0,0,0,0,0.0678836962473678,0,0,0.505556579789927,0,0,0,0,0,0,0,0,-0.195491794367156,0,0.0691272585648195,0.00737464487394841,0,0,0,0,0,-0.0139475244395116,0.0613834181286781,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.183034953821919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184445173380851,0,0,0,0.354021271662298,0,0,0,0,0,0,-0.0343229591254332,0,0,0,0,0,0,0,0,0,0.232699437848217,0,0,0,0,0,0,-0.0049573252528789,0.0119290400516954,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0.244090463621527,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0680333619393604,0,0,0,0,0,0,0,0,0,0.0706542399216445,0.120382195998933,0,0,0,0.244212817329312,0.0435811566787334,0,0,0,0,0,0,0,0,0.0152495099337766,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110338381583038,0,0.0199952663339035,0,0,0,0.011105741899368,0.454352433007396,0,0,0,0.0468655389983685,0,0,0.00862958772824632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024580034129769,0,0.142345134875955,0,0,0,0,0,0,0.0150799115698854,0,0,0,0,0,0,0
