,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X000661.SZ,X600741.SH,X600703.SH,X002241.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X002007.SZ,X600183.SH,X601877.SH,X300142.SZ,X000157.SZ,X000100.SZ,X000066.SZ,X300124.SZ,X002179.SZ,X000977.SZ,X600271.SH,X000625.SZ,X002008.SZ,X002463.SZ,X300136.SZ,X300014.SZ,X600177.SH,X002456.SZ,X002371.SZ,X002506.SZ,X600066.SH,X600584.SH,X002180.SZ,X600498.SH,X002129.SZ,X600487.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.195292132864769,0,0,0,0,0.519892810543879,0,0,0,0,0,-0.0453186765499057,0,0,0,0.0902237353848498,0,0,0,0,0,0,0,-0.00489251613872151,0,0,0,0,0,0,-0.0108397017748274,0,-0.073105679903992,0,0.00866021971466498,0,0,0,0,0.0767036097036025,0,0,0,0,0,-0.0538064917357089,0.0599473463537767,0,0,0,-0.00519809503603182,0,0
X000858.SZ,0.146908668608315,0,0,0,0.0946825244032555,0,0.0048710693155118,0,0.0220574234128137,0.034522834732948,0,0.538194287708049,0,0,0,0.0721176725813827,0,0,0.00021942865244628,0,0.00913593930192455,0.0268361815639226,0,0,0,0,0,0,0,0,0,0,0.00943978965091199,0,0,0,0,0,0,0,0.0234580934954507,-8.67361737988404e-19,0,0.0972859859424338,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,-0.0371680187170797,0,0
X600276.SH,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0665447435486186,0,0,0.203694447261587,0,0.0274907193463939,0,0,0.102735363453895,0,0,0,0.00926986983187951,0,0,0,0,0,0,0,0,0,0,0,0,0.100293983581764,0,0.0720813280003887,0,0,-0.0588839127717115,0,0,0,0,0,0,0.0127493958548425,0,0,0,0,0,0,-0.00320692750579976,0,0,0,0.0325558181239735,0,0
X000651.SZ,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0423568463063243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739603344390371,0,0,0,0,0,0,0,0,-0.0674902114477139,0,-0.0334420575022566,0,0,0,-3.46944695195361e-18,0,0,0,0,0.00800857045935832,0,0.0449654996250418,0.321528321866608,0,0,0.0781106587730908,-0.102015394381182,0,0,0,0.0765344482349472,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499203805531825,0,0,0.114164995162323,0,0,0,-0.0138053938926813,0.0486596933167814,0,0.0129173351473413,0,0,0.0213059698401695,0,0,0,0,-0.0212136306431424,-0.0318742614749342,0,0,0,0,0,0,0,0,0,0.0942073875863665,-0.119625260491864,0,0,0,-0.0245819766698646,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0825965427041912,0,0,0,0,0.0735290118128719,0,0.159255372634349,0.0416493788418638,0,0,0,0,0,0,0.039635591146198,0,0,0,0,0,0,0.0107897933652635,0,0,0,8.49170468002038e-05,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0264709088573833,0,0,0,0.00837194661096057,0,0,0,0,0,0,0
X002475.SZ,0.0220604066331366,0.0349775927888283,0,0,0,0,0,0,0.162688978813328,0,0,0,0.306488726816235,1.73472347597681e-18,0,0.0618805323229247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236615282633886,0,0,-0.059886469347129,0,0,0.295171749916528,0,0.184943765815678,0,0,0.0265267473972216,0,0,0,0,-0.15401539421069,0,0,0,-0.118892763257649,0,0.0121480778649478,0,0,0,0,-0.000474186871601375,0,0
X003816.SZ,0,0,0.0925133975749393,0,0,0,0,0,0.132504775847652,0,0,0,0,0,0.303854666301119,0,0,0,0.217564070064836,0,0,0,0,0,-0.043064251333438,0.0588104807522561,0,-0.257876317718742,0.0735497230454836,-0.112410442337742,0,0,0,0,0,0,0,0,-0.0230555336597407,0,0,-0.0724440023849545,0,0,0.032571089089749,0,0,0,0,0,0,0.11287934867401,0,0,0,0,0.153937778666604,0,0
X002304.SZ,0.291776927270281,0.0251521489334075,0.00591213519496614,0,0,0,0,0.127411553919642,0,0.00122341841525037,0,0,0,0.0450095294678649,0,0,0,0,0.0177591971847247,0,0,0,0,0,0.0572605425186373,0,0,0,0,0,0,0,0.0204534698942649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341946263170334,0,0,0,0.0381094070864476,0,0,0,0.022899980759804,0,0
X000063.SZ,0,0,0,0,0.13483234638397,0,0,0,0,0,0,0.0106316542508481,0,0,0,0,0.241640610330451,0,0.180997589396455,0.0155409149990149,0,0,0,0,0,0,0,0,0,0,0,0,0.00212953733282408,0,0,0,0,0.0741109723528971,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0708954928181052,0,0,0.0566524746332903,-0.0558231020373539,0,0,0,0.0286739155681641,0,0
