,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X600066.SH,X002236.SZ,X000100.SZ,X601877.SH,X600118.SH,X600271.SH,X300124.SZ,X002456.SZ,X000157.SZ,X600372.SH,X600177.SH,X002007.SZ,X600522.SH,X600089.SH,X002085.SZ,X000066.SZ,X002508.SZ,X000981.SZ,X300003.SZ,X300136.SZ,X600867.SH,X600699.SH,X002292.SZ,X000559.SZ,X002294.SZ,X002074.SZ,X600498.SH,X002180.SZ,X002008.SZ,X002465.SZ,X600809.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0592582322965898,0,0,0.113827758729414,0,0,0,0,0,0,0,0,0,0,0.0796341725075589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553310368582539,0,0,0,0.00253878549249963,0,0,0,0,0,0,0.178870690240106,0,0,-0.0167362973832416,0.00411772200280929,0,0,0,0,0,0
X600104.SH,0,0,-0.0926106196030007,0,0,-0.0547344042606466,0,-0.0127532718722101,0,0,0,0,0,0,0.717829383903179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102204024978668,0,-0.0822423061177422,0,0,-0.0332031518395503,0,0,-0.157112052781245,0,0,0,0,0,0,-0.0191905454271007,0,0,0,-0.0450013855834472,-0.0172298001258372,0.00840616493456727,0,0,0,0,0,0
X002415.SZ,0,0,0,0.118064006243457,0,0,0,0,0,0,0,0.0879187910135628,0.0155078974507305,0,0,0,0.0514288212563025,0.242188346905468,0,0.218078985397703,0,0,0,0,0.0322319701611693,0,0,0,0,-0.0448197455768481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208386316793889,0,0,0,0,0,-0.0489570540790442,0.00010606093581754,0.00227978141562054,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.472888190709145,0.611024562791966,0,0.109553155632355,0,0,0,0,0,0,0,-0.067865079983273,0,0,0,0,0,0.638686918595159,0,0,0,0,0,0,0,0,0.163234811318284,0,-0.276937224372821,0,0,0,0,0,0,0,0,0,0,0.0463301757190734,0,0,-0.0121703366204658,0.0121340186940296,0,0,0,0,0,0
X000858.SZ,0,0,0,0.108792011313276,0,0,0,0,0.121517115417505,0,0,0,0,0.351573128154169,0.201237751853792,0.0509443647506096,0,0,0.0697470970380822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0068754430064658,0,-0.0459522375617143,0,0,0,0,-0.0538062544877265,0,0,0,0,0,0,0,0,0,0,0.00339679551004744,0.00176328773037925,0,0,0,0,0,0
X002304.SZ,0,0.138989876032937,0,0,0,0,0,0.0616173816928363,0,0,0,0,0,0.154889814638594,0.304677888999118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589792836584589,0,0,0.0330254788205457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105106217729525,0,-0.00167752503356495,0.00211793853474989,-0.00256277089920808,0,0,0,0,0,0
X600276.SH,0,-0.0926861454376272,0,0,0,0,0,0.00330514857563383,0,0,0,0.23885846404407,0,0,0,0,0,0,-0.106698538643009,0,0,0,0,0,0,0.0248519162207945,0,0,0,0,0,0,0,0.0588023481777235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158289202686224,0,-0.138197843436109,0.0172723291386653,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0937079152921494,0,0,0,0,0,0,0.0430822482217031,0,-0.0481378851835647,0.156742159866034,0,-0.690655119789581,0,0,0,0,0.220510972765751,0,0,0,0,0,0,0,0,0,0,0,0,-0.030725874937568,0,0,0,0,0,0,0.269767177118531,0,0,0.0812028486889775,0,0,0,0,0,0,0.100188785921344,-0.0332387168926612,0.00743648079969986,0,0,0,0,0,0
X000625.SZ,0,0.160504063799872,0,0.0956104689890538,0,0,0,6.93889390390723e-18,0,0,0,0,0.105718975115593,-1.73472347597681e-18,0.263715679066953,0,0,0,0,0,0,0,0,0,0,-0.0347631467306048,0,0.124444802483264,0,0,0,0,0,0,-0.0688992628193026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706226251526235,0,0,-0.0191958103431269,0.00633258636401574,0,0,0,0,0,0
X600690.SH,0,0,0,0.204750422259536,0.0461553630528109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367596405133457,0,0,0,0.0796949139270234,0,-0.020038131122349,0,0,0,0,0,0,0,0,0.00283529342092869,0,0,0,-0.0687500114838326,-0.0650819554625681,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332838433383111,0,0,0,0,0,0
