,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002304.SZ,X002475.SZ,X600276.SH,X000651.SZ,X300014.SZ,X600104.SH,X002371.SZ,X300124.SZ,X002129.SZ,X000596.SZ,X003816.SZ,X000625.SZ,X000725.SZ,X002049.SZ,X600031.SH,X000063.SZ,X002179.SZ,X002241.SZ,X000338.SZ,X600089.SH,X600703.SH,X600522.SH,X000733.SZ,X002180.SZ,X000661.SZ,X601877.SH,X002074.SZ,X300142.SZ,X600741.SH,X600884.SH,X000100.SZ,X000157.SZ,X600460.SH,X600702.SH,X601799.SH,X600487.SH,X002236.SZ,X000799.SZ,X600584.SH,X600563.SH,X002414.SZ,X600372.SH,X600418.SH,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0252130102760543,0.263721133089211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166581427289915,-0.0124615769799968,-0.0241945282724659,0.0929598954227878,0.0185640114291704,0,0.00768657212295379,0,0,0,0,0,0.0787088330691958,0,-0.0226462909304456,0,0,0,-3.3881317890172e-21,0,0,-6.15628030119029e-05,-0.0565003891443064,0,0,0.0121166253212319,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0974362078515059,0,0,0.0712489689203096,0,0,0.0795348548839074,0,0,0.0129090793223312,0,0.00789491775797714,0,0,0,0,0,0,0,0,0.00772126179608514,0,0,0,0,0,0.0305961057185911,0,0,0,0,0,0,0.262328821099848,0,0,0,0.0849109197545631,0,0,-0.0721771119901082,0,-0.0729820473216715,0,0,0.0548953323910229,0.000607389930752627,0,0,0,0,0,0
X600809.SH,0,0,0,0.0519723613398544,0,0,0,0.007953098716519,0,0,0,0,0,0,0,0.186950981552472,0,0,0,-0.0157785936035922,0,0,0,0,0,0,0,0,0,0,0.126350420194799,0,0.0758923007451576,0,0,0,0,0,0,0,-0.172828729804314,0.0178650714340525,0,0,0,0,0,0.025648548916462,-0.110446106639893,0,0.277279217480916,-0.00856392000762453,-0.0292461584592975,0,0,0,0,0,0
X000568.SZ,0,0,0.16588863085744,0,0,0,0,0,0,0,0.0047912379830238,0,0,0,0,0.0522349018348939,0,0,0,0,0,0,-0.00731298018960147,0,0,0,0,0,0,-0.00743615847359569,0,0,0,0,0,0,0,0,0,0.258855620488932,0,0,0,0.200492415930921,0,0,0,0,-0.00142552255051418,0,0,-0.0278683748272042,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-0.00422074548653168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185838511082155,0,0.0478767067343313,0,0.0492570535852448,0,0,0,0,0,0,0,0,0.62878073807588,0,0.0890146004719187,-0.175246286619787,0,0,-0.0755339924456431,0,0,0,0.0102828002323217,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.132131058107262,0,0,-1.73472347597681e-18,0,0,0.0639616883640994,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.105634732033725,0,0,0,0,0,-0.157071929702611,0.0187554741994125,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490309441611698,0,-0.138011591977808,0.247506218104729,0,0,-0.00269634821118334,-0.0544369846574939,0,0,0,0,0
X002304.SZ,0,0.215981082704926,0,0,0,0,0,0.0359833159960546,0,0,0,0,0,0.047376290414509,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.102427936805034,0.0191391462708876,0,0.0404966685498687,0,0,0.0261397757236986,0,0,0,0.146062207386325,0,-0.0340093827201403,0,0,0,0,-0.131202105382195,0,0,0,0,0,0.0298183148469531,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0232752229476889,0.458453242290006,0,-0.0795645463286826,0,0,0,0,0,0,0,0.033798166889191,0,-0.0947160527017197,0.049938429351037,0,-0.188636323551027,0,0,0,0,0,0,0,0,0,0.0156711096841761,0,0,-0.0102777200194912,0,0,0,0,0.0855600007106223,0,0.0649988326845653,0,0,-0.125893702539854,-0.0068571628082984,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-0.0961182579114661,0,0,0,0,0,0,0,-0.00271906853222048,0,0,0,0,0,0,0,0.0184590560099707,0,0,0,0,0,0,0,0,0.0234370727667547,0,0,0,0,0,0,0,0,-0.216800568972118,0.0876475151603122,0,0,0,0,0,0,0,-0.248235374281247,0.1824088212308,0,0.0370785922039136,-0.0535717189983263,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0655739338696786,0.486807845960826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626933428598207,0.0369255586625859,0,0,0.0599171006103406,0,0.0560014856462597,0,-0.0304959336555952,0,-0.00771195372396134,0,0,0,0,0,0,0,0,0,0,0,0,0.0838521728581856,0,0,0,0,-0.0639217458221691,0,0,0,0,0,0,0,0.114287118927375,0,0
