,X600104.SH,X600519.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X000100.SZ,X002241.SZ,X600741.SH,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X000550.SZ,X600118.SH,X601877.SH,X002236.SZ,X002475.SZ,X000581.SZ,X000800.SZ,X600582.SH,X000568.SZ,X600177.SH,X000623.SZ,X000559.SZ,X300124.SZ,X600060.SH,X000977.SZ,X000050.SZ,X002294.SZ,X002129.SZ,X000400.SZ,X300003.SZ,X000869.SZ,X002465.SZ,X600839.SH,X002292.SZ,X002456.SZ,X300146.SZ,X002049.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.15919665231674,0,0.0299633237484907,0,0.0815264519745376,0,0,0,0,0,0,0,0.566180050395598,0,0,0,0,0,0,0,0,0,0,0.0561715168451768,0,0,0,0.0500413688615034,0,0,0,0,0,0,0,0,-0.0401200952720533,0,0,0.0957064240702618,0,0,0,0,0.110498246372151,0,0,0.00705837587259562,-0.154677417529558,0,0,0,0,0
X600519.SH,0,0,0,0,0,-0.0024332453052842,0.024084828423246,0,0,0,0,0.186258612616985,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0241531367151403,0,-0.0441461060787982,0,-0.0668310911975951,0,0.0580542861668543,0.107998948192054,0,0,0,0.101256673100586,0.0153561999097517,0,0,0,0,0,0.152115733308683,0,0,0,0,0,0,0,0,0,-0.00229971132497403,0,0,0,0,0,0
X002415.SZ,0,0,0,0.054620655631183,0,0.278194090331486,0.0304323948113923,0,0,0,0,0,0,0,0,0,0,0,0,0.0413136513360213,0,0,0,0,0,0.218196041894271,0.111637760513403,0,0,0,0,-0.0795829349856245,0,0,0,0.00400928167732362,0,0,0.0270680027420358,0,0.0573195805208594,0,0,0,0,0,0,0,0,0,0,0,0.00105130315869833,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.227717991754272,0.259387805958288,0.0755156798304529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305052730303043,0,0,0,0,0,0,0,0,0,0,0,0,0.12325134089656,0,0,0,0,0,0,0,0,0.0379054308188494,0,0,0,0.163520332143413,0,0,0,-0.0252647052356976,-0.0193449327422041,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110291529903984,0,0.211255965134051,0,0,0,0,0,0.0826441237810836,0,0.0733441434327074,0,0,0,0,0.0582886295808055,0,0.16969454787184,0.168003898089146,0.032378776037532,0,0,0,0,0,0,0,0,0,0,0.0951021702146233,0.100590962668117,0,0,0,0,0,0,0,-0.00828270184029775,0,0.0467666357144627,0,0,0,0
X000625.SZ,0.44261529299999,0,0,0.0522941221224777,0,0,0,0,0.140962440069339,0,0,0,0,0,0,0,0,0.157539175939956,-0.0715411070945281,0,0,0,0.10167251046715,0.00806266021311383,0,0,0,0,0,0,0,0,0.0711082458738734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0817990489976507,0,0,0,0.00632834733446233,0,0.176288388488421,0,0,0,0
X002304.SZ,0.0814259466597568,0,0.031837066658212,0,0,0,0,0.140419690352452,0,0,0.103007782911116,0,0,0,0,0,0,0,0,0,0.0491222722148625,0,0,0,0,0,0,0.14124758927509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25337023819899,0,0,0,0,0,-0.0213950752128938,0,0,0.0158820973326423,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0837782877042914,0.0647074212188447,0,0.005261732887012,0.26873592922636,0,0.0168857611327818,0.0683545969569401,0,0,0,0,0,0,0,0,0,0,0,0,0.0360783022921127,0,0,0,0,0,0.00638286609343269,0.0595937991355908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00428734980538853,-0.0187648134784734,0,0,0,0,0,0
X000063.SZ,0,0,-0.020189824115929,0,0.203290714159885,0,0,0,0,0.0854004519210474,0,0,0.0461938226528873,0,0.00779029217107319,0,0,0,0,0,0,0,0,0.0190369953098854,0,0,0,0.320562781011603,2.16840434497101e-19,0,0,0.115065050756312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144807795412584,0,0,0,-0.00284661423993288,0.0382759788024774,0,0,0,0,0
X600031.SH,0.181246279892191,0,0,0,0,-0.0793253631578424,0.00938180552258647,0,0.0140704947300699,0,0,0,0,0,0.838575097479703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0776613446006008,0,0,0,0,0,0,0,0,0,0,0,-0.0544268049669112,-0.0103204039960929,0,0,0,0,0,0
