,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600703.SH,X600690.SH,X600118.SH,X000559.SZ,X600031.SH,X002241.SZ,X600271.SH,X000100.SZ,X002292.SZ,X600372.SH,X600066.SH,X002475.SZ,X000157.SZ,X002236.SZ,X600741.SH,X000338.SZ,X600089.SH,X002049.SZ,X300124.SZ,X002465.SZ,X002506.SZ,X600177.SH,X000547.SZ,X002074.SZ,X000568.SZ,X002129.SZ,X600582.SH,X300003.SZ,X600839.SH,X002294.SZ,X300001.SZ,X002276.SZ,X002456.SZ,X000977.SZ,X600498.SH,X600867.SH,X002426.SZ,X002498.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.374665770329402,0,0,0,0,0,0.0568252157966425,0,0,0,0,0,0,0,0,0.0539652372449203,0,0.0765985474233734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,6.93889390390723e-18,0,-0.0743093666676776,0.0553538586343022,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.147224681930714,0,0,0.210019916833556,0.0417349097030527,0.272998255102979,0,0,0.0209665547731496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180523919545386,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150406177213077,0,0,0.0517226005072405,0,0,0.111305807570536,0,0,0,0,0,0.00789163559254739,0.0393420195587927,0.166753185455309,0,0,0.00805824808385966,0,0,0,0,0,0,0,0.0469119786529049,0,0,0,0.122033327536018,0,0,0.074341321960595,0,-0.0334307421299362,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.07578480572791,0,0,0,0,0,0,0.00709414999214313,0,0,0,0.329838903793912,0,0,0,0,0,0,0,0,0,0.0351453721482031,0,0,0,0,0,0.099034367276766,0.091919258331385,0,0,0,0,0,0.112482955073296,0,0,0,6.93889390390723e-18,0.0193365993923236,0,0,0,-0.0130031915533983,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100779368082886,0,0.119480142190475,0,0,0,0,0,0,0,0,0,0,0,0,0.0109165476147928,0.10848199255237,0.0209645895974992,0.0890674315686688,0,0,0,0,0.00702416647346331,0,0,0,0,0,0,0.00709145851140818,0.0175042720803094,0,0,0,0,-0.0732539273128298,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.017297125588764,0,0,0.253933028446517,0,0,0,0.0571523096853246,0,-0.0410827265385642,0,0,0,-0.0198187890487758,0,0,0,0,0,0,0,0,0,0,-0.0666510258487225,0.101723302565209,0,-0.0351974062202534,0,0,0,0,0,0.0717963402360906,0,0,0,0,0.100159837715443,0,0,0,0,-0.0847886413344753,0.077824234218066,0,0,0,0,0,0
X002304.SZ,0,0.110046372799057,0,0,0,0,0,0,0,0,0,0,0.105135105400289,0,0,0,0,0,0.0414753216959908,1.73472347597681e-18,0,0,0,0.203547329527075,0.282507479431011,0,0,-4.33680868994202e-19,0,0,0.0371373803893887,0,0,0,0.0458683918060068,0,0,0.0356864923017509,0,0,0,0,0,0,0,0,0,0,0,-0.00715990066168986,0,0,0,0,0,0,0
X000858.SZ,0,0,-0.0826437063910009,0,0,0.0337904887104798,0,0,0,0,0,0,0,0,0,0,-0.0370869869663164,0,0.102180968372167,0,0,0,0,-0.209807782290335,0,0,0,-0.0106984223240318,0,0,0,0,0.104306279772747,0.0657365900145361,0,0,0,0,0,0,0.0302757429801679,0,0,-0.0209708039809379,0,0,-0.16448095940047,0,0,0.0137980183748046,0.00935060702271789,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0644521752775671,0,0,0,0,0,0,0,0,0,0,3.46993357904675e-05,0,0,0.154196038848704,0.0885372926730905,0.0931884240104185,0,0.190781501375665,0,0,0.00409888471483466,0,0,0,0,0,0,0,0,0,0,0.0697767990472899,0.131502379354651,0,0,0,0,0,-0.0154030895300606,0,0,0,0,0,0,0
X000625.SZ,0,0.118310126621078,0,0,0,0,0,0,0,0,0,0,0,0.0316585246350916,0,0,0,0,0,0,0.00894545527829735,0.0928557075971821,0,0,0.236930128669727,0,0,0,0,0,0,0,0.112924860594771,0.0245183151397311,0,0.0628768973694182,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,-0.0186243590386031,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.397560771232776,0,0.210117208121598,0,0,0.0191693923312745,0,0,0,0.0370215698712671,0,0,0,0,0,0.0170032016173198,0,0,0,0,0,0,0,-0.0269202341998057,0,0,0,0,0,0,0
X600690.SH,0,0.0193948827289818,0,0,0,0,0,0,0.0183233116742915,0.0186673414144365,0,0,0,0,0,0,0.103526934474348,0,0,0,0,0.118806215759402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981941266693613,0,0,0,0,0,0,0,0,0,-0.103778664704003,0.00344204365787982,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126400232429805,0,0,0,0,0.11445739000658,0.239481927546462,4.33680868994202e-19,-0.00641492552744117,0.0969259394633468,0,0,0,0,0,0,0,0.017982275702663,0,0.273223662766215,0,0,0,0,0,0,0,0,0.164790607101219,0,0.122688182240575,0,0,0,0,0,0.00782793756538344,0,0,0,0,0,0,0
X000559.SZ,0,0,0.132107499364643,0,0,0,0,0,0,0,0,0,0,0,0,0.0468626575695718,0,0,0,0,0,0.0484488378151826,0,0,0,0,0,0,0.140003476566648,0,0.0317022042983915,0,0,0.11522127955402,0,0,0,0.0123934373978529,0.0134217270241428,0,0.233588888290388,0,0,0.0996185299703056,0,0,0,0,0,-0.044093265966284,0,0,0,0,0,0,0
