,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000568.SZ,X000725.SZ,X003816.SZ,X600809.SH,X000338.SZ,X600703.SH,X600690.SH,X002241.SZ,X300014.SZ,X300142.SZ,X002007.SZ,X000596.SZ,X002371.SZ,X000100.SZ,X300124.SZ,X300003.SZ,X002049.SZ,X002129.SZ,X000157.SZ,X600741.SH,X600584.SH,X000800.SZ,X002414.SZ,X600183.SH,X601877.SH,X002236.SZ,X000977.SZ,X000625.SZ,X002456.SZ,X300136.SZ,X002179.SZ,X000066.SZ,X002008.SZ,X002185.SZ,X600118.SH,X002463.SZ,X601799.SH,X002180.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0953688495798353,0.00767708358322993,0,0,0,0,0.104253534834947,0,0,0,0.0126605491092645,0,0,0,0,0,0,0,0,0.0876862334985483,0,0.138508845772966,0,0,0,0,0.0640437672327074,0,0,0,0.0176638354620034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293578826541381,0,0.117009263928163,0,0,0,0,0,0,0,0,0
X000858.SZ,0.204564526977038,0,0,0,0,0,0,0.139451256853112,0,0,0,0.163625235878498,0,0,0.327949770424931,0,0.0270261014682506,0,0.101377158819662,-0.047481818184404,0.0208162439662175,0,0,0,0,0,0.0844479663939383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003979554683329,0.00389831175979308,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0756721108978555,0.270026548206971,0,0,0,0,0,0.0233248261142603,0,0,0,0,0,0,0.0344815512679696,0,0.14723754324852,0,0,0.122151601480071,0.0155090114255977,0,0,0,0,-0.0592207882248653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310923092034306,0,-0.017121521750876,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265375128408081,-0.052506143796034,0,0,0.28189360661629,0,0,0.0340719997041521,0.113634840160827,0,0,0,0,0.0355286991642996,0,0,0,0,-0.00020297700278611,0,0.155918142081222,0,0,0,0,0.065889974338539,0,0,0,0,0.0598627507251927,0,0,0,0,0.00944497020313879,-0.0339275755290875,0,-0.0265317075968752,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0117965924352523,0,0,0,0.0889773242789674,0,0,0,0.131138438831266,0,0,0,0,0.0802472063604506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431727117361678,0.0180036340301603,-0.0217658814680282,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444619460556321,0.274959043601619,0,0,0,0,0,0.128583056546005,0,0,0,0,0,0,0,-0.0301675062853228,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.115985928984319,0.146289949812819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023168438284915,0,0,0,0,0,0.0636480752625742,0,0,0,0.167214261929489,0,0.134458279141329,0,0,0,0,0.0428959166568388,0.0914210618397762,0,0,-0.047944949628846,0,0,-0.134231882434849,-0.00123724565487351,0.00158938124216562,0,0,0,0,0,0
X002304.SZ,0,0.181104103586805,0,0,0,0,0,0,0,0,0,0.382675828808778,0,0,0.0137604023466917,0,0,0.122421995263538,0,0,0.0241197927993327,0,0.149283505430803,0.0480972714632314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0159481579899508,-4.33680868994202e-19,0,0,0,0,0,0
X000661.SZ,0,0,0,0.0401699996193087,0,0,0,-0.108269680195022,0,0,0,0,-0.10944154684008,0,0.152285682711174,0,0,0,0,0,0,0.0804760519172613,0,0.0697565309872816,0,0,0.1644336480668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11256865515524,0,0,0,0,0.131549794844051,0,0,0,0.0257537139162158,-0.0384323898770504,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0658794389946108,0,0,0,0,0,0,0,0.416735769057695,0,0,0,0,0,0,0,0,0,0,0.0244637893859689,0.0456419035576757,0,0.133994466029416,0,-0.113855101275704,0,0,0,0,0,0.0143551556775275,0,0,0.0859248849093124,0,0,0.000106719559560193,0,0,0.278087844553944,0,0,0,0,-0.00214136158261843,-0.0206083112393828,0,0,0,0,0,0
