,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X600031.SH,X000568.SZ,X002304.SZ,X000725.SZ,X600809.SH,X000063.SZ,X600690.SH,X003816.SZ,X000661.SZ,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X300124.SZ,X300014.SZ,X000100.SZ,X002007.SZ,X600741.SH,X300142.SZ,X002371.SZ,X002049.SZ,X000625.SZ,X002129.SZ,X000157.SZ,X601877.SH,X002236.SZ,X002414.SZ,X000800.SZ,X300003.SZ,X600584.SH,X600183.SH,X300136.SZ,X002179.SZ,X000066.SZ,X000977.SZ,X601799.SH,X600118.SH,X002456.SZ,X002185.SZ,X000050.SZ,X002294.SZ,X002008.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.216992884966681,0,0,0.260660636441675,0,0,0,0,0,0,0.0400681083170381,0.0103061501241816,0,0,0,0,0,0,0,0.00976280047512958,0,0,0,0,0.0208008265560076,0,0,0,0.063322306450525,0,0,0,0,0,0,0,0,0,0,0.0627900658822483,0,0,0,0.00507427510451035,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0619919851074981,0,0.290177185218364,0,0.398818303152167,0,0,0,0,0.104107955913604,0,0,0,0,0,0,0,0,0,0,0.00888621359976124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012726072744179,0,0,0,0,0.0187876292381356,0,0.0349499129615863,0.03944825141401,0,0,0,0,0,0
X600276.SH,0.115133674267701,0,0,0,0,0,0,0,0,0.18094573118492,0,0,0,0,0,0,0,-0.114658616886165,0,0,0,0,0,0.0525873896837739,0,0,0,0,0,0,0,0,0,0.0257400336236454,0,0.0836614282666879,0,-0.0518708476931189,0.0197206206947046,0,0,0,0.0653930830144867,0,0,0,0,0.127220383315277,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.00118541486890023,0,0,0,0,0,0,0,0.33783565605351,0,0,0,0,0,0.0485026031869643,0,0,0,0,-1.0842021724855e-19,0,0.0361839807447156,0,0,0,0,0,0,0,0,0,0,0,0,0.00756743266071203,0.0306002630135988,0,0.133351411536173,0.133075880980555,0.113964199608248,0,0,0,0.0080649124830129,-0.00290800819521373,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735088523812388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135393236037624,0,0,0,-0.031174286676098,0.0610836869790752,0.0328780838702384,0,0,0,0,0,0.00468438638461062,0,0,0,0,0.108631241444432,0,0,0,0.0468381341966301,0,0,-0.0545421200657422,-0.0217828151690505,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0557029687725715,0,0,0,0,0,0.174126122191236,0,0,0,0.113916431087961,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.027586569883026,0,0,0,0.102963029063585,0,0,0,0,0.148260100316571,0,0,0,0,0,0.073664151784439,0,0,0.00442040275682825,0,0,0,0,0,0,0,0,0,0,0.014559334650381,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.144177930348249,0,0,0,0,0,0,0,-0.0480485965207729,0,0,0.0825673999872363,0,0,-0.0478101489276906,0,0,0.0850144765952797,0,0,-0.0115334671272687,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.234753627688934,0,0,0,0,0,0,0,0,0,0,-0.0239156823772049,0.0145762699053945,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.0664474711628163,0,0,0,0,0,0,0,0.37549445705674,0,0,0,0,0,0,0.066916412432799,0,0,0,0,1.73472347597681e-18,0.381461728037774,0,0,-0.0224504047944828,0,0,0,0,0.0272031251549866,0,-0.00676263440381831,0,0,0,0,0,0,0,-0.051601821921203,0,0,-0.0173216941643835,0.0243577380318593,0,-0.0637190035977221,0,0,0,0
X000568.SZ,0,0,0,0,0,0,-0.158729826514863,0,0,0.599479518103603,0,0.0581157022495255,0,0,0,0,0.202602789747861,0,0,0.148345203409617,0,0,0,0.0172204058637504,-0.101673096755943,0,0,0,0,0,0,0,-0.0434644614778375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00824305955432997,0,0,0,0,0,0
X002304.SZ,0,0.328293812319266,0,0,0,0,0,0,0.251007696364273,0,0,0.0704325283473301,0,0,0,0,0,0,0,0.0366899090480274,0,0,0,-0.002195307814486,0,0,0,0,0,0.172326228621862,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0352664345918284,0,0,0,0,0,0,0,0.00429752561503505,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0505900490750273,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0256247444280144,0.453265999026753,-0.0374017654224856,0,0,0,0,0,0.16736005217858,0.203201828303384,0,0,0,0,-0.0898925623147947,0,0,0,0,0.0117692694766233,0,-0.084219973139824,0,0,0,0.242196708457941,0,0,0,0,0.0115760155875546,0.0382029718073113,0,0,0,0,0,0
X600809.SH,0.0319150228590712,0.453121676751594,0.0674131386330096,0,0,0,0,0,0.086876161190183,0,0,0,0,0,0,0,0,-0.176973783922786,0,0.0917523276490285,0,0,0,0.182492753811532,0,0,0,0,0,0,0,0,0.046890771020192,0,-0.0415789590309133,0,0,0,0,0,0,0,0.0592330631083816,0,0,0,0,0,0,0,0,0,-0.00488534506511711,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.196541388068199,0,0,0.0177235074243518,0,-0.0490479319635879,0,0.141749160369544,0.224937998230346,-0.106930385361073,0,0,0,0,0,0,0,0,0,-0.103848446800325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133133418566408,0,0,0.117724095900998,0,0,0,0.0643667695913518,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0236665667230528,0,0,0,0,0.0019590393684954,0,0,0,-6.93889390390723e-18,0,0,0.205259725395777,0.14229368772884,0.0391446841547249,0,0,0,0,0,0,0.0765964684686944,0.0194976643366345,0,0,0,0,0,0,0,0.0274506349475876,0,0,0.0908682689802991,0,0,0.0587039342018972,0,0,0,0,0.107897112245644,0,-0.0540527406593721,-0.0244941374246485,0.0153894483650567,0,0,0,0,0,0
