,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X600104.SH,X000651.SZ,X600031.SH,X300014.SZ,X000725.SZ,X002371.SZ,X300124.SZ,X000063.SZ,X600703.SH,X002129.SZ,X003816.SZ,X000338.SZ,X000625.SZ,X002241.SZ,X002049.SZ,X000596.SZ,X000661.SZ,X601877.SH,X300142.SZ,X002179.SZ,X000100.SZ,X600460.SH,X600089.SH,X600741.SH,X000799.SZ,X002236.SZ,X600779.SH,X600702.SH,X000157.SZ,X601799.SH,X002074.SZ,X600884.SH,X600584.SH,X002414.SZ,X000733.SZ,X002007.SZ,X000800.SZ,X600183.SH,X300003.SZ,X000977.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.428931107743661,0,0,0.0250867462302144,0,0,0,0,0,0,0,0,0,0,0.00840252245296969,0.0489019229314702,0,0,0,0,0,0,0,0,0,0.0339046495365021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181974343547922,0,0,0,0.0597328325124699,0,0
X000858.SZ,0.093160862894896,0,0,0.0564559594828817,0.209235501297251,0.103112314230952,0,0,0,0,0,0,0.0723162444022421,0,0,0,0,0,0,0,0,-0.034183540909346,-0.0253759561828274,0,0,0.103325305873275,0,0,-0.0173196148594,0,0,0,0,0.0304495734877319,0,0.185825818369141,0,0.0497131208234948,0,0,0,0,0,-0.0137248261644904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.181067888451813,0,0,0,0,0,0,0.165064957612987,0,0,0,0,0,0,0,0,0.161297087827742,0,0,0,0,0,0,0,0,-0.0109706568676798,0,0,0,0,-0.0601741888508421,0,0,0,0,0,0,0.164326682954802,0,0.0583675898574965,0,0,0,0,0,-0.104600672148432,0,0,0,0,-0.00231283150788211,-8.67361737988404e-19,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.244049427893185,0,0,0,0,0,0,0,-0.0234354843628851,0,0,0,0,0,0,0,0,0,0,0,-0.0281318105300874,-0.013895885740272,0,0,0,0,0,0.440751036223954,0,0.0558036628404206,0.161081159465599,0,0,0,0,0,0,0.0434620957296059,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0309773473974652,0,0
X000568.SZ,0,0.544202497718016,0,0.0804054482106062,0,0,0,0,0,0,0,0,0,0,0,0.0310621396406973,0,0,0,0,0,0,0,0,0.04563656778733,0,-0.0556880837182902,0,0,0,0,0,0,0.0605504237088951,0,0.058664573739116,0,0,0,0,-0.00684873804424099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.239178960006907,0.0762567579554124,0,0,0,0,0,0,0,0,0.0698716622637522,0.105059019893494,0,0,0,0,0,0,0,0,0,0,-0.143637466076469,0,0,0,-0.0256942562314882,0,0,0,-0.0404137889526396,0,0.318212050327566,0,0,0,0,0,0,-0.0303723453942265,0,0,0,0,0,0,0.114082870758298,0,0,0,-0.0683498684272587,0,0,0,0,0,0,0
X002304.SZ,0,0,0.12465708752268,0.149071965216112,0,0,0,0,0.0101792591376126,0,0,0,0,0,0,0,0,0,0,-0.153882592029134,0,0.0790682407951319,0,-0.0451964123468154,0.0796075384438463,0,0,0.0335045809383115,0,0,-0.0618768625878568,0,0,0.230653984996408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0.00263656730838176,0,0,0,0,0,0,0,0,0,0,0,0.0660443156823858,0,0.101950575764944,0,0,0,0,0,0.114076463238452,0,0,-0.0434527498216484,-0.0804846076148827,0,0,0,0.151380033867754,-0.197480293487154,0,0,0,0,0,0,0.0697084725974266,0,0.0719145184381538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444064636497152,0,0
X600690.SH,0,0,0.11892840871578,0,0,0.0187334333496546,0,0,0,0,0,0,0.0305686257619952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0558643296623773,0,0,-0.00479086231341493,0.0581389046090788,0,0,0,0.174577504112218,0,0,0,0,0,0,0,0,0,0,-3.3881317890172e-21,0,0,0,0.0785404613244682,0.00205176919252513,0,0,0,0,-0.0332525005651652,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0125815757408006,0,0,0,0,0,0,0,0,0.200043281585784,0,0,0,-0.045324186193069,0,0.0312158850148637,0,0,0,0,0.199964771384842,0.0933350904618243,0,0,0,0.054900703329593,0.00608830145061016,0,0.0241317661190047,0,0,-0.0807471701151246,0,-0.0249152324632039,0,0,0,0,0,0,-0.0239887880328901,0,0,0,0,0,0
