,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002292.SZ,X600690.SH,X600703.SH,X000100.SZ,X600741.SH,X600066.SH,X600031.SH,X600118.SH,X002236.SZ,X002506.SZ,X000559.SZ,X002241.SZ,X002475.SZ,X000157.SZ,X000568.SZ,X600372.SH,X600177.SH,X000338.SZ,X002074.SZ,X300003.SZ,X300124.SZ,X002085.SZ,X002294.SZ,X600089.SH,X600867.SH,X002465.SZ,X002049.SZ,X000981.SZ,X002456.SZ,X600498.SH,X601877.SH,X002180.SZ,X300001.SZ,X002007.SZ,X000869.SZ,X600699.SH,X600582.SH,X000623.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0692394676195095,0.115805922424191,0,0,0.289898011438339,0,0,0,0,-0.0203693544441677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513280259380388,0,0,0,0.0593950099711252,0,0,-0.00138231454529341,0,0.123494743211121,0,0,0,0,0,-0.0152335311613289,0,0,0,0,0,0,0
X600104.SH,0.0571517157035902,0,0.134602397575313,0.142805987046019,0,0,0,0,0,0,-0.0183382193255144,0,0,0,0.395528924633866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288473409732458,0,0,0,0,0,0,0,0,-0.00717276642933071,-0.0181724886802705,0,0,0,0,0,0
X002415.SZ,0,0.154064753420871,0,0,0,0,0,0,0,0,0,0,0,0.37286980079096,0,0,0,0,0,0.0175827127846889,0,0.0264722261772174,0,0,0,0,0,0,0.0154325707009313,0,0,0.078063032675542,0,0,0.025003188677504,0,0,0,0.169696815642341,0,0,0,0,0,0,0,0,0,0,0,0.0251385831938788,0.0732218347054341,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.373754819602218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140103281942147,0,0,0.016908656778155,0,0,0.0477044950246764,-0.0586374378881649,0,0,0,0,0,0.266414500962647,0.0771102897509761,0,0,0,0,0,0,0,0.057905226216529,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0715849440677387,0,0,0.0555424366800877,0,0.0226226416368536,0,0,0,0,0,0,0,0,0,0.015410315816923,0,0,0,0.101082380137489,0,0,0,0,0,0,0,0,0,0,0,0.0340162651424697,0,0,0.125279891309105,0,0.0599644240852972,0.0302363553160392,0,0,0,0,0,0.177323822555935,0,0.00958740914985923,0,0,0,0,0,0,0
X002304.SZ,0.0570260950488186,0.296295280027773,0,0,0,0,0,0,0,0.145913412657046,0,0,0,0,0,0,0,0.00498828477075263,0,0,0,0,0,0,0.10325928691586,0,0.0968703513755608,0,0,0.0386853378803448,0,0,0,0,0,0,0,0,0,0,0,0.070861785198671,0,0,0,0,0,0,0.0152633512521397,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0111785902277796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262725948355581,0,0.0523130366555187,0,0,0,0,0,0,0,0,0,0.00245056603566184,0.0554988313327547,0,0,0,0,0,0,0,0,0,0,-0.00952380412287152,0,0,0,0,0,0,0
X000725.SZ,0,0,0.149985508690082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697671262434213,0.0285564335548767,0.0842226231838581,0,0,0.0856381476589788,0,0,0.134356081991644,0,0,0,0.00308301582469213,0,0,0.101132207270071,0,0,0,0,0.0938177183584225,0.0284572853331157,0,0,0,0,0,0,0,0.0531060533655356,0,0,0.00475204662232681,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.230847385114622,0,0,0,0,0,0,0,0,0.111184547448143,0.0031982764372344,0,0,0,0,0,0,0,0,0,0,0,0,0.0990651926466385,0,0,0,0,0,0,0,0,0,0,0,0.0888983887270507,0,0,0,0.0663753647801054,0.171445067828421,0,0,0.00545017876870838,0.0511650612262964,0,0,0.00317729686913784,-0.0301057512269492,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.00888956113892798,0,0,0.0697291488906156,0,0,0,0,0,0,0,0.00997288918755534,0,0,0,0,0,0,0,0.0480598734057949,0,0.212590249193099,0.0909982677998194,0,0,0,0,0,0,0.0561909295455654,0,0,0,0.0693122628117072,0,0,0.0758642555361204,0.0875618049565926,0.126791802555802,0,0,6.93889390390723e-18,0,0,0,-0.00135166884145833,0,0,0,0,0,0,0
