,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X002475.SZ,X300003.SZ,X600031.SH,X000338.SZ,X601877.SH,X300124.SZ,X002008.SZ,X600809.SH,X600867.SH,X000625.SZ,X002456.SZ,X600271.SH,X600066.SH,X600487.SH,X000100.SZ,X002294.SZ,X000981.SZ,X600566.SH,X002241.SZ,X300142.SZ,X000661.SZ,X000596.SZ,X002508.SZ,X002049.SZ,X002180.SZ,X000157.SZ,X000050.SZ,X000977.SZ,X002179.SZ,X300136.SZ,X002038.SZ,X600522.SH,X600089.SH,X002129.SZ,X600498.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,-3.46944695195361e-18,0.437066049377173,0,0.104801239423366,0,0,0,0.00593516289020956,0.0543536720749441,0,0.0356956540037016,0,0,0,0,0,0.0450173015113005,0,0,0.00148106046397832,0,0,-0.0148165215464959,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196791616597621,0,0,0,0,0,0,0.0397473556544052,0,0,0,0,0,0.00938716215250572,0.0133476108930035,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.246648594704749,0,0,0,0,0,0.219971495427466,0,-4.33680868994202e-19,0,0,0,-0.171893600336303,0,0,0.0109085365008545,0,0,0,0,0,0,0.0246816613255485,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0493689240059646,0,-0.082819268060435,0,0,0,-0.0407760389582005,-0.0193562754734607,0,0.413569953567733,0,0,0,0
X002415.SZ,0.220582272023981,0,0,0,0,0,0.0229461429927504,0,0,0,0,0,0,0.175817586715769,0,0.0457958280221696,0,0.0581832989012625,0,0,0,0,0,0,0,-0.0297754368371569,0,0.362036942046273,0,0,0,0.0711394458290998,0.0922561253346025,0.00801827013730279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252603605212203,0,-0.045201299289945,0,0,0,0,0
X000858.SZ,0.386142666919484,0,0,0,0.254994000657735,0,0,0,0,0,0.395114924939212,0,0,0.0301756432892916,-0.0428148490679975,0,0,0.0351813712304304,0,0,0,0,-0.0360750119720497,-0.0465617763396513,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042058741824441,0.0669346224270922,0,0,0,0,-0.0262960698060268,0,0,0,-0.00707401751161678,0,0,0,0.0194831360906297,-0.00563274142626733,0,0,0,0,0,0
X000651.SZ,0,0,0,0.233038605321465,0,0,0,0,0,0.563001673794815,0,0.013781244960821,0,0.0090377793775936,0,0,0,0,0,0,-0.0276497167205447,0,0,0,0.120502079857164,0,0,0,0,0,0,0,-0.103889728762175,0,0,0,0,0,0,0,0,-0.0595606806685423,0,0,0,0.338459896598526,0,0,0,0,0,8.67361737988404e-19,0.0376672577107163,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0608883076569323,0,0.0701711694165597,0,0.109083270319753,0,0,0.0484045591637622,0,0.38912210443001,0.090438369337312,-0.0864266042195625,0.137380571921038,0,0,0,0,0,0,-0.0817015068507637,0,0,0,0,0,0,0,0,0.0776092245652042,0,0.0289416774648593,0,0,0,0,0,0,0,0.129693728710423,0,0,0,0,0,0,-0.0533771968944476,0.0301678966980159,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0100406828190135,0,0.122759037233405,0,0,0,0.177800096644583,0.288236243372274,0,0.175222231057395,0,0,0,0,0,0,0,0,0,0,0,0.0226299828900956,0,0,0,0,0.0341856216856994,0,0,0,0,0,0,0.331639320182003,0,0,0,0,0,0,0,0,0,0,-0.0190968691707211,-0.106093232825141,0,0,0.0223071349900166,-0.0306981529842554,-0.064097045934669,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.234253920978974,0.0170850046662333,0,0,0,0.143131282401652,0,0.0532538414444228,0,0.0948026823590291,0,0,0,0,0,0,0,0,0,0,0.4562151252424,-0.0198057714179284,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.00612307592745795,0,0,0,0,0.144645900984191,-0.0766352815940429,0.0451090123943193,0,0,-0.0136026462168621,0.0707014948089457,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.332215023754836,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119534494291347,0,0,0,0,0,0.311389708657684,0.155011347505234,0,0,0.317160916022313,0,0,0,0.146112464075433,0,0,0,0,0,0,-0.0364452879685071,0,0,0,0,0.165911207870738,0,0,0,0.0330462429450183,0.0650777478631745,0,0,0,0,0,0
X600690.SH,0,0,0,0.295631629563346,0.273370241317337,0,0.113085955895,0,0,0,0.0458099580795168,0,0.0427881837604406,0,0,0,0,0,0,0.0226134256747949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0349540863318412,0,0,0,0,0,0,0,-0.13478217791239,0,-0.0377896557160031,0,0,0,0.0551352704499897,0,0,0.011989191858914,-0.0120899978690945,0,0,0,0,0,0
