,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600690.SH,X600809.SH,X600031.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X300014.SZ,X003816.SZ,X000063.SZ,X000100.SZ,X000157.SZ,X000596.SZ,X600703.SH,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002179.SZ,X002371.SZ,X002236.SZ,X002007.SZ,X300142.SZ,X002049.SZ,X002414.SZ,X600584.SH,X600183.SH,X300003.SZ,X601799.SH,X000799.SZ,X000800.SZ,X002074.SZ,X002008.SZ,X300146.SZ,X000066.SZ,X600089.SH,X600707.SH,X000977.SZ,X002294.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.228147677998928,0,0,0,0.148358227023902,0.0602433057413422,0,0.0838991709082192,0,0,0,0,0,0,0,0,0,0,0,0.0288675052928718,0,0,0,0,0,0,0,0,-0.138603098555398,0,0,0,0,0,0,0,0.0493044144973381,0,0.0776838376950262,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167351196808932,0,0,0,-0.0226421558133096,0,0
X000858.SZ,0.0195997898341638,0,0,0,0,0.360289800864812,0.00992732675473759,0.157318744733598,0,0.11382136811402,0,0,0,0,0,0,0,0,0,0,0.047494291066202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081043453723024,0,0,0,0.0184100184584495,0,0,0.0144684468875342,0,0,0,0,-0.0121913829315588,-0.00839774581889306,0,0,0,-0.0429486992853674,0,0
X002415.SZ,0,0,0,0,0,0.0140919836526876,0.0505486771701233,0,0,0.18200374338597,0.0200845739024827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310258792010065,0,0.276703435630694,0.203397296318744,0,0,0,0,0,0,0,0.078750668122583,0,0,0,0.109411724517677,0,0,-0.000195979333165669,0,0,-0.142239591104086,0,0.0202370416964589,0.0271703120600148,0,0,0,4.33680868994202e-19,0,0
X600276.SH,0,0,0,0,0,0.0495752182980562,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0.0172650314420286,0,0,0,0,0,0,0,0.175715634396278,0,0,0,0,0,0,0,0,0,0.0924021315456297,0,0,0,0,-0.148798482731454,0,0,0,0,0.130276361844646,0,0,0,0.0191175355257158,0,0,0,-0.0163244922114495,0,0
X000651.SZ,0,0,0,0,0,0,0.101895720325333,0.0502995935983786,0,0.180795426759368,0,0,0,0,0,0,0,0,0,0.0971230656699403,0,0,0,0,0.0479976384464699,0,0,0,0,0,0,0,0,-0.0506527210186787,0,0,0,0,-0.062328337056316,0,0,0,0,0,0,0.0366144450349824,0,0,0,0,-0.0554078023078883,-0.0605502582499674,0.0379618864071948,0,0,0,-0.025101634387991,0,0
X000568.SZ,0,0.346527993729594,0.00777200109671007,0,0,0,0,0.0827663712214696,0,0,0,0,0,0,0,0,0.146882471894118,0,0,0,0,0,-0.132807815556425,0,0,0,0,0,0,0,0,0.0989383046786537,0,0,0,0,0,0,0,0.234049892686103,0,0,0,-0.00776583749459226,0,-2.16840434497101e-19,0,0,0,0,0,-0.0284677903629997,-0.0185782111540492,0,0,0,0,0,0
X600690.SH,0,0.135574565430362,0.053322576362754,0,0.17221929431263,0.1262892951525,0,0.204431609773582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333593922050587,0.1021287324731,0,0,0.127093939743407,0,0.0115836618266428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108636708648363,0,0,0.00253653003977825,0.0249124740717714,0,0,0,-0.017196432196135,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.223726184970589,0,0.100871601882172,0,0,0,0,0.029106843358176,0.0931912757228658,0,0,0,0,0.157744480227187,0,0,0,0,0,0,0.0124704871843197,0,0,0,0,0,0,0,0,0,0.235062299396659,0.116302338249597,0,0,0,0,0,0,-0.0146606159309305,0,0,0,0,0,-0.0798458680836825,0,0,0,-0.0926550870558324,0,0
X600031.SH,0,0,0,0,0,0,0,0.279685361771658,0,0,0,0,0,0,0,0,-0.123590209964643,0,0,0,0.082034721623433,0,0,0,0.267410918832017,0,0.0389381227378533,0,0.100671222492128,0,0,0,0,0,0,0,0,0,0.083947084149171,0,0,0.0746098722663179,0,0,0,0,0,0,0,0,0,-0.0729128687421033,0.0508204305941479,0,0,0,0.0837242228876889,0,0
X002304.SZ,0,0.329622127820323,0,0,0,0,0.0180590104561277,0,0,0,0,0,0,0,0,0.070283377081154,0,0,0,0,0,0,0.00391127430966188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392116156630388,0.0917924518086073,0,0.152418447252471,0.0770315109549121,0,0,0,0.0127540657387942,0,0,0,0,-0.0268170111800315,0,0,0,0,-0.106105116089081,0,0
