,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X002475.SZ,X600104.SH,X002304.SZ,X000725.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002179.SZ,X002129.SZ,X600741.SH,X002371.SZ,X000625.SZ,X002007.SZ,X300142.SZ,X002236.SZ,X601877.SH,X002049.SZ,X600584.SH,X000799.SZ,X002414.SZ,X600183.SH,X000800.SZ,X601799.SH,X300003.SZ,X300146.SZ,X002074.SZ,X600779.SH,X002008.SZ,X600089.SH,X600707.SH,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.132095099693508,0,0,0.0502342007672065,0,0,0.141429410590039,0,0.0669648497088785,0,0,0,0,0,0.0303474760105265,0,0.00728491797810535,0,0,0,0,0,-0.0539499679872151,0,0,0,0,0,0.0482205052317851,0,0.17313422293004,0,0,0,0,0,0,0,0.0163917800601217,0,0,0,0,0,0,0,0.0645824562555907,-0.0951085478027142,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.366770456979088,0.0420746626322931,0,0,0,0,0.176931691305504,0,0,0,0,0,0,0,0,0,0,0,0,0.106853452546375,0,0,0,0,0,0,0,0,0,0,0.112170937537762,0.0362149138972189,0,0,0,0.015648136634299,0.0356044097784016,0,0,0,0,0,0,0,0,0,-0.0106385945933983,-0.0077410127376729,0,0,0,-0.0119158215531069,0,0
X002415.SZ,0,0,0,0,0,0.0920408795754147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228259782408941,0,0.127187364267266,0,0,0,0.0704241950801458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708981672355799,0,0,0,0,-5.90556413211108e-05,0,0
X600276.SH,0,0,0,0,0,0.0724029146679759,0.056215687967476,0,0,0.0292442679893784,0,0,0,0.019275712153219,0,0,0,0,0,0,0,0.0389895353220108,0,0,0.186376052244736,0,0,0,0,0.0269712417153691,0,0,0,0,-0.0334100595700891,0,0.0526452476462667,-0.00779965919256957,0,0,0,-0.154315347480139,0,0.00078579197624027,0,0,0,0,0,0,0,0,-0.000880119224672296,0,0,0,0,0,0
X000651.SZ,0,0.00125277855814053,0,0,0,0,0.0322766595058503,0.180270455992835,0,0.0168084312138002,0,0,0,0.107034661642788,0,0,0,0,0,0.0517151868381273,0,0.147605016048168,0,0,0,0.0664712954362987,0,0,0,0.0123988114668847,0,0,0,-0.0458009316358587,0,0,0,0,0,-0.148983364086854,0,0,0,0,0,0,0,0,0,0,-0.0211003036458557,-0.00648154513150118,0,0,0,0,-0.0198741530349978,0,0
X000568.SZ,0,0.232076467509624,0,0.01255541259556,0,0,0.0109408791107686,0,0,0,0.033778662864889,0,0,0,0,0,0.113735457740254,0.182984445996869,0,0,0,0,-0.101121747445947,0,0,0,0,0,0,0,0,0,0,0,0,0.267234041875251,0,0,0,0,0,-0.0540546689621177,0,0.229006750109444,0,-1.73472347597681e-18,0,0,0,0,0,-0.023078630046846,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.047089158376346,0,0,0.279765130033482,0,0,0,0,0.0838362901600608,0,0,0.183552032007095,0.0489189621357969,0,0,0.110794474653925,0,0,0,0,0,0,0.0469445843101673,0,0,0,0,0,0,0,0.229685576067612,0.0504018635538563,0,0,0,0,0.017131846732921,0,0,0,0,0,0,0,0,0,0,-0.0624245655140117,0,0,0,-0.02516507640565,0,0
X600690.SH,0,0.0217195334725936,0.00787250912267174,0,0.336794600762963,0.0491045551937427,0.133021065833559,0,0,0,0,0.0625477624699287,0,0.0977292741410469,0,0,0,0,0,0,0,0,0,0,0.203234591303789,-0.0610545631626682,0.135062494109062,0,0,0,0,0.0514934759064376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112443126282395,0,0,0,0,0.0197771385008083,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0800178193253475,0,0,0,0,0,0,0,0,0,0,0.133286262004039,0,0,0,0.111090073141294,0.0537304336035975,0.0504175666458771,0.292562721415141,0.3370261755444,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0429331544813415,0,0.0945774632823441,-0.118669223784265,0,0,0,0,0,0,0,0,0,0,-0.0497630775603329,0.0396932091862491,0,0,0,0.0641016146365574,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121177709374938,0,0.00287168451429558,0,0.0866771731831216,0,0.564590639447628,0,0.0298310423995582,0,0,0,0.0225281067019046,0,0,0,-0.052488248603113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603451403833716,0,0,0,0,6.93889390390723e-18,0,0
