,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600690.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X000725.SZ,X002371.SZ,X300124.SZ,X000338.SZ,X600031.SH,X002304.SZ,X000625.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X002179.SZ,X600089.SH,X300014.SZ,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X000921.SZ,X002241.SZ,X000977.SZ,X002028.SZ,X600066.SH,X002236.SZ,X600522.SH,X600741.SH,X600183.SH,X601877.SH,X002049.SZ,X000661.SZ,X600584.SH,X002129.SZ,X002223.SZ,X000800.SZ,X002180.SZ,X600487.SH,X002074.SZ,X600177.SH,X600060.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00596205263096873,0.109937132943704,0,0,0.0131171542977671,0.207413276838193,0,0,0,0,0,0,0,0,0,0.0860990498381684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632146435615075,0,0,0,-0.0263795369796074,0,0,0,0,0,0,-0.00229057140420422,-0.00163655754042467,0,0,0,-0.0240870373143935,0,0
X000858.SZ,0,0,0.0287901514021019,0,0,0.0132473421996502,0.403683658993118,0,0,0,0,0,0,0,0,0,0.250238375047319,0,0.102189346090467,0,0,0,0,0,-0.0504684571462755,0,0.0682272139626782,0,0,0,0,-0.00912265423044088,0,0,0,0,0,0,0.0310730898284386,0,0,0,0,0,0,0,0,0,0,0,0,-0.00271070559414308,-0.0270275545422697,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.212176283896933,0,0,0,0,0,0.0287619610177202,0.0769351339441945,0,-0.0900665358612039,0,0,0.214418352677889,0,0,0,0,0,-0.109713118907501,0,0,0,0,-0.0487738251381574,-0.00952728900734212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110535225286989,0,0,0,0,0,0,-0.0548132087086028,-0.00994177513603088,0,0,0,-0.0228915248024695,0,0
X002415.SZ,0,0,0,0,0,0,0.015777495763131,0,0.0788060809129936,0,0,0,0,0,0,0,0.192844466609388,0,0,0,0,0,-0.0334496171093424,0.0406941867418195,0,0,0,0,0,0,0,0,0,0.183446345944936,-0.0554002706929178,0,0.053982376402611,0,0.0699316355240056,0,0.00775495105263653,0,0,0.0672537715031313,0,0,0,0,0,0,0,0.0145821671372861,-0.0226653063568023,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.106904998201279,-0.0128345840794122,0,0,0,0,0,0,0,0.1379322639647,0,0.0266421701759933,0,0,0,0,0,0,0,-0.0661824740395426,0,0.392871432061489,0,-0.00152631501067766,0,0,-0.01067503247609,0.0161089728302653,0,0,-0.0108792650681067,0,0,0,0,0,0,-0.131366741981549,0,0,0,0,0,0,-0.0269509588082668,0,-0.0539117460502454,0,0,0,0,0
X600276.SH,0,0,0,0,-0.243406522744277,0,0,0,0,0,0,0,0.117721055599474,0,0,0,0,0,0,0,0.198295084708297,0.242543979117669,0,0.0526590560894194,0,0,0,-0.17822563817759,0,0,0,0.230533292330353,0,0,0.141482447367601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233062794390977,0,0.0617791795442104,-0.0366322280528496,-0.0458824148531558,0,0,0,0,0
X000568.SZ,0,1.00522294534847,0.111362110147227,0,0.117749131655631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696349445511904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069535994055702,0,0,0,-0.146237611804939,0.149476512274584,0,0,0,0,0,0.0145645694141802,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.276619410376413,0,0.0219265011329337,0,0,0,0,0,0,0.163984544883915,0,0,0,-0.110365371328652,0,0,0.124261148384795,0,0.249734360945821,0,0.0978439150585638,0,0,0,3.46944695195361e-18,-0.0330439644727433,0,0,0,0,0,0,0,-0.0772448287200788,0,0,0,0,0,0,0,0,0,0,0.062032104781382,0,0,0,-0.0269462206870184,0,0,0,0,0,0
X002475.SZ,0,0,0,0,-0.124708139641708,0,0,0,0,0,0,0,0,0,0,0,0.445059115800176,-0.106803903118966,0,0,-0.0248661333020295,0,0,0,0,0,0.116630638870183,0,-1.73472347597681e-18,0.394777000556202,0,0,-0.112345614642241,0.193420424318726,0,0,0,0,0.0957237131916539,0,0,0,0,0,0,0.0085474892130043,0,0,0,0,0,0,0.0079899650184488,0,0,0,-0.0401941754569765,0,0
X003816.SZ,0,0,0,0,0,-0.0477144604621373,-0.350204502916377,0,-0.035958824303401,0,0,0,0,0,0,-0.00270450729097612,-0.134035873147616,0,0,0,0,0,0.0766114239638547,0,0,0,0,0,0,0,0,0,0,0,0.0194125191319701,0,0,0,0,0,0,-0.047012627821819,0,0,0,0,0.123028688127087,0.0954023367256991,0,0.197526880740939,0.0170475253527454,-0.0235003880728753,-0.0474822694527825,0,0,0,-0.105985707417789,0,0
