,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002292.SZ,X600690.SH,X600703.SH,X600741.SH,X000100.SZ,X600066.SH,X600031.SH,X600118.SH,X002236.SZ,X002506.SZ,X002241.SZ,X000559.SZ,X002475.SZ,X000157.SZ,X600372.SH,X000568.SZ,X600177.SH,X000338.SZ,X002074.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X600089.SH,X002294.SZ,X002456.SZ,X002465.SZ,X600867.SH,X002426.SZ,X000050.SZ,X600498.SH,X601877.SH,X002049.SZ,X300001.SZ,X002007.SZ,X000869.SZ,X000977.SZ,X600699.SH,X002180.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.13261278607665,0,0,0.377009431243582,0,0,0,0,-0.0294045553118666,0,0,0,0,0,0.0422347907381767,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775256634258007,0,0,0,0,0,-0.0415261906183063,0,0,0,0.0045458423014721,0,0,0,0,0,0,0,0,0,0,0,0.076928050918849,0,0,0,0,0,0
X600104.SH,0,0,0.108661367053711,0,0,0,0,0,0.078465291597704,0,0,0,0,0.243589994909114,0,0,0,0,0,0,0,0,0,0,0,0,0.0577219323020352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106754859468537,0,0,0,0,0.138944335292753,0,0,0,-0.000194586149864408,0,0,0,0,0,0
X002415.SZ,0,0.0631513780305019,0,0,0,0,0,0,0,0,0,0,0,0,0.299245037856931,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.146239783011859,0,0.0116993533226016,0,0,0,0.0599860036759415,0,0,0,0.00262288195969382,0,8.67361737988404e-19,0,0,0,0.0699168971119124,0,0,0,0.0915809636730989,0,0.0509123587057168,0.0284033807219371,0,0,0,0,0,0
X000651.SZ,0,0,0.0756054669875549,0,0,0,0,0,0.139677478451837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171844059545266,0,0,0,0,0,0,-0.0823853953320943,0.0637635127881319,0,0,0,0,0,0.060591198746904,0,0,0.186061984599641,0,0.271277701022305,0,0,0.0152154520554928,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0937288433503843,0,0,0.0301974112560515,0,0.0497437334319965,0,0,0,0,0,0,0.106934719870585,0,0.0494387668690499,0,0.0480963962347672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631800989434864,0.139000326064085,0,0.0251954905966856,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0177763683893444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259657652596916,0,0,0.148257672559091,0,0,0,0,0.057429124564103,0,0,0,0,0.0503663496447745,0,0,0.138535486437721,0,0,0,0,0.134968692759421,0.00421845386534418,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547285065256972,0,0.0206169737443373,0,0,0,0,0,0,0,0,0,0,0.306252957793726,0,0.0411946379367181,0,0,0,0.0545164196237323,0,0,0,0,0,0,0.0374707746119121,0,0,0,0.00240128080444054,0,0,0,0,-0.0565091739300963,0,-0.00736646111160175,0,-0.0339841206285453,-0.00531522384597594,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330203992107412,0.0446198787547629,0,0.230491968217187,0,0,0,0,0,0,0.0787926130885712,0,0,0,0,0,0.028470052574136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286069003959311,0,0.0163289464078254,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.220485958696406,0,0,0,0,0,0.0232605255352394,0,0,0.142812843415786,0,0,0,0,0,0,7.24419042465868e-06,0,0,0,0,0,0,0.114636624076482,0,0,0,0,0,0,0,0,0,0,0,0.139452434366448,0,0,0,0.0642627496459948,0.105347593041181,0,0,0,0,0,0,0,-0.0548283010174258,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.106412011708797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374353104667822,0,0,0,0.0542567284365172,0,0,0,0.0581328819821847,0,0,0,0,0,0,0,0.0689915891266096,0.0446620381468901,0,0,0,0.0141599199554542,0.0781203543129921,0,0,0,0,0,0,0,0,0
