,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X600271.SH,X600118.SH,X000559.SZ,X600031.SH,X000100.SZ,X002241.SZ,X600066.SH,X002236.SZ,X002475.SZ,X600741.SH,X600372.SH,X000157.SZ,X000338.SZ,X002049.SZ,X600089.SH,X300124.SZ,X002465.SZ,X600177.SH,X000568.SZ,X601877.SH,X002074.SZ,X600582.SH,X002294.SZ,X300003.SZ,X000869.SZ,X002506.SZ,X300001.SZ,X600252.SH,X002426.SZ,X002085.SZ,X000977.SZ,X600867.SH,X000547.SZ,X600839.SH,X002129.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.142544232310364,0,0,0,0,0.0246854946958801,0,0,0,0,0.0134613660589304,0,-0.0571624608006454,0,0,0,0,0,0,0,0,0,0,0,0,0.00513926841042349,0.161507692894517,0,0,0,0,0,0,0,0,0,0,0.0558581580647266,0,0,0,0.0299209766087933,-0.00847745982333725,0,0,0,0,0.0229044201627533,0,-0.0117062788733161,0.0211063577204755,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.332150978926989,0,0,0.0202925192770446,0.0845568803998204,0,0,0,0,0,0,0,0,0,0,0.0802204454596688,0,0,0.0193699379098211,0,0,0,0,0,0,0,0,0,0,0,0.00779023285016219,0,0.0198997964432849,0,0,-0.159792354293452,0,0,0,0.048286389466343,0,0,-0.003632912662984,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108918530305276,0,0,0,0.0791318832189013,0,0,0.0722386593481314,0,0,0,0,0.0801349943344453,0,0.22726032083138,2.99003526171208e-05,0,0,0,0,0.028939594925616,0,0,0,0.0462030641479703,0.0373442594325616,0,0,0,0,0,0.0479788252352505,0,0,0,0,-0.0175093424718402,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112520590416969,0,0.0114358318082132,0,0.0366648340188681,0.0172387331083024,0,0,0,0.113445300621473,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0173506936862675,0,0,0,0,1.73472347597681e-18,0,0.0611097832361469,0.0511485627737685,0,0,0.0422381552804533,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0105151445250903,0,0,0,0,0.0572635339154155,0,0,0,0,0,0,0.0325737159856378,0,0,0,0,0,0,0,0,0,0.0492020088527282,0.0305876430281382,0,0,0,0,0,0,0,0,0,0,0,0.00983536061239756,0,0.019440941929319,0,0,0,0,0.0359314181006752,0.134102415513161,0.143895026918159,0.00920743892491759,0,-0.00821966001875947,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.00953119634008953,0,0.120532259043055,0,0,0,0,0,0.0683547487745314,0.0435566847156169,0,-0.0697443428478463,0,0,0,0.100387524826685,0,0,0,-0.0235847539097827,0,0,0,0.0996371760307695,0,0,-0.0831502044711706,0,0,0,0,0,0,0,0,0.0265281907523965,0,0,0.0309392284604104,0,0,0,0,-0.0689230583914895,0.060276343080613,0,-0.243680189439472,0,0,0,0
X002304.SZ,0,0.136562987631471,0,0,0,0,0,0,0,0,0,0.0185415421343315,0,0,0.0414705356952549,0,0,0,0,0,0.169064974661191,0,0.21282735076172,0,0,0,-3.46944695195361e-18,0,0,0,0,0.207788750013646,0,0,0,0,0.134438736032545,0,0.0115623625039432,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0016508162922785,0,0.086324255275074,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.070876221681372,0,0,0,0,0,0.0571389283297454,0,-0.0243493420762685,0,0,0,0,0,0.132924565209964,-0.116331262191717,0,0,0,0,0,-0.0867300730398549,0,0,0,0,0,0,0.0397035398365664,0,0,0,0,0.0194938222253313,0.117046665619897,0,-0.066834925067014,0,0,0,0.0751040649489086,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0.137049253785994,0,0,0,0,0,0,0,0,0,0.0758086528637288,0,0,0.0388631244729454,0.152485710499952,0,0,0,0.336875385530566,0,0,0.017781128838754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032179448758217,0.0624206500657015,0,0,0,-0.0243920668989093,-0.00396492808872839,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.110933070457059,0,0,0.0350313847387364,0,0,0,0,0,0,0,0,0.0285277045503233,0,0,0,0,0.224328221677963,0,0,0,0,0,0.0218060968488035,0,0,0,0,0,0,0,0.000533437066832242,0.014589862767754,0,-1.73472347597681e-18,0,0.117284968411225,0.0174155692540899,0,0.00701375437438428,0,0,0,0,0,0,0
