,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X000568.SZ,X002236.SZ,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X002475.SZ,X600177.SH,X002292.SZ,X002456.SZ,X000338.SZ,X000559.SZ,X600372.SH,X000157.SZ,X002007.SZ,X300003.SZ,X002074.SZ,X002506.SZ,X600867.SH,X002180.SZ,X600522.SH,X300124.SZ,X002085.SZ,X002294.SZ,X600498.SH,X600089.SH,X002426.SZ,X002508.SZ,X002249.SZ,X601877.SH,X600487.SH,X000050.SZ,X000550.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.369916216690408,0.0366188998722315,0,0,0.0357055184866479,0.135412632679663,0,0,0.00299654000923775,0,0,0.00770010871023524,0,0.128629105912932,0.0368181416416051,0,0,0,0,0,0,0.0593908742131294,0,0,0,6.93889390390723e-18,0,0,0.220000011885446,0,0.0301975255854985,0,0,0,-0.0366363182618987,0,0,0,0,0,0,0,0,0,0,0,0.00638660058998639,0,0,0.0742269410318762,0.0171847483156437,0,0,0,0,0,0
X600104.SH,0.105845434307344,0,0.150312398341044,0,0,0,0,0,0.420228694225926,0,0,0,0.0464463687610332,0,0.0625840603032691,0,0,0,0,0,0,0,0,0,-0.103830566295216,0,0,0,0,0,0,0,0,0,0.0375192973535603,0,0,-0.0445624606597539,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176172463349206,0,0,0,-0.331178886075813,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429963465476147,0,0,0,0,0,-0.119049213383696,0,0.0548227375826395,0,0,0,0,0.0954068802288981,0.00202399235592797,0,0,0.44219922039198,0,0,0,0,-0.153008573498117,0,-0.0227387020576602,0,0,0.0837837991343394,0,0.0139207596451276,-0.00594930820804421,0,0,0,-0.163347495993585,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145934771184681,0,0,0,-0.0840697075845456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128596777836774,0,0,-0.00380174178986337,0,0,0,0,0,0,0
X000858.SZ,0.0840415139671332,0,0,0,0,0,0.0223631036091124,0,0,0.241866040671648,0,0,0,0,0,0.522353223595576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545086703714272,0,0,0,0,0.0497834598450988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357919246628835,0.00286377020597435,0,0,0,0,0,0
X600276.SH,0.127136772283098,0,0.179521765788479,0,0,0,0,0,0,0,0,0,0,0.0875103886120109,0,0,0.0209364111457761,0,0,0,0,0,0,0,0,0,0.0117165875840398,0,0,0,0,0,0,0,0.0604178108979026,0,0,0,0,0,0,0,-0.0106682704183012,0,0.0854862128931584,-0.137245204101413,-0.0115095352269045,0.0389337523385083,0,0,-0.0124372307155557,-0.0507960690469876,0,0,0,0,0,0
X002304.SZ,0.0143142622317599,0,0,0,0.681643767539896,0,0,0,0,0,0,0,0,0,0.0447550430119979,0.0369114589961058,0,0,0,0,0,0,0,0,0,0,0,0.0665822496557407,0.00399928595825297,0,0,0,0.044286017680331,0,0.0475445574005153,0.00312752230728562,0,0,0,0,0,-0.0331684439978554,0,0,0,0.0282747327687726,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0168742493278791,0.154243795423645,0,0,0,0.0478570767439549,0,0.17297282392438,0,0,0,0,0.0143344030318229,0,0,0,0,0.0909464944654556,0,-0.0422497594165888,0,0,0,0,0,0,0,0,0,0,0.0268128379057509,0,0,0,0,0,0,0,0,0,-0.0832706368409851,0,-0.0360716859326873,0,0,-0.000484791173348502,0,0
X000625.SZ,0,0.190362491841401,0,0,0,0,0,0,0,0.0238836628977793,0,0,0.152737540058277,0.044604520425332,0,0.000800015951682561,0.0517871519048962,0,0,0,0,0,0,0,-0.0444758678239379,0,0,0.0173531821282649,0,0,0,0,0,0,0,0.0319223281329395,0,0,0,0,0,0,0,0,0.00851835185824637,0.0881629507125329,0.00102455547951365,0,0,0,0,0,-0.0629053026282485,0,0,0,0,0
X600690.SH,0,0,0,0,0.127898354119375,0,0,0,0,0,0.0796600573421272,0,0.0443865565855324,0.0315205751998143,0,0,0,0,0,0,0,0,0,0,0,0,0.0162958737446946,0,0,0.12370615328062,0.0603792410898748,0,0,0,0.000144170843400629,0.0494849992628974,0,0,0.0603916657787957,0,0,0,0,0,-8.67361737988404e-19,0.0128911129366228,0.00458244246981315,-1.35525271560688e-20,0,0,0,0.0695103696815808,0,0,0,0,0,0
