,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X002292.SZ,X600703.SH,X000100.SZ,X600741.SH,X600066.SH,X600031.SH,X002506.SZ,X002241.SZ,X600118.SH,X002236.SZ,X002475.SZ,X000559.SZ,X000157.SZ,X600372.SH,X600177.SH,X000338.SZ,X002074.SZ,X000568.SZ,X300003.SZ,X300124.SZ,X002085.SZ,X600089.SH,X002294.SZ,X002049.SZ,X002465.SZ,X600867.SH,X600498.SH,X601877.SH,X600582.SH,X002007.SZ,X002180.SZ,X002456.SZ,X000869.SZ,X300001.SZ,X000623.SZ,X000050.SZ,X000981.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0676252646155055,0.114873674090118,0,0,0.293506840470649,0,0,0,0,0,-0.018242328181669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332223850287253,0,0,0,0,-0.0539762016489346,0,0.0603384299581721,0,0,0,0,1.38777878078145e-17,0.123970423362136,0,0,0,0,0,0,-0.0150407977537353,0,0,0,0,0,0,0
X600104.SH,0.0218123127592454,0,0.178085682219677,0.126418654729266,0,0,0,0,0,0,0,-0.0235620757871902,0,0,0.359286427638651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474465542291354,0,0,0,0,0,0,0,0,-0.00746625647073221,-0.0174038928072943,0,0,0,0,0,0
X002415.SZ,0,0.0262995771673608,0,0,0,0,0,0,0,0,0,0,0,0.380671313005207,0.238571099187784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.190893537648695,0,0,0,0,0,0,0,0.042149096497226,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.195973156448243,0,0,0.00940094716424506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356249955100384,0,0,0,0,0,0,0,-0.050391746487453,0.0985457531033797,0,0,0.0416036054544535,0,0.287768166917895,0,0,0.121933846259778,0,0,0,0,0,0.0314195694444329,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0245518471477306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.128229567343609,0.0986063501980581,0,0,0,0.147941321258217,0,0.087182983219319,0,0,0,0,0,0.00721102189131217,0,0,0,0,0,0,0
X002304.SZ,0.0495770394557272,0.299944717290383,0.00499261076505133,0,0,0,0,0,0,0.147764770683901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933296103024797,0,0,0.0940039212081806,0.0420872760668607,0,0,0,0,0,0,0,0,0,0,0,0.0733531564527234,0,0,0,0,0,0,0.0198345897339785,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0111793816967317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262727406252004,0,0.0523136031220512,0,0,0,0,0,0,0,0,0,0.055503859837048,0,0,0,0,0.00244567577386849,0,0,0,0,0,0,0,-0.00952364382401475,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130456502758369,0,0,0,0,0,0,0.0108264099889896,0,0.103683312012077,0.0561146657204731,0,0.15844997063013,0,0.0153225377671048,0,0,0,0.00358910054066419,0.16617310658655,0,0,0,0,0.069411812900453,0,0,0,0,0.0509604744583218,0,0,0.140254044506109,0,0,0,0,0.00421629796586465,0,0,0,0,0,0,0
X000625.SZ,0,0,0.0550446606056619,0.162264459269491,0,0,0,0,0,0,0,0.039882148919082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115757270626857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710576505000421,0.243397471346808,0,0.0129236974128796,0,0.0803559161726544,0.0459340143131323,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0930091444246224,0,0,0,0,0.00222378906064586,0,0,0.00566121058338297,0,0,0,0,0,0.0592842188762144,0,0,0.217260344371098,0.0784913663666027,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0317074565790538,0,0,0,0.123929563516607,0.0778383308845767,0.0651626240133662,0,0.0767539350366152,0,0,0,0,0,0,0,0,0,0,0,0,0
