,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X002007.SZ,X600741.SH,X600183.SH,X002371.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X000977.SZ,X000596.SZ,X601877.SH,X002236.SZ,X300124.SZ,X300142.SZ,X000157.SZ,X000625.SZ,X000800.SZ,X002463.SZ,X002129.SZ,X002456.SZ,X600498.SH,X002179.SZ,X600118.SH,X002223.SZ,X002049.SZ,X300136.SZ,X000066.SZ,X600271.SH,X002414.SZ,X600584.SH,X600487.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.370198021708812,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0377154132352432,0,0,0,0,0.190686687838372,0.0713792891647011,0,0,-0.0351028944895902,0,0,0.0656042457723869,0,0,0,0,-0.0333696060648165,0,0,0,0,0,0,0,0,0.0751083641450362,0,0,-0.0184225834349175,0,0,0,0,0,0,0,0,0.0193081601636488,0,-0.0140505682715491,0,0,0,-0.443435253730036,0,0
X000858.SZ,0.0609977915819102,0,0,0,0,0,0,0,0.167544508100387,0,0,0,0.382625979475696,0.0915882765956257,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.195592932324508,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.00329028612916434,0,0.0223623996583973,0.013898960826929,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558409113049808,0,0,0,0,0.030936633479169,0.0280423459515239,0.0210212986837233,0,0,0,0,0,0,0.0574261202314823,0,0,0,0.000531810319513749,0,0,0.0291225464062446,0,0,0,0,0,0,0,0,0.0359592856233433,0,0,0.0100734228584729,0,0,0,0,0,0
X000651.SZ,0,0.135252388068552,0,0,0,0.0529234731402557,0.0447101256362562,0,0,0,0,0,0.139471521359655,0,0.0252803652021735,0.0468180633346394,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0569036853478128,-8.67361737988404e-19,0,0,0,0.176104828175493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00859022674462267,0,0,0,0,0,0,0
X002415.SZ,0,0.0633781396094794,0,0,0,0.187604237970164,0,0,0,0,0,0,0.2741795465791,0.0110464285627537,0,0,0,0,0,0,0,0.0802189359163725,0.0112445540293104,0,0.051183837300227,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0276060323269095,0,0,0.000876565174306242,0,0,0,0,0,0.0927349505798633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.32867118526833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172346422449991,0,0.0685538912940369,0,0.112536177167095,0.116881686588961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186751017385231,0,0.276149880678074,-0.0420042430560122,0,0,0,0,0,0,0.00919958937010777,-8.67361737988404e-19,0,0,0,0,0,0
X600104.SH,0,0.248653977762061,0,0,0,0,0,0,0,0,0,0,0,0,0.119911745186913,0,0,0,0,0,0.0888994873307099,0,0,0,-0.0197107418205145,0,0.101494299509852,0.0334376491579763,0,0,0,0,0,0.100449063397791,0.168926066650843,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226435314866571,-0.0122037152732111,0.029199427977816,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.127760897148956,0,0,0,0,0,0,0,0,0,0,0,0,0.200848665003434,-0.0487989960690427,0,0.0910328485753687,-0.173276353402313,0,0.0966627064192325,0,0,0.0970509982265006,0,0,0,0,0,0.0528931111913474,0,0,0,0,0.517919502857101,0,1.73472347597681e-18,0.0313930864113833,0,0,0,0,0.0195324822239736,0,0,0,0,0.0169679106639809,0.0596084616357024,0,0,0,0,0,0
X600031.SH,0,0.0568091574611086,0,0,0,0,0,0,0,0,0,0,0,0.0676550061691551,0.171679684484808,0,0,0,0,0,0,0,0,0,0.07229473063692,0,0,0.0374900568751119,0,0,0,0,0.341259234422082,0.0528614815325025,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306233563645816,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.164616369803393,0.101495277030294,0,0,0,0,0,0,0,0,0,0,0.00960346733269203,0,0,0,0,0,0.072131017293129,0,0,0.0919942037636022,0,0.00452302627459479,0,0.0563522068813571,0,0,0,0,3.46944695195361e-18,0,0.151949596930205,0,0,0.0953912263827543,0,0,0,0.0360171795196505,-0.00793433828726041,0,0,0,0,0,0
