,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X000651.SZ,X600031.SH,X002304.SZ,X600809.SH,X600690.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X003816.SZ,X600703.SH,X000100.SZ,X002241.SZ,X000596.SZ,X002371.SZ,X000625.SZ,X600741.SH,X002129.SZ,X000157.SZ,X002007.SZ,X601877.SH,X002049.SZ,X002236.SZ,X002179.SZ,X600584.SH,X002414.SZ,X300142.SZ,X000799.SZ,X601799.SH,X600183.SH,X002074.SZ,X300003.SZ,X002008.SZ,X000066.SZ,X600089.SH,X000800.SZ,X600779.SH,X000977.SZ,X000050.SZ,X600118.SH,X000547.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.11791515114476,0,0,0,0,0,0,0,0.153660711314902,0,0,0,0,0.084169220668277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00176404192077467,0,0,0.0389596962181299,0,0,0.00675504635083144,0,0,0,0,0,0.0441614132061097,0,0,0,0,0,0,0.00931461014487842,0,0,0,-0.0144538106230064,0,0
X000858.SZ,0,0,0,0,0.22490419906645,0,0,0,0.0673839892582753,0.152866434482801,0,0,0,0.0651239126684758,0.0209256842755783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628677749113256,0,0.0271696053666547,0,0,0,0.00668306661276711,0,0.104292765696847,0,0,0.0021418612566245,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273501310674646,0,0,0,-0.00417590628083982,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390312591459514,0,0,0,0.0446235699521896,0,0.0366770866815244,0,0,0.00408285623744368,0.143702848328935,0.0544936570017818,0,0,0,0,0.0807803774199275,0,0,0,0,0,0,0,0,0.00438286393138751,0,0,0,0,-0.00220149924998214,0,0
X600276.SH,0,0,0.0961780622978244,0,0,0.105080325534319,0,0,0,0,0,-0.0810220721155827,0,0,0.112408429702966,0.0240041631735181,0,0,0,0.016211861017152,0,0,0,-0.122674276966785,0.0271137692120067,0,0.102531840627606,0,0,0,0.0476304228429457,0,0.0594565725562241,0,0,0,0,0,0,0,0,0.114606005594924,0,0,0,0,0,0,0,0,0,-0.00859963725346646,0,0,0,0,-0.00890989240773364,0,0
X000568.SZ,0,0.111560551174557,0,0,0,0,0,0,0.236167080975129,0.337257862362315,0,0,0,0,0,0,0,0,0,0,-0.0184975996546475,-0.0297899459910574,0,-0.0532276091579719,-0.0240737054949348,0,0,0,-0.0418154887415637,0,0,0,0,0,0,0,0.0873055019692518,0,0,0,0,0,0,0,0,0.102374917008395,0,0,0,0,0,0,-0.0255302345698917,0,0,0,-0.00200668932221496,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0989192753434396,-0.0385809744979055,0,0,0,0,-0.0564203856648554,0,0,0,0,0,0.0529196381434196,0,0.456721409534269,0,0,0,0,0,0,0,0,-0.0292778605812248,0,0,0,0,0,0,0.0391256403512353,0.100452198455695,0,0,0,0,-0.0441769215424296,0,0,0,0,0.0683272213268138,0,0,-0.0230039389663494,0,0,0,0,0.0241573064061206,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.145985560024047,0.120126856572919,0,-0.0435051112995717,0,0,0,0,0.0294157545086703,0.0156712586039552,0,-0.0431124640415811,0,0.0484719320338794,-0.0340782927725858,-0.0405693752934623,0,0.205769177797222,0,0,0,0,0,0.10569412602091,0,0.0408889646129435,0,0,0,0.15102877834425,0,0,0,0,0,0,0,0,0,0,0,-0.0015440733527456,0,0,0,0,-0.0245303141532457,0,0
X600031.SH,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.196341305513798,0,0,0,0,0,0,0,0,0,0.0493293665039568,0.0153516074628093,0,0,0,0.0598762282568768,0,0,0.251623419599984,0,0,0,0,0,0,0,-0.0198479023573539,0.0122105502957327,0.196669325883171,0,0,-0.070379308479869,0,0,0,0,0,0,0,0,0,0,-0.0267838734959307,0,0,0,0,0.0168113322969303,0,0
X002304.SZ,0,0,0,0,0.0949336952661737,0,0,0,0,0.312620071353309,0,0,0,0,0,0.0312722460963111,0,0,0,0,0,0,0,0,-0.0784990149675394,0,0,0,0,0,0,0,0,-0.0227311637775149,0,0,0.013845168029903,0.243851394212218,0,0,0.150301828814349,0,0,0,0,0.11630088979462,0,0,0,0,0,-0.0394727308683943,0,0,0,0,0.0241181143324109,0,0
X600809.SH,0,0.274452410881975,0,0,0,0,0,0,0,0,0.455381184106496,0,0,0,0,0,0,0.0919509499148979,0,0,-0.00199878587989489,0,0.113987410956686,-0.193355144525839,0,0,0,0,0,0,0,0,0,0,0,0,0.11613316421158,0.076209465394997,0,0,0,0.0387481725399704,0,0,0,0,0,0,-0.0806441038225022,0,0,0,0,0,0,0,-0.00637649279158952,0,0
X600690.SH,0,0,0,0,0,0,0.0723595024192827,0.0931918385023983,-0.0739249523406355,0.344152720978018,0,0.120595689593245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254922810001434,0.000648004765238111,0,0,0,0,0,0,0,0,0,0,0,0.163091730696889,0,0,0,0.0461059542941589,0,0,0,-0.000167189712097988,0,0
X600104.SH,0,0,0,0,0,0.142882566255541,0,0,0,0,0,0,0,-0.00827504347983227,0,0.0582917487530866,0,0,0,0,0,0,0,0,0.196345755044259,0.147990421522715,0,0,0,0,0,0,-0.0450744027713846,0,0,0,-0.0561129114655827,0,0.0606601237925226,0.177760900193544,0,0.0248208287247696,0,0,0.22163180388619,-0.0284330417196535,0,0,0,0,0,0,0,0,0,0,-0.00438343522562584,0,0
