,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X600066.SH,X000100.SZ,X002236.SZ,X601877.SH,X600118.SH,X600271.SH,X002456.SZ,X300124.SZ,X000157.SZ,X600177.SH,X600372.SH,X600089.SH,X002007.SZ,X600522.SH,X002085.SZ,X000066.SZ,X300136.SZ,X002508.SZ,X000981.SZ,X300003.SZ,X600867.SH,X600699.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002292.SZ,X002180.SZ,X600498.SH,X002008.SZ,X000596.SZ,X600809.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.09546454449225,0,0,0,0.0564465768021129,0,0,0.0159088467808251,0,-0.0931701077919428,0.0368798657022202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140129646716347,0.0391182217144384,0,0,0,0,0,0,0,0.0256891462503107,0,0,0,0,0,0.192955988214812,0.122027663870583,0,-0.00597489879618347,0.000972736500411476,0,0,0,0,0,0
X600104.SH,0,0,-0.034208999158388,0,0,-0.0734945399409774,0,0,0,0,0,0,0,0,0.669908946119355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167469262084,0,0,0,-0.0773605363056699,0,0.0244179374410471,0,0,0,-0.129213385756655,0,0,0,-0.0804533872187531,0,0,-0.0467210769300054,0,0,0,-0.00197983665257653,-0.0339473712919666,0.0162354293784075,0,0,0,0,0,0
X002415.SZ,0,0,0,0.100979618765699,0,0,0,0,0,0,0,0.0822248783064633,0,-0.0242895590464616,0,0,0.127112744550921,0.233290899733545,0,0,0.213768505996341,0,0,0.038021135519642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332465936330737,0,0,-0.263174140767568,0,0,0.00949014300607985,0,-0.0566625200559742,0,0.00285301787614093,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.413307773243919,0.741415081211258,0,0.374356314278501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571686935011347,0,0,0,0,0,0,0,-0.081292393276504,0,0.0546515165291595,-0.0729229704259345,-0.178107566251254,0,0,0,0,0,0,0,0,0,0.00343010996664525,0,0,-0.0484045554597447,0.0178822722444859,0,0,0,0,0,0
X000858.SZ,0,0,0,-6.93889390390723e-18,0,0,0,0,0.00333856753708001,0,0,0,0,0.379468422537693,0.0722669309153281,0,0,0,0.178348837515396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173557683702675,0.0460497054350132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201351590650863,0.0496419142334593,0,0.0105847682369509,-0.0021942268161213,0,0,0,0,0,0
X002304.SZ,0,0.0912043656162234,0,0.0245959474296232,0,0,0,0,0,0,0,0,0,0.148386487584546,0.405945443514477,0,0,0,0,0.0889090709084685,0,0,0,0,0,0,0,0,0,0,0,-0.0659946479378987,0,0.0549061313185048,0,0,0,0,0,0,0,-0.011437240115965,0,0,0,0,0,0,0.116484689495907,0,-0.00956319334928683,0,-0.00182762171837037,0,0,0,0,0,0
X600276.SH,0,-0.135369378163515,0,0,0,0,0,0.0104716645363307,0,0,0,0.226227157337575,0,0,0,0,0,0,-0.116947269765529,0,0,0,0,0.0408519262066155,0.0568101177679785,0,0,0,0,0.0446016647323892,0,0,0,0.0570415965477252,0,0,0,0,0,0,0,0.00431359351120791,0,0,0,0,0,0,-0.00288885204419995,0,-0.144350837288673,0.0110293650545394,0.00247203230777223,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0397552374064392,0,0,0,0,0,0,0,0,0,0.261416749548321,0,-0.57760088594681,0,0,0,0.167271613290693,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.221523164056016,0,0,0,0,0,0,0.162953306548208,-0.0449765529822167,0.00959409711536315,0,0,0,0,0,0
X000625.SZ,0,0,0,0.184050731243641,0,0,0,0.103603068244227,0,0,0,0,0,0,0.278673382739371,0,0,0,0,0,0.340121687333915,0,0,0,0,0,0,0,0.130815967537016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636510110063405,0,0,-0.000912041292046127,-0.00528611163561317,0,0,0,0,0,0
X600690.SH,0,0,0,0.206286335491601,0.0517895716938205,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0416210427691847,0,0,0,0.0808774730735978,0,0,-0.0302383377516639,0,0,0,0,0,0,0,0.00733121262358327,-0.0750406428887997,0,0,0,-0.0604830318616584,0,0,0,0,0,0.015281732305164,0,0,0,0,0,0,0.000697896125973732,-0.00381207486020226,0,0,0,0,0,0
