,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000063.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X600690.SH,X600031.SH,X000100.SZ,X600372.SH,X600118.SH,X600271.SH,X002129.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600089.SH,X600741.SH,X600177.SH,X002241.SZ,X002292.SZ,X002236.SZ,X600582.SH,X600066.SH,X000800.SZ,X601877.SH,X300124.SZ,X600060.SH,X000977.SZ,X002475.SZ,X000581.SZ,X600839.SH,X000623.SZ,X002294.SZ,X000869.SZ,X002456.SZ,X000559.SZ,X002465.SZ,X000568.SZ,X600435.SH,X600867.SH,X000550.SZ,X300003.SZ,X600498.SH,X002007.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0281492036266099,0,0,0,0.154993678394749,0,0,0,0,0,0.0608436334793298,0,0.145788112034752,0,0,0,0.148543506914291,0,0,0,0,0,0,-0.0730260168844636,0,0,0,0,0,-0.0564391520940194,0,0,0,0,0,0.00997688283741821,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0100514944720007,0,0,0,0,0,0
X600104.SH,0,0,0.251963408192128,0.0417266380275647,0,0.0528380177858325,0,0,0,0,0,0,0,0.0385483204663348,0,0,-0.0368876207934396,0,0,0,0,0,0,0,0,0,0,0.086451845458182,0.026497644221855,0,0,0,0,0.0611862887376542,0,0,0.00644417715843415,0.0667674004038784,0,-0.00993801562553608,0,0,0.208906548670827,0,0,0,0,0,0,0,0,-0.02477274405634,-0.0282916791850341,0,0,0,0,0,0
X000651.SZ,0,0.202627659750583,0,0,-4.33680868994202e-19,0.0248725916566268,0.0247865350379093,0,0,0,0.0745743280461931,0,0,0,0,0,0,0,0.0533818141832077,0,0.0531510001989977,0,0,0,0,0,0,0,0,0,0,0,0.103198473442761,0,0,0,0,0,0,0,0,0,0.0306679019175756,0,0,0.209568633288037,0,0,0,0,0,0.00992828000520285,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696125408118017,0.161491722987456,0,0,0,0.105173520050384,0,0,0,0,0,0.0868848855801379,0,0.0308599996021963,0,0,0,0,0,0,0,0,0.00205249998691945,0.0818881480264647,0,0.0971287945397759,0,0,0,0.0460121133153738,0,0,0,0.215501656091339,0.220997340842018,0.0166440566965498,0,0,-0.0394894430161979,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.120360854429795,0.0336279866567058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18237829138208,0,0,0,0,0,0,0,0,0.0827261029626543,0,0,0,0,0.252159555892928,0,0,0,0,0,0,0,0,0.386473906421689,0,0,0,0,0,0.00835146147589746,-0.0172970340282828,0,0,0,0,0,0
X000063.SZ,0,0,0.0397285343145783,0,0.107823654951894,0,0.0186915489926927,0,0.0225698801028269,0,0,0,0.0724923589382703,0,0,0,0,0,0.020890573178865,0,0,0,0,0,0,0.0261638171203418,0,0,0,0,0,0.0213485606026216,0.050917212619125,0,0,0.0540380891739525,0,0,0,0,0.0692118452953032,0,0.169191771548113,0,0,0,0,0.202164062182094,0,0,0,0,0.021780630526941,0,0,0,0,0,0
X000625.SZ,0,0,0.0728582208612675,0.0861882637144557,0.246757988313861,0,0,0,0,0,0,0,0,0.0408505376120839,-0.211745451544189,0.0393637781616305,0,0,0.0268129115912294,0,0.0806857982475485,0.0901695751101589,0,0,0,0,0,0,0,0,0.00405159262889411,0,0,0,-0.0764842884967665,0,0,0,0,0.0352521746679416,0,0,0,0,0,0,0,0,0,0,0,0,0.0179021632719318,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0288972118335833,0,0.0403087066987195,0,0,0.0848236272239761,0,0.0206051761452456,0,0.0153030072936648,0,0,0.00893416738351965,0,0,0.0768272073546116,0,0,0,0.046606443646069,0,0,0,0,0,0,0,0,0,0,0,0,0.0225323552569112,0,0,0.205408558929498,0,0,0,0.193973559300374,0,0,0.00449483337965527,0,0,0,0.0692274582016774,0,0.00227641742932197,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0898817274482706,0,0.259610048276651,0,0,0,0.0324968894880574,0.126196301479437,0,0,0,0,0,0,0,0,0,0.0923544965219112,0,-0.0128746426112586,0.1209042899929,0,0.0790613359012205,0,0,0,0,0,0,0,0,0,0,0,0,0.0665692960748443,0,0,0,0,0,0,0,0,0,0,0.0183428849588669,1.73472347597681e-18,0,0,0,0,0,0
X600276.SH,0.084219227860132,0,0,0,0,0,0,0,0.0114570075450676,0,0,0,0.00535960366753823,0,0,0,0,0,0,0,0,0,0,0,0,0.0954531647248484,0.102652984294861,0.154375491025893,0,-0.0880047593368084,0,0,0.0197706131288841,0.010729850442055,0,0.00277122462787343,0,0,0,0,-0.00795075095258977,0,0,0,0,-0.0794243471879869,0,0,0,0,0,0,0.0125045805205138,0,0,0,0,0,0
