,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X600066.SH,X002236.SZ,X000100.SZ,X601877.SH,X600118.SH,X600271.SH,X000157.SZ,X300124.SZ,X600372.SH,X002456.SZ,X600177.SH,X002007.SZ,X600089.SH,X600522.SH,X002085.SZ,X000066.SZ,X000981.SZ,X002508.SZ,X300003.SZ,X600867.SH,X600699.SH,X002294.SZ,X002292.SZ,X000559.SZ,X300136.SZ,X002180.SZ,X002074.SZ,X600498.SH,X600809.SH,X000623.SZ,X002426.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0572915102294656,0.00604496291010662,0,0.118338266556511,0,0,0,0,0,0,0,0,0,0,0.0783931041462405,0,0,0,0.00142752003031262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584969746564997,0,0,0,0.175491621656625,0,0,0,-0.0164907225774681,0.00395608859774586,0,0,0,0,0,0
X600104.SH,0,0,-0.168866690740547,0,0,-0.0605893408254368,0,-0.0499247951529575,0,0,0,0,0,0,0.744234391361335,0,0,0,0,0,0,0,0,0,0,0,0,0.122839470436058,0,-0.00631007156646113,0,0,0,-0.0479603664107164,0,0.166692323558898,0,0,-0.135548603034547,0,-0.0581237065714624,0,-0.123490443577453,0,0,0,0.0479361087377784,0,0,0,-0.0149540168201572,0.00928043304769025,0,0,0,0,0,0
X002415.SZ,0,0,0,0.122582074828321,0,0,0,0,0,0,0,0.0921644266660641,0,0,0,0,0.046763643690865,0.242175852720704,0,0.17445351934065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177368980145248,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.175437640808243,0.013294215691689,0,0,-0.0600761302396493,0.00536244003781903,0,0,0,0,0,0,0
X000651.SZ,0,0.322380137591772,0.0873153369162841,0,0,0,0,0,0,0.239381766458309,0.322788637547693,0,0.102235140996163,0,0,0,0,0,0,0,0,0,0,0,0.523238915568516,-0.0635949312638587,0.193217395341663,0,0,0,0,0,0,0,0,0,0,0,-0.0498770232695263,0,-0.049411851525894,0,-0.152419091480584,0.0346895489384209,0,0,0,0.316885193127012,0,-0.0513477457296886,0,0.0142239217873774,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0877376995121651,0,0,0,0,0.098156353937175,0,0,0,0,0.350713900384077,0.235484585499181,0.0466392738687311,0,0,0.0796912459325405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00195000851806952,-0.0546430498340535,0,0,0,0,0,-0.0608109413544862,0,0.00709859709381367,0,0,0,0,0,0,0,0.0056313071841163,0.000884891231707784,0,0,0,0,0,0
X002304.SZ,0,0,0,0.00367754869607773,0,0,0,0.0556732613458101,0,0,0,0,0,0.235047281226443,0.453899094146827,0,0,0,0,0,0.0422535375249287,0,0,0,0,0,0,0,0,0,0,-0.0430916443859072,0,0.0389787929068819,0,0,0,0,0,0,0,0,0,0,0,0,0.098668300134902,0,0,0,-0.0080084446503792,0.0017459218717123,0,0,0,0,0,0
X600276.SH,0,-0.0551883814605296,0,0,0,0,0,0,0,0,0,0.229317253802429,0,0,-0.00331138902452465,0,0,0,-0.0967848813712607,0,0,0,0,0.00342006765822859,0,0,0,0.0467176385118581,0,0,0,0,0,0.0640467834680687,0,0,0,0,0,0,0,0,-0.0262244657504841,0,0,0,-0.0201485557435528,0,0,-0.152916199191149,0.0183052909911561,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0.138056091243498,0,0,-0.0706775532448516,0,0,0,0,0,-0.116630426087024,0.119978900496098,0,-0.72021505759511,0,0,0,0,0.275536145281892,0.0953495132516836,0,0,0,0,0,0,0,0,0,0,0,-0.0305204352390566,0,0,0,0,-0.048438554448893,0,0.277343018393147,0,0,0,0.164458559966885,0,0,0,0,0,-0.0188257040306944,0.000804826580183057,0,0,0,0,0,0
X000625.SZ,0,0.206016486653047,0,0.110943016600909,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0820882594756334,0,0.188544130064813,0,0,0,0,0,0,0,0.10655586275987,0,0,0,0.0866645071043207,-0.0333810103982088,0,0,0,0,0,0,0,-0.0629645217087688,0,0,0,0,0,0,0,0,0,0,0.0831042647358737,0,0,0,-0.0209052178876587,0.00611665667201359,0,0,0,0,0,0
X600690.SH,0,0,0,0.215462711418867,0,0,0,0,0,0,0,0.00152102295505097,0,0,0,0,0,0.0218781454333661,0,0,0,0,0.0381512908368659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0643291680841397,0,0,0,0,-0.0189851953533906,0,0,0,0,0,0,0,-1.35525271560688e-20,-0.00324005580613727,0,0,0,0,0,0
X000063.SZ,0,0,0,0.27692346312066,0,0,0,0,0,0,0,0,0,0,0,0.017198992222692,0,1.73472347597681e-18,0,0,0,0,0,-0.351732576579696,0,0,-0.0253812517953206,0,0,0.163506605197577,0,0,0,0,0,0,0.0233105509417525,0,0.200821536268388,0,0,0,-0.0332128177999517,0,0,0,0,0,0,0,-0.0153874094651288,0.0100364016942745,0,0,0,0,0,0
X600703.SH,0,0,0.306801619399948,0,0.192505717958435,0.029536916898406,0.0542641233119262,0,0,0,0,0,0.173954653903357,0,0,0,0,-0.131086057087871,0,0.13081375835072,0,0.0324412160072992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.00296356534821339,0,0,0,0,0,0,0,0,0,0,0,0.265241852937102,-4.33680868994202e-19,0.00185556590850718,0,0,0,0,0,0
