,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X600809.SH,X002456.SZ,X600867.SH,X000625.SZ,X600066.SH,X600487.SH,X600271.SH,X000100.SZ,X002294.SZ,X600566.SH,X000981.SZ,X000596.SZ,X002241.SZ,X300142.SZ,X000661.SZ,X300136.SZ,X000050.SZ,X002508.SZ,X000157.SZ,X002180.SZ,X002007.SZ,X002179.SZ,X002038.SZ,X600522.SH,X002049.SZ,X600089.SH,X600177.SH,X000977.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0513251268406875,0.352322391420179,0.156553973560007,0.0607885854705453,0,0,0,0,0.0447664033544572,0,0.00621577024320761,0,0,0,0,0,0,0,0,0.00517670567403327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131921840247735,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.41263164846534,0.197506994116976,0,0,0,0,0.0238438650224576,0,0,0,-0.370828438109541,0,0,0,0.156049655654335,0.0377451238172051,0,0,1.38777878078145e-17,0,0,0,0,0,0.0575670522047168,0,-0.11085682061267,0,0,0,0,0,0.134797259976523,-0.00040871783319045,0,0,0,-0.112987424158447,0,0.00225163351605123,0,0,0.192465590577716,0,0,0,0
X002415.SZ,0.0292556783633177,0,0,0,0.0157208020044209,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.097223207238926,0,0,0,0,0.160335761551228,0,0,0,0,0,0,0.198346220074148,-0.0426429168205253,0,0,0.180395121449305,-0.0428714885615041,0,0.190113858983683,0.0807450359765881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00179639279541173,-0.0236916106099693,0,0,0,0,0,0
X000858.SZ,0.276494287427131,0,0,0,0.156098509232567,0,0.0528711583477065,0,0,0,0.291451057383868,0.00486449323300197,0,0,0,0,0,0,0,0,0,0.0445018688534019,0,0,0,0,0,0,0,-0.00913543743173047,0,0,0.0523764337295147,0,-0.0336552318252899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000739497496780868,-0.0102311437702758,0,0,0,0,0,0
X000651.SZ,0,0,0,0.411807854486878,0,0,0,0,0,0.30965069460656,0,0.0100291070233345,0,0,0,0,0,0,0,0,0,0,0,0.0379403666221911,0,0,0,0,0,0,0,0,0,-0.0480639015292888,0,0.0198452081847668,0,0.335627421384944,0,0,0,-0.0209362268851747,0,0,0.206894835572502,0,0,0,-0.145758628647643,0,0,0.0521221677506703,0.085839806807723,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.105443905913148,0,0,0,0.0183161892966583,0,0,0.0102695368284432,0,0.315959441938111,0,0,0,0,0,0,0,0,0,0,0,-0.159928601297189,0,0,0.111471125494952,0,0,0,0,0.0492542136683392,0.0826205883510192,0,0.0526725267496824,0,0,0,0,0.167987374724238,0,0,0,0,0,0,0,-0.0684726111567733,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.114351260147295,0,0,0,0,0,0.149396488050095,0.157726318532195,0,0.322838002651933,0,0,0,0,0,0,-0.0236108131319519,0,0,0,0,0,0,-0.0454420096379835,0,0,0,0,0,0,0,0,0,-0.0171884154450271,0,0.279999919434975,0,0,0,0,0.171607669546863,0,1.73472347597681e-18,0,0,0,0,0,0.0199660497413038,0.00622821689980404,0,0,0,0,0,0
X000725.SZ,0.0290727735092686,0,0,0,0,0,0,0,0.135779192091842,0,0,0,0.00873706457844694,0,0.163481537835326,0.0813308985924441,0.288389561535163,0,0,0,0,0,0,0,0,0.0334950915224142,0,0,0.399916648802064,0,0,0,0,0,0,0,0,0,0,0,-0.148103509028312,0,0,0,0,0,0.0586786903985353,0,-0.0624989657907923,0,0,0.00825978082363329,0.0827932215784426,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481901343887492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136849931035243,0,0,0.0434272709454507,0,0,0.228584063282848,0.26190802487536,0,0,0.0230154629333761,0,0,0.00149385346605907,0.0798316431794924,0.186765540739833,0,0,0,0,0,0,0.0162417241195965,0,0,0,0,0,0
X600690.SH,0,0,0,0.302009078680269,0.157777362565986,0,0.121298450732907,0,0,0,0.120590197978561,0,0.0360006682498792,0,0,0,0,0,0,0,0,0.0155078131425874,0,0,0,0,0,0,0,0,0,0,0.0324788794126852,0,0.0927579526926224,0,0,0,0.0290717209659772,0,0.0348917642562374,0,-0.0997835320991139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
