,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X000063.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300124.SZ,X002241.SZ,X600703.SH,X300014.SZ,X000596.SZ,X000625.SZ,X600741.SH,X000100.SZ,X002371.SZ,X002007.SZ,X600584.SH,X300142.SZ,X601877.SH,X002236.SZ,X002129.SZ,X002179.SZ,X600183.SH,X000157.SZ,X002049.SZ,X000800.SZ,X300003.SZ,X601799.SH,X002414.SZ,X002008.SZ,X000066.SZ,X300136.SZ,X000977.SZ,X002185.SZ,X300146.SZ,X002508.SZ,X002456.SZ,X600118.SH,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.301857905233939,0,-0.0673246460211029,0,0.0322393337010781,0.0180014767469285,0,0,0,0.319866997997153,0,0,0,-0.0106633418695008,0,0,0,0,0,0,0,0,0,0.0743201605516281,0,0,0,0,0,0,-0.0910199579768313,0,0,0,0.0573528189351182,0,0,0,0,0,0,0.0270564641655723,0,0,0,0,0,0,0,0,0.0284712434828776,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.14837017658056,0.0209880659554099,0.27097112295641,0,0,0.0602780806991788,0,0,0,0,0,-0.0852192191765423,0,0,0,0.0834239762767353,0.117150321813507,0,0,0,-0.0279766529604752,0,0,0,0,0.00629170822606933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213952997068497,0,0,0,0,0.0012350894393477,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.207204805082141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741817355597696,0,0.121209638181346,0,0,-0.118822146158981,0,0,0,0,0,0.0369094588113827,0,0,0.0629738398455811,0,0,0,0,0,0,0,0,-0.00658332847939878,0,0,0,0,-0.0223338292626089,0,0
X002415.SZ,0,0,0,0,0,0.165777834537908,0,0,0,0,0.0719251759588602,0.12138246491608,0,0,0,-0.0600048516912306,0,0,0,0,0,0,0,0,0,0.0124534978631127,0,0,0,0,0.242092361842342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105618914300494,0,-0.0129079116455311,-0.0260429527287016,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.159075318814827,0,0,-0.0849872434265248,0,0,0,0,0,0,0,0.00211996559386841,0,0,0,0,0,0.0837714427846192,0,0.0338639672253155,0,0.089997030461138,0,0,0,0,0,0,0,0.0616217811736937,0,0,0,0,0,0,0,0.0639643427612766,0,0,0,-0.0156026161967336,0,0,0,-0.01722154505331,0,0
X002475.SZ,0,0,0,0,0.0667258840721279,0,0,-0.0888906560991564,0,0,0,0,0,0,0,0,0,0,0.324455162289605,0,0,0.0154142574236346,-0.00506688743401073,0,0.0373292540869513,0,0,0,0,0.0950327222290836,0.068932947331573,0,0,0,0,0,0,0,0.0830336361823953,0,0.195509858641142,0,0.190040171784041,0,0,0,0,0.0567293636516156,0,0,0,0.0314614715498355,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,-0.0837757101855914,0,0,0,0,0.228517210849958,0,0,0,0.0795665432566497,0,0,0.0678136030876501,0.140183831558655,0,0.196416469202385,0,0,0,0,0,-0.00681860951134417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248239166986216,0,0,0,0,-0.0629844142756493,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.468135736581025,0,0,0,0,0,0,0,0,0,0.142605674708642,0,0,0.2385981974026,-0.183694142189922,0,0,0,0,0,0,0,-0.0512989714091392,0.0642767941313686,0,0,0,0,0,0,0,0,0,0,0.00234540815139717,0,0,0.0932509839758418,0,0,0,0,-0.0803675665891645,8.67361737988404e-19,0.0830921525496433,0,0,0,0.0119895857171557,0,0
X002304.SZ,0,0,0,0,0,0,0,0.2442609047764,0,0,0.107052160935583,0,0,0,0,0,0,0,0.0818235500602806,0,0.249988732115309,0.0375691107603799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302743994434197,0,0,0.0354922374809186,0,0,0,-1.73472347597681e-18,0,0,0.00353824790377616,0,0,0,-0.0289662608257225,0,0.0252865805134128,0,0,0,0,-0.00443130695780722,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0648701442551687,0.0197925622072866,0,0,0.290159770451292,0.406117916838728,0,0,0,0,0.0258821894827617,0,0,0.0943705066676608,0,0,0,0,0,0,0,0.057908827939872,0,0.0188595242617861,0,0,0,-0.0298874323567123,0,0,0,0,0,0,0,0,0,0,-0.071368405148288,0,0,0.102547688419549,-0.0167904057126661,0,0,0,0.0351823443259973,0,0
