,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X002236.SZ,X600271.SH,X600031.SH,X000100.SZ,X000568.SZ,X600118.SH,X002475.SZ,X600177.SH,X002456.SZ,X002292.SZ,X000338.SZ,X000157.SZ,X000559.SZ,X600372.SH,X002007.SZ,X300003.SZ,X002180.SZ,X600867.SH,X002506.SZ,X600522.SH,X300124.SZ,X002074.SZ,X601877.SH,X002085.SZ,X002294.SZ,X600089.SH,X600498.SH,X002508.SZ,X002426.SZ,X000050.SZ,X002249.SZ,X600418.SH,X000981.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.244045698761435,0,0,0,0,0.202776387251124,0,0,0.0184931212149386,0,0,0.0440046742953877,0,0,0,0,0,0,0,0,0,0,0,-0.00488680766343667,0,0,1.0842021724855e-19,0,0.153221253529547,0,0,0,0,0,0,0.0748749629461201,0,0,0,0,0,0,0,0,-0.0138472366784382,0.0248616562621147,0,0,0,0.0963827498967331,0,0,0,0,0,0,0
X600104.SH,0.0928242572705924,0,0.00550894484892212,0,0,0,0,0,0.425452894814748,-1.73472347597681e-18,0,0,0,0,0.0455736525648219,0,0,0,0,0,0,-0.0448272929317869,0.182267570716922,-0.0873130902663901,0,0,0,0,0,0,0,0.0345732730224896,0,0,0,0,0,0,-0.0380697659993697,0,0,0.137437328425447,0,0,0,0,0,0.0495874698778479,-0.0673260716099544,0,0,-0.0612726342875804,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0314236292403773,0,0,0,0.1880752793074,0,0,0,0,0,0.0571064199587142,0.123512499322733,0,0,0,0,0,-0.0426359626651188,0,0,0.0416659342038117,0,0,0,0,0,0.0712471573759531,0,0.59315865700199,0,0,0,0,0,0,0,0.138253398565646,0,0,0.0471439517393887,-0.0493305591467565,0,0,0,0,0,0
X000651.SZ,0.0148264064718993,0.00772147814523795,-0.0334660801412343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828727999507762,0,0,0,0,0,0,0,0,0,0,0.0336249102646673,-0.0979962339499034,0.0444195100777454,0.0869341176721565,0,0,0,0,0,0,0,0,-0.0160241962306926,0,0.0321564330070325,0,-0.102204829899207,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0735463870862565,0,0,0.180683976279404,0,0,0.0769564041922079,0,-0.00198665194454609,0,0,0,0,0.521343596202788,0,0,0,0,0,0,0,0,-0.00854335773362604,0.0734496651373507,0,0.0317795457121653,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383130918107843,0,0.113761389497238,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.171001878169539,0,0.0951537187307377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178071550683617,0,0,0.0559749989713967,0,0,0,0,0,0.141260211338071,0,0.11116811343991,0,0.0296860508925916,0,-0.0365684074454791,-0.180997950836392,0,0.0296052038924188,0.00139424487313199,-0.00617986731802356,0,-0.0604663661512554,-0.0391768518286496,0,0,0,0,0,0
X002304.SZ,0.00549121585458259,0,0,0,0.701136018923723,0,0,0,0,0,0,0,0,0,0.0378648193978363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580528113397416,0,0,0.0427722198881501,0,0,0.0136486468321579,0,0,0.0220144768601951,0.0115052517505782,0,0,0,0,-0.0307847647998779,0,-0.0134003742535989,0,0,0,0,0,0,0,0,0,0.0833089765956551,0,0
X000725.SZ,0.0142831977742727,0,0,0,0,0,0,0,0,0,0,0.142798978716752,0,0,0,0,0,0.15631982488869,0,0.0413948809004792,0,0,0,0,0.0253863278656646,0.0604161485580547,0,0,0.0916561470459575,-0.0316440784337203,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188576084594556,0,0.00430316807921012,0,0.0106863462422657,0,0,-0.0833100077575543,0,-0.00831730110287134,0,0,0,0,0
X000625.SZ,0,0.0944595258351504,0,0,0.0200180502793582,0,0,0,0,0,0,0,0.0530292248041591,0,0,0.089156367706558,0,0,0,0.0176183921201092,0,0,0,0,0,0,0,0,0.0267811951239949,0,0,0,0,0,0.0790443605835704,0,0,0,0,0,0,0,0,0.0477612488328953,0,0,0,0.00252877112070681,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0825168301245419,0.125556630039852,0,0.0583987913123598,0,0,0,0.108955586871846,0,0,0,0.0145557292610048,0.146694615787932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141763176874536,0,0,0,0,0.0211306884842163,0,0,0,0,3.46944695195361e-18,0.114277210565988,2.71050543121376e-20,0.0153160533485977,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0565394547655681,0,0,0,0,0,0
