,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000063.SZ,X000661.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X003816.SZ,X600809.SH,X002241.SZ,X600703.SH,X000338.SZ,X300142.SZ,X000596.SZ,X002007.SZ,X002371.SZ,X300014.SZ,X300124.SZ,X000100.SZ,X002049.SZ,X600741.SH,X600584.SH,X002129.SZ,X002236.SZ,X601877.SH,X300003.SZ,X000157.SZ,X600183.SH,X000800.SZ,X002414.SZ,X000066.SZ,X300136.SZ,X000625.SZ,X002456.SZ,X000977.SZ,X002179.SZ,X600118.SH,X002185.SZ,X002008.SZ,X601799.SH,X002180.SZ,X002463.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.214141326273264,0,0.053926282180002,0,0,0,0,0,0.00515751835654206,0,0.108752613230588,0,0,0,0.175620680198098,0,0,0,0.00189029191280787,0.0325744767663275,0,0,0.0343493075612421,0,0,0.00700309137483933,0,0.0826113579440495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,-0.00163198216180243,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.247325496349919,0,0,0,0.237677445634593,0,0,0,0.328980451896648,0.0365002311593224,0.0557941654215445,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226393677797701,0,0,0,0,0,0,0,0,0,0,-0.0103249058738162,0.00505391244395105,0,0,0,0,0,0
X600276.SH,0.0623327740567009,0,0,0,0,0,0,0.139470029488008,0,0.251103351085487,0,0,0,0,0,0,0.0260565434777733,0.00525929097526885,0,0,0,0,0,0,0,0,0,0,0,0.060513430643682,0,0,0,0,0,-0.0465461356641294,0.0761951032095753,0,0,0,0,0.0221048119993626,0,0,0,0,0,0,0,0,0,-0.00891039733829206,0.00270139011058036,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305569932396453,0.0344132170699228,0,0,0.048735078160721,0.0362959803263156,0,0,0,0.0139364441215124,0,0,0.115340235863427,0.0429936014595665,0,0,0,0,0,0,-6.7762635780344e-21,0.0181323845456386,0.0118083287627672,0,0.0924493677644516,0,0,0,0,0.025245932877325,0,0,0,0,0,-0.00372966365136743,-0.0196026211826909,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0841801883774644,0,0,0,0.164794005723858,0,0,0,0,0,0,0,0.137621996748197,0,0,0.00026217444268867,0,0,0,0,0,0.0460074410110576,0,0,0,-0.0615583384371851,-0.0222240824960969,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0361453475158759,0.0970682853721044,0.0444066414442645,0,0,0.0231518896835784,-4.33680868994202e-19,0.133247327608271,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0902187535943675,0,0,0,0,0.0181643178348762,0,0,0,0,3.46944695195361e-18,0.0118121048871136,-0.0167131798082687,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,-0.067602875765301,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727006996122989,0,0,0,0,0.0106546703687705,0,0.100384265968566,0.0194903353582033,0,0,0.0369449606450024,0,0,0,0,0.0541216097003445,0.0989077664092215,0,0,0,0.0288442357930176,0.140226494369429,0,0,0,0,0,-0.00943204648803064,0.0241974059686575,0,0,0,0,0,0
X002304.SZ,0,0.0793809099439384,0,0,0,0,0,0,0,0,0,0.283557340984166,0,0,0,0.190998244439319,0,0,0,0,0.16498276618964,0,0.0367444041221649,0,0,0,0.0584262990313611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430486296481547,0,0.00654471304394765,-0.0055745292364729,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.122511084987012,0,0,0,0.133149709856775,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306213022087775,0,0,0,0.126846238438048,0,0,0.110195996875814,0.124626279332434,0,-0.0681230587932575,0,0,0,0,0,0,0,0,0.0763597715611328,0,0.384176396475056,0,0,0,0.0227423889331973,-0.00101139843674225,0,0,0,0,0,0
X000661.SZ,0,0,0,0.186651504947873,0,0,0,-0.0450249521993798,0,0,-0.117411411855464,0,0,0.122402364876289,0,0,0.12630490878506,0,0,0,0,0.217076388786587,0.0362197539553606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000760130628910921,0,0,0,0,-0.0487828518149563,0,0,0,0,0.00443814478984319,-0.0456008089362818,0,0,0,0,0,0
X000725.SZ,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0462367786559123,0,0.0542399472884774,0,0,0,0,0,0,0,0,0,0.0319626476727304,0,0.284784736013143,0,0,0,0.0288235268865067,0,0,-0.026307291592797,0,0.168627990303069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302131610993343,0,0.0196844785825855,0.0186689837369694,0,0,0,0,0,0
X000568.SZ,0,0.472530239917296,0,0,0,0,0,0.0866788101219023,0,0,0.130379759856407,0,0,0,0,0.0877293127957288,0,0,0,0.0584315969269567,0,0,0,0,0,0,0,0,0.0440618817014099,0,-0.0254431598878114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344442448922206,0.042743200060573,0,0,0.0476713951711978,0.0210144306231486,0.00337510435498054,0.00566544855297642,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0117917349021089,0,0,0,-0.144400794642866,0,0,0,0,0,0,0,0.0252086222743868,0.266351016985825,0.00928358318109606,0.181021756356951,0,0,0,0,0,0.0998502895662839,0,-0.108189294170722,0,0,0,0,0.178453190577786,0,0,0,0,0.0908435066953587,0,0,0,0,0,0,0,0,0,0.119374043892513,0,0,-0.0110598985455831,-0.0195673551962436,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0.106032725749495,0.0854573977721124,0,0,0,0,0,0,0,0,0,0.0608409609246072,0,0.00189435283839745,0,0,0,0,-1.73472347597681e-18,0.0791186619863593,0,0,0,0,0,0,0,0.0334973605692637,0,0,0,0.0997058426366614,0,0.0330664078771715,0,0,0,0,0,0.117477303570722,0,0,0.00243238306553073,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0.0112768815594212,0,0.0466377475213636,0,0,-0.00349397726119831,0,0,0,0.0378483240130016,0,0,0,0,0.0377886410366728,0,0,0,0,0,0,0,0,0,0,0.00296122140928524,0,0,0,0,0,0.0413834593276177,0,0.128764575394017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00510399889683537,0,0,0,0,0,0,0
X600809.SH,0,0.463608822819492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241779562727548,0.169953558235861,0,0,0,0,0,0,-0.127292426971095,0.0876541936104215,0,0,0,0,0,-0.0920221058272013,0,0,0,0,0.0336707022902539,0,0,0,0,0,0,0,0,0,0.0318576801271178,0.0159855262247591,-0.005325757795923,0,0,0,0,0,0
