,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X000568.SZ,X600066.SH,X002241.SZ,X002475.SZ,X600031.SH,X000100.SZ,X002456.SZ,X002236.SZ,X600271.SH,X000338.SZ,X002085.SZ,X600118.SH,X600177.SH,X002292.SZ,X002180.SZ,X000157.SZ,X600867.SH,X000559.SZ,X600372.SH,X002007.SZ,X300003.SZ,X300124.SZ,X002294.SZ,X002074.SZ,X002506.SZ,X600498.SH,X002426.SZ,X600089.SH,X600522.SH,X601877.SH,X002508.SZ,X000981.SZ,X600566.SH,X002465.SZ,X000050.SZ,X000550.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.025586543327747,-0.0137750126168207,0.123980166024364,0,0.183052361531352,0,0,0,0,0,0,0.00955681142829845,0,0.118434123062237,0,0,0,0,0,0,0,0,0,0.184167669707758,0,0,0,0.0144144890380631,0,0,0.0289297713461363,0,0,0,0,0,4.33680868994202e-19,0,0,0.0826253985714597,0,0,0,-0.0938832371670733,0,0,0,0,0,0.0826117547950602,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0932974066311867,0,0,0,0,0,0,0.0241813781356636,0,0,0,-0.0105938394646819,0,0,0,-0.0553691089079939,0,0.269594145134396,0.0131197870342426,0.0492769289887229,0,0,0,0,-0.0460441666472056,0,0.006168922558305,0,0,0,0.032170407866343,0,0,0,0,0.161262574069318,0.17206557332483,-0.00374089009569103,0,0.143967442809833,-0.0950803390428651,0,0,0.0128927822979847,0.014835191849346,0,0,0,0,0,0
X002415.SZ,0,0,0,-0.0361067983509787,0,0,0,0,-0.665934624924691,0,0,0,0,0,0,0.11494854215936,0,0.0720636101594312,0,0,0,0,0.0629286317218121,0.035325771285526,0,0.188172991633541,0,0.0521349518172884,0,0,0,0,0,0,0,0,0,0,0,0.242017504244563,0,0.0240938677783278,0.119503249575011,0.108394738636188,0.0860581656586472,0,0,0,0.0743040617656102,0,0,0,0.0149483866162306,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075648120348868,0,0.0550820685456048,1.73472347597681e-18,0,0,0,0.00514500723458842,-0.106236181350392,0.0746934920472704,0.0358065994124826,0,0,0,0,0.0686696313857129,0,0,0,0,0,0,0,0.0732258591514467,0,0,0.017072575533683,0,0,0.165045090074927,0,0,0.00255010622309674,0.115445087656208,0,0.0415709611792314,0,0,-0.0592457434479091,0.0815483354264904,-0.0908869517935929,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.0389812180768782,0,0,0.220621606567555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441657753431936,0,0,0,0.170743498478137,0.0846296893462615,0,0.0105613476010089,0,0.187861638865373,0,0,0,0,0.0148784125566407,0,0,0,0,0,0,0.0220196040002083,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531196714595016,0,0,0,0.0117354806953181,0,0,0,0.088406430652692,0,0,0,-0.0430276102632724,0,0,0,0.242312497683406,0.0249389130103242,0,0.0318482949107154,0,0,0,0.0874266724569856,-0.00172336259220083,0,0.206711423707536,0,-0.125682240407221,0,0,0,-0.0295794526623477,-0.0352969617305981,0,0,0,0,0,0
X002304.SZ,0.293331262357078,0,0,0,0,0,0,0,0,0,0,0,-0.00397158627742561,0.13252385015443,0,0,0,-0.037702549602809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443916781488559,0,0.0434426067526468,0,0,0,0,0,0,0.0177755661381621,0,0,0,0,0,0,0,0.211814877612127,0,-0.00251651091991997,-0.00181888973385444,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0102630412061504,0,0,0,0,0,0,0.168169846722523,0,0.0856351792476804,0,0,0,0.0713922868306869,0,0.00195124491858335,0,0,0,0.091276349089824,0,0,0,0,0,0,0,0,0.0448695932807269,0,0,0,0,-0.0317593493083306,0.0401718689869853,0,0,0,0.111148421612365,0,0,-0.0383328251625706,-0.0129403340037775,-0.0976061359546505,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0637009703732154,0,0.0297224329723116,0,0.101139185805687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104179091652229,0.162717032443691,0,0,0.0198634740475513,0,0.0575548392173582,0,0,0,0.0394866877054472,0,0,0.0841468880996726,-0.0171990699658645,0,0,0,0,0,0
X000063.SZ,0,0,0.0165676070507464,0,0,0,0,0,0,0,0,0,0,0.0921230361804701,0,0.0630372202272952,0,0.183197708545956,0,0,0,0,0.109938642610257,0,0,0,0,0,0,0,0.0515355280268717,0,0,0,0,0,0,0.0288906141893482,0.0574346865226339,0,0,0.0420964851243738,0,0,0,0,0,0,0.0218058276210699,0,0.00560535130709158,-0.00618205180247782,0,0,0,0,0,0,0
