,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002475.SZ,X000338.SZ,X002241.SZ,X000100.SZ,X600066.SH,X002236.SZ,X600118.SH,X600271.SH,X002456.SZ,X601877.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X600089.SH,X002007.SZ,X002085.SZ,X002508.SZ,X000981.SZ,X300003.SZ,X002294.SZ,X600867.SH,X600699.SH,X000559.SZ,X002180.SZ,X000066.SZ,X300136.SZ,X000623.SZ,X002292.SZ,X600498.SH,X002074.SZ,X002426.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0513446126416506,0,0,0,0,0,0.0424989065530669,0,0,0,0.189432092201595,0,0,0,0,0,0,0.211072333269548,0,0,-0.0502916294762915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292517153730558,0,0.0477437003364925,0.0399420452916537,0,0,0,0,0.0435547936040693,0,-0.00192949649634811,0.00149484672008961,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,-0.0938917936592504,0,-0.0422392021776695,0,0,0,0,0,0,0.781317626298137,0,0,0,0,0,0,0,0,0.0636439404563226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120826580369849,-0.134747651789502,0,-0.0674963910190658,0,0,0,0,-0.100126299755037,-0.000827812232082986,0.000434586856245705,0,0,0,0,0,0
X002415.SZ,0,0,0,0.158154875853696,0,0,0,0.0177052566371503,0,0,0,0,0,0,0,0,0.0132436367848879,0,0,0,0.146758160221073,0.0393403858088138,0,0,0,0,0,0,0,0,0,0,0,-0.0847367962837912,-0.149110309077106,0,0,0,0,0,0.111026377311911,-0.0596391394628914,0,0,0.17598960802911,0,0,0,0,-0.00364136149691838,-0.0101351912426274,0.00660624702689992,0,0,0,0,0,0
X000651.SZ,0,0.297682903733563,0,0,0,0,0,0,0,0.191498306327532,0.392197995335668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133991900185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334380323766747,0.0402744211499628,-0.137022389096512,0.407916580743534,0,0,0,0,0,0,-0.00487140457450182,0.0227792328274449,0,0,0,0,0,0
X000858.SZ,0.0828043839696797,0,0,0,0,0,0,0,0.0296125134978461,0,0,0.0895624780185568,6.93889390390723e-18,0.237221553210896,0.0414372228425261,0,0,0,0,0.0608531514165389,0,0,0,0,0.101356380475747,0,0,0,0,0,0,0,0,0,-0.0581797993200644,0,0,0,0,0,0,0,0.0860827908499987,0,0,0,0,0,0,8.67361737988404e-19,0,0.00788145912414054,0,0,0,0,0,0
X002304.SZ,0,0.423234894262146,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0118865444110442,0.113903681982535,0,0,0,0,0,0,0,0,0,0.0866168674322431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122543780730294,0,0,0,0.075257676619205,0,0,0,0,0,0,0.0980054550757038,0,0,0.00109133138100045,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0347895643851357,0,0,0,0.19331846593303,0,0,-0.0207159790668651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476672032986078,-0.01475688615118,0,0,0,0,0,0,-0.116419761267509,0.0233900860382665,-0.00396122685337005,0,0,0,0,0,0
X000725.SZ,0,0,0,0.129315771461296,0,0,0,0,0,0.0429754903135466,0,0,0,0.221638636733484,0,-0.328511281047475,0,0,0.355214139292104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10273796472308,0,0,-0.0831468680095894,0,0,0.170709606622717,0,0,0,0,0,0.0125020687922307,-0.0296326552951732,0,0,0,0,0,0
X000625.SZ,0.0672079041480187,0,0,0.0273649229375243,0.0491751115764333,0,0,0,0,0,0,0,0.129883284539333,0,0.481678750960732,0,0,0,0,0,0,0,0,-0.0446933586660416,0,0,0,0,0.0656312686778812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630941112785197,0,0,0,0,0,0,0,-0.00511224592435274,0,0,0,0,0,0
X000063.SZ,0,0,0,0.308484401218233,0,0,0,0,0,0,0,0,0,0,0,0.0473700844985908,0.075744303218489,0,0,0,0,-0.359879428070903,0,0,0,0,0,0,-0.0216990367845803,0,0,0,0,0,0,0.0465104504632818,0,0,0.134540555277986,0,0,0,-0.00558873023016732,0,0,0,0.106173521685278,0.04368807034403,0.119450798972419,0,-0.00225389160863401,0.00787844326405395,0,0,0,0,0,0
