,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600690.SH,X600276.SH,X000063.SZ,X000100.SZ,X600703.SH,X600031.SH,X600271.SH,X002292.SZ,X000157.SZ,X000338.SZ,X600741.SH,X002241.SZ,X600066.SH,X002475.SZ,X600118.SH,X601877.SH,X600089.SH,X002129.SZ,X002223.SZ,X002236.SZ,X600372.SH,X000016.SZ,X002456.SZ,X600177.SH,X300124.SZ,X002276.SZ,X002294.SZ,X000568.SZ,X600582.SH,X300003.SZ,X600839.SH,X000559.SZ,X000066.SZ,X000550.SZ,X000869.SZ,X600312.SH,X000581.SZ,X000623.SZ,X002465.SZ,X000800.SZ,X002414.SZ,X600252.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.149163720033385,0,0,0,0.00265407182129917,0.0672445428859808,0,0,0,0.0197089413997325,0,0.0216534522568831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435524904553712,0.229411491722139,0,0,0,0,0,0,0.0147134023959804,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0179960148145556,0.0254040971394547,0,0,0,0,0,0
X600104.SH,0,0,0.0925989358684336,0,0,0,0,0.0213199840551712,0.089565489048377,0,0.0485474626847153,0,0.0299937997274911,0,0,0,0,0,0,0,0,0,0,0,0.177712887543149,0,0,0,0.0214000324267209,0,0,0.00198314629755212,0,0,0,0,0.00411916534837088,0,0.0391291410522686,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,-0.00154112570987731,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0739556275482761,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.0390539526097621,0,0,0,0,0,0,0.0333649522108015,0.0522535256965957,0,0,0,0.103787521903755,0.129998128130196,0.137493391339885,0,0,0.00600012157500099,0,0.0859834667935732,0,0.0591364830303986,0,0,0,0.0535818519145327,0,0,0,0,0,0,0,0,0,0,0,-0.0285068753689918,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.00701225297726456,0,0,0,0,0,0,0,0,0,0,0.0507330850070589,0,0,0,0,0,0,0,0,0,0,0.125961969709654,0,0,0.0231964619890579,0,0,0,0.242405268051339,0,0,0,0.148861786581726,0,0,0,0,0,0,0,0.0601999555485532,0,0,0,-0.0157796024336001,0,0,0,0,0,0,0
X000725.SZ,0,0,0.134371696689723,0,0,0,0,0,0,0,0,0,0.143385189066855,0,0,0.152912479082465,0,0,0,-0.0235644277368251,0,0,0.160012147503424,0,0,0,0,0,0,0,0,0,0,0.0322192543509095,-0.0718146795657611,0.0984956638507705,0,0,0.103062418454397,0,0.0988207143446948,0,0,0,0.214827420906343,0,0,0,0,0.0716921548368828,0,0.0191321321912652,0,0,0.0165785788903305,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.341541626559241,0,0,0,0,0,0.0648427599986074,0,0.024051595855423,0,0,0,0,0.178355545085044,0,0,0,0,0,0,0,0,0,0,0,0,0.010014952306443,0,0.128773910133939,0,0,0,0,0.016864322102958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.123132495438226,0,0,0,0,0,0,0.0209494461993829,0,0.0339809980680756,0,0,0.223442454646563,0,0,0,0,0.00900426343787126,0,0,0,0,0,0,0,0,0,0,0,0,0.497973641555957,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0167757986032339,-0.0147647062643423,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0947505972793516,0,0,0.0446482129094129,0,0.0113363052596819,0,0,0,0,0,0.131984319966354,0.137366306275619,0,0,0,0,0,0.110433402969675,0,0,0,0.0342335523570675,0,0,0.0221000601393315,0,0,0,0.110968394003674,0,0,-8.67361737988404e-19,0,0,0.0334684585287254,0,0,0,0,0,0,0,0,0,0.000986107320003067,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.13589233466711,0,0.091061698898022,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.146822544579466,0,0,0,0,0.0383748183452633,0,0,0,0,0,0.014259281968508,0,0,0,0,0,0,0,0,0,0,0.114899273032969,0,0,0,0,0,0.0268742893875953,0,0.0449865542535521,0,0,0,-0.0082467055409135,-0.0104372900265891,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.100092560857749,0,0,0.030154687273858,0,0,0,0.00427261288763375,0,0,0,0,0,0,0,0.158915161462075,0,0,0,0,0,0.102108067745078,0,0,0.24538433150188,0,0,0,0,0,0,0.0483283523497307,0,0,0,0,0,0,0,0,0,0,0,0,-0.00762802437646071,0,0,0,0,0,0,0
