,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X000100.SZ,X600031.SH,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600271.SH,X600089.SH,X600066.SH,X002236.SZ,X600118.SH,X601877.SH,X600177.SH,X000550.SZ,X000581.SZ,X002475.SZ,X002129.SZ,X000568.SZ,X600582.SH,X000623.SZ,X000050.SZ,X300124.SZ,X300146.SZ,X000800.SZ,X600060.SH,X000559.SZ,X002292.SZ,X002294.SZ,X300003.SZ,X000977.SZ,X600839.SH,X000400.SZ,X002456.SZ,X002465.SZ,X600166.SH,X000869.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,1.73472347597681e-18,0,0.139730609938011,0.152864140139052,0,0,0.104000534540486,0.0133444503436864,0,0,3.46944695195361e-18,0,0,0.352074017363391,0,0,0,0.130440372129722,0,0,0,0,0.0412960100646576,0.110049218232121,0,0,-0.0775312220543509,0,0,0.05980104572508,0,0,0,0.0399488153454888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190940633629443,0,0,0,0,0,0
X600519.SH,0,0,0,0.00911977424798673,0,0,0.0321112070016772,0.0758169600048618,0,0,0,0.130521954533812,0,0,0,0,0,0,0,0,0,0,-0.0311235068022091,0,0.0681517394800513,0.0545753425072742,0,0,-0.0506010549278955,0,1.73472347597681e-18,0,0,0,0,0,0,0.0497279629536387,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.194508689037692,0,0,0,-0.00670234202518409,0,-0.000664855091813434,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.257181300961271,0,0,0,0.18890335323463,0,0.10705985641159,0,0,0,0.0301398745431426,0,0,0,0.0623881020836672,0,0.0821857325293524,0,0,0,0,0.0712695044049501,0,0,0,0.0700782430945588,0,0,0,0,0.0156772529828558,0,0.0445834014096473,0,0.119530327426967,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.147428921834532,0.315335643150128,0.0277369134320835,0,0.0275942949125346,0,0,0,0.02096904451961,0.0697124295330821,0,0,0,0,0,0,0,0,0,0.0824921717939792,0.00686041167704246,0,0.0423967789798635,0,0,0,0,0,0,0,0,0,0,0,0.0170898617529207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572774651808004,-0.0209565265896494,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.278695952878581,0,0,0,0.113804354854901,0,0,0,0,0,0,0,0,0,0,0,0.0222921401391122,0.202925718460602,0,0,-0.188248629127476,0.0503546037678643,0,0,0,0,0,0,0,0.203745192699089,0,0.189399176201038,0,0,0.00885252361892334,0,0,0,0,0.118623024975228,0,0,0,0,0,0,0,-0.00179384776424396,0,0,0,0,0,0
X000625.SZ,0,0,0.128361893343471,0,0,0,0,0.195351085688185,0,0,0,0,0,0,0,0,0.130847980118202,0,-0.149796996533339,0,0,0,0,0,0,-3.46944695195361e-18,0.377816271726682,0,0,0,0,-0.0382068045447103,0,0.0222796527024464,0,0,0,0,0,0,0.209857468677336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349819658120558,0,0,0,0
X000858.SZ,0,0,0.116184847009243,0,0,0,0,0.0383467914058081,0.114792762581553,0.0130005972107012,0.207889662096724,0.0790237012022085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160212491940439,0,0,0,0,0.0288421367047983,0,0,0,0,0,0.0333508520150175,0,0,0,0,0,-0.0434927370394632,0.0561514679212267,0,0,0,0,0.0474712991671659,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.280928784268169,0,0,0.0429986291801384,0,0,0.229121024771757,0,0,0,0,0,-0.189774130546472,0,0,0.0990524308079069,1.73472347597681e-18,0,0,0,0.258697198260559,0,0,0,0,0,0,0,-0.00296458749954266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11149446714563,0,0,0,-0.0129334374287108,0,0,0,0,0,0
X000063.SZ,0,0,0.0343232575960306,0,0,0,0.216973779669486,0.00377447327964963,0,0.0808466660665489,0.00300652516605341,0,0,0.236919881613581,0,0.014801302790834,0,0,0,0.020753770986544,0,0,0,0,0,0.0398329301079945,0,0.0357200911524447,0,0,0,0,0.0342047378351841,0,0.191747129457231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630196719474196,0,0.063120263810254,0,0.0793288266369448,0,0,0,0,0
X000100.SZ,0.00285101000866973,0,0.31076349960793,0,0,0,0,0,0,0,0,0.0869790789121491,0,0,0,0,0,0,0,0,0.0598065892946248,0,0,0,0,0.0452201171879145,0.0192477819389056,0,0,0,0,0,0,0,0,0,0.0295121453783564,0.333799660869462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00575010636678469,0,0.108158911396435,0,0,0,0
