,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X002371.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X600104.SH,X000725.SZ,X000596.SZ,X300014.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X600372.SH,X000100.SZ,X002241.SZ,X000977.SZ,X002180.SZ,X601877.SH,X600741.SH,X600702.SH,X600584.SH,X000157.SZ,X600522.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002463.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.122725828487282,0,0.0659851017589952,0.0275635047685191,0.0729808861683021,0,0,-0.0159087693029659,0,0.0238627236715935,-0.0583061825550137,0,0,0,0,0.0885006061805589,0.0329525933865756,-0.0071150913340091,0,0.0417301163675766,0,0,0,0,0,0,0,0,0,-0.0613765032768647,0,0,0,0,0.0979471314939545,0.0228827251055349,0,0,0,0,0,0,0,0,0,0.0920309662121492,0,0,0,0,-0.010068336154006,-0.00544457325935777,0,0,0,0,0,0
X000858.SZ,0,0,0,0.200159892920332,0,0.0804321776565957,0,0.047147264390298,0,0,0,0,0,0,0,0,0.0360986188979281,0,0,0.0899448782724638,0,0,0,0,0,0.014325586940681,0,0.0148244712168381,0,0,0,-0.0072145379623891,0.0308834772555511,0,0,0.104244610305701,-0.0146786804041244,0,0,0.00485121813393188,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,-0.0388456200781781,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,-0.134450547739207,0,0,0,-0.0928406305433229,0,0,0,0,0,0,0.131775290853527,0,0,0,0,0,0,0,0,0.160714722993011,0,0,0,0.153435772313028,-0.0224331276411638,0.227010406159349,0,0,0,0.0392419693318534,0,0,0,0,0.0925165581452102,0,0,0.277403318679078,0,0,0.0646659051520974,-0.0412565814813801,0.0103239333029067,0,0,-0.0324881672945356,0,0,0,0,0,0
X000568.SZ,0,0.449179316781548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185640281952009,0,0,0.000866935055266408,0.0758435276578837,0,0,0,0,0,0,0,0,0.203272958843514,0,0.023142941632314,0,0.0975898003397574,0,0,0,0,0,0,0,0,-0.00227029830258479,-0.0143238500977388,0,0,-0.0410549640196226,0,0,0,0,0,0
X600276.SH,0,0,0.170099870456853,0,0,0.0571602358885187,0.0610463887792941,0,-0.00446753063263663,0,0.00676265516652226,0,0,0,0,0,-0.0469373614487586,0,0,0,0,0,0,0,0,0,0.0117439610737425,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.183566816401142,0.359484546615148,-8.67361737988404e-19,0,0,0,0,0,0.0294582478786283,-0.0471096374538377,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.0898278993573629,0,0.134749746836321,0,0,0,0,0,0,0,0.0213191820305077,-0.0424327898384278,0,0,0,0.393504228941514,0,0,0,0,0.0373578268257699,0,0,0,0,-0.195604623333656,0,0,0,0,0,0,0,0,-0.0369020611686361,0,0,0,0,0,0,0,0,0.263044855507376,-0.086414426341003,0.00258987678669379,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.010760070737858,0,0,0,0,0.116333927911099,0,-0.123444978536534,0,0,0,0.147500231191264,-0.549219253010623,0,0,0.145609255139008,0,0,-0.019629958896975,0,0,0,-0.0625699099224739,0,0.0488162323117251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421393704857874,0,0,0,0,0,0,0.00105307125634379,0,0,0,0,0,0,0,0
X002304.SZ,0,0,-0.0427815077004227,0,0,0.107266089983226,0.0964133568292242,0,0,0,0,-0.0440902973005493,0,0,0,0,0,0,0,0,0,-0.103756657545153,0,0,0,0,-0.0176268547300093,0.0300499956242155,0,0,0,-0.0143361139326082,0,0,0,0.0881876573026948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225493606562016,-0.00691441609519904,-0.0265479995747498,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0267575814703838,0,0.010623694475493,0,0,0,0,0,0,0.216704670372971,0,0,0,0,0,0,0,0.0522838288902454,0,0,0,0.183623357972443,0.0920913718907201,0,0,0,0,0.0562547467580894,0,0,0,0,0,0.0658678741902654,0,0.223480941153571,0,-0.22432165397293,0,0,0,0,-0.0465325403090235,0.0616414785862509,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.12597641053616,0,0,0.144191277238405,0,0,0.139996546896803,0,-0.132973470092094,0,0,0,0.232347998235094,-0.59968282750723,0,0,0,0,0,0,0.115030686007603,0,0,0.0105831422616645,0,-0.0729808786489225,0,0.0501873827800345,0,0,0,0,0,0,0,0,0,0,0,0,0.010653866987816,0,0,0,-0.0350494165656434,0,0,0,0,0,0
