,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002304.SZ,X600104.SH,X002475.SZ,X600690.SH,X000651.SZ,X600031.SH,X300014.SZ,X000725.SZ,X002371.SZ,X300124.SZ,X000063.SZ,X002129.SZ,X003816.SZ,X000338.SZ,X600703.SH,X002241.SZ,X000625.SZ,X002049.SZ,X000596.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X000100.SZ,X600089.SH,X600460.SH,X600741.SH,X000799.SZ,X002236.SZ,X000157.SZ,X002074.SZ,X600884.SH,X600779.SH,X600702.SH,X601799.SH,X600584.SH,X002414.SZ,X000733.SZ,X002007.SZ,X000800.SZ,X600183.SH,X300003.SZ,X000977.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.43726162638269,0,0.110010324588027,0.0474865719905613,0,0,0,0,0.00857105749215642,0,0,0,0,0,0.014069679808322,0.0504764551613116,0,0,0,0,0,-0.00578246705146885,0,0,0,0.0725576435333065,0,0.0208257314426932,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0070651450526442,0,0,0,0.021527565308527,0,0
X000858.SZ,0.20962816661302,0,0,0,0.140411041113761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230881758564356,0,0,0.124259244211724,0,-0.01090214372797,-0.0219301929346134,0,0,0,0,0.173817683133636,0,0,0,0,0.257374160876744,0,0,0,0,0,0,0,0,0,0,-0.0365442047873741,0,1.73472347597681e-18,0,0,0,0,0,0,0
X002415.SZ,0,0.0544488761217465,0,0,0,0,0,0,0,0.179227399519813,0,0,0,0,0,0,0,0.0281798216642144,0,0,0.111440507789784,0,0,0,0,0,-0.0228512105917051,0,0.0682603729713428,0,0,0,0,0,0,0,0,0.128261096713234,0.0631809233813515,0,0.0100280801475042,0,0,0,0,0,-0.0451700758833724,0,0,0,0,-0.0105985255500337,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.239039463322101,0,0,0,0,0,0,0,-0.0241318077888445,0,0,0,0,0,0.028151165891894,0,0,0,0,0,-0.0519343483897331,0,-0.0090086998145153,0,0,0,0,0.476641738914671,0,0,0,0,0.011455085255456,0.166328984158199,0,0,0,0.0376943318965338,0,0,0,0,0,0,0,0,0,0,0,0,0.021434331465525,0,0
X000568.SZ,0,0.554263530077181,0,0.0756596586501486,0,0,0,0,0,0,0,0,0,0,0,0.0302939275122624,0,0,0,0,0,0,0,0,0.0483840822404885,0,-0.0553070372171795,0,0,0,0,0,0,0.0579619186850284,0,0,0,-0.00677968790097881,0.0562964428736392,0.00308298438986416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.243026388079328,0.0410562855565917,0,0,0,0,0,0,0,0,0.10268507335472,0.0998369181620151,0,0,0,0,0,0,0,0,0,0,-0.161428559617198,0,0,0,0,-0.0424975947477838,0,0,0,0,0.333845515297036,0,0,0,-0.0494748055135786,0,0,0,0,0,0,0,0,0,0.0370257693003443,0,0,0,-0.0782644586172026,0,0,0,0,0.0166170463140164,0,0
X002304.SZ,0,0,0,0.187766230094177,0.0566034687606779,0,0,0,0,0.00678932179553414,0,0,0,0,0,0,0,0,-0.228452538040513,0,0,0,0.0604581243876235,0,0,0,0,0,0.0380003138659263,0,0,-0.0598744276665949,0,0.204529835465008,0,0,0,0,0.049830624228577,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112056241801317,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368253207613821,0,0,0,0,0.218804270164338,0,0,0,0,0,0,0,0,0,0.107758771643434,0.0414398806387721,0,0.0891227964274138,0,0.0180718728500405,0,0,0,0,0,-0.0729031361114484,0,-0.0129598751769659,0,0,0,0,0,0,-0.0289504755114314,0,0,0,0.0135411992499443,0,0
X002475.SZ,0,0,0.000248479055319651,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0991761576613335,0,0.10983852618398,0,0,0,0,0.16130869443493,0,0.0197120626940195,0,0,-0.0935631718635629,0,0,0,-0.280967895734857,0.0718042959232085,0,0,0,0,0,0.064848791093191,0.0977353424588803,0,0.0963975294149163,0.0870742916100694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501351325696066,0,0
X600690.SH,0,0,0.120485817644735,0,0,0.0367017472040762,0,0,0,0,0,0,0.0153813566547483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498428125340424,0,0.0723449538811548,-0.0205585370962421,0,0,0,0.0223495030517575,0,0,0.176219144610905,0,0,0,0,0,0,0,0,0,0,0,0.0874230709486829,0,0.00457446836053323,0,0,0,-0.0276724328049036,0,0
