,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X000661.SZ,X600809.SH,X600741.SH,X002241.SZ,X600703.SH,X300003.SZ,X000596.SZ,X002236.SZ,X600183.SH,X002007.SZ,X601877.SH,X300142.SZ,X000157.SZ,X000100.SZ,X000066.SZ,X300124.SZ,X002179.SZ,X002008.SZ,X600271.SH,X300136.SZ,X300014.SZ,X002463.SZ,X000977.SZ,X000625.SZ,X600177.SH,X002456.SZ,X002506.SZ,X002371.SZ,X600066.SH,X002129.SZ,X600498.SH,X600867.SH,X600487.SH,X002508.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0403282790304656,0,0,0,0,0,0.0719321172622075,0,0,0,0.552119636343682,0,0,0,-0.0362095537987545,0.0391100183517415,0,0.000568211773768668,0,0,0,0,0,0,0.0507919800434988,0,0,0,0,0,0,0,0,0,-0.0654017757711013,0,0.0360930418314038,0,0,0,0,0,0,0.0230994239536052,0,0,0,-0.082425440519383,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.210579157371902,0,0,0,0,0,0,0,0,0.0163060402045853,0,0.571230688964788,0,0,0,0,0.101057595519861,0,0,0.0307683563160486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234391542695194,0,0.025488214809138,0,0,0,0,0,0,0,0,0.000209745928286868,0,0,0,0,-0.0380554747958405,0,0
X600276.SH,0,0,0,0,-0.00467201994812412,0,0,0.0554739101267112,0,0,0,0.220537759469767,0,0,0.00696873975694856,0.19192327481209,0,0.109302644031011,0,0,0.00830406560924298,0,0,0,0,0,0,0,0,0.0339057269092112,0,0,0.0331981843411256,0,0,-0.0704116431822615,0,0,0.0358903420314285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148736521095312,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381920417417162,0,-0.00633032820718197,0,0.30806724943089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166031139966322,0,-0.0712967786330571,0,-0.0268270191324403,-0.0756446899977989,-0.0128423515138879,0,0,0,0,0,0,0,0,0,0,0.0649559823331641,0.0507338142377581,0,0,0,4.33680868994202e-19,0,0,0,0.0347477694473083,0,0
X002415.SZ,0,0.0123010058206829,0,0,0,0,0,0,0,0,0,0.0196615493984044,0,0,0,0,0,0,0,0,0,0,0.526611697132362,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248848032786895,0,0,0,0,0,0,0,0,0,0,0,0.045451822009207,0,0,0,0,0,0,0,-0.044973823608844,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214294376395426,0,0,0,0,0,-0.00573990731236018,0,0.0873105878238113,0,0,0,0,0,0,0,0,0,0.00388163888993817,0.0249995006745667,0,0,0,0,0,0,0,0.0389068210111252,0,0,0,0.0149827965258616,0.0411827492962923,0,0.00867794558233656,0,0,0,0,0,0,0
X003816.SZ,0,0,0.18968758500467,0,0,0,0,0,0.00788152100925219,0,0,0,0,0,0.0261891600752073,0,0,0,0,0.250122724089242,0,0,0,-0.0339751045481124,0,0,0,-0.269863269473279,0,-0.188618225056073,0,0,0,0,0,1.73472347597681e-18,0,0.0722899137128876,0,0,0,0,0,0,0.0364173987170268,0,0,0,0,0.0256921203977237,0,0.0375686219928737,0.0898955179502132,0,0,0,0.151541362556906,0,0
X002475.SZ,0.113746146045419,0.0920964842593705,0,0,0,0,0,0,0.0663780229984278,0,0,0,0.232543173354344,0,0.288778261940627,0,0,0.0247757718999725,0,0,0,0,0,0.0517115780960531,0,0,0,0,0,0.19471273789035,0,0,0.107645639931905,0,0.0981422887491271,0,0,-0.11735211272597,0,0,0.0867121259331386,0,0,0,0,0,0,0,0,0,0,0.018552961177972,0,0,0,0,0,0,0
X002304.SZ,0,0,0.187692392180461,0,0.135710027990582,0,0.196912553966123,0.0091068304169964,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.139933733281419,0,0.0298985366473042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153657315396463,0,0.153592379563812,0,0,0,0,-0.0146668935351475,0.0196044101865116,0,0,0,-0.0378551873195999,0,0
X000063.SZ,0,0,0,0.257477030297225,0,0,0,0.154589654344384,0,0,0.318070238663193,0.329028193224594,0,0,0,0,0.0499138338341047,0,0,0.0771027682781959,0,0,0.117455558539435,-0.0655515956856111,0,0,0,0,0,0.0177548286668298,0,0,0,0,0,0.0409398303820561,0,0,0,0,0,0,0,0,0,0,0,0.441653128724267,0,0,0,0,0,0,0,0,-0.0359512751198536,0,0
