,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600066.SH,X600703.SH,X600271.SH,X600741.SH,X002241.SZ,X000100.SZ,X002236.SZ,X002292.SZ,X600031.SH,X600177.SH,X600118.SH,X002475.SZ,X002506.SZ,X000559.SZ,X000568.SZ,X600372.SH,X000157.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X002007.SZ,X300124.SZ,X600867.SH,X002074.SZ,X600089.SH,X002294.SZ,X000869.SZ,X002180.SZ,X002426.SZ,X002456.SZ,X000050.SZ,X002508.SZ,X000981.SZ,X600498.SH,X002465.SZ,X601877.SH,X002179.SZ,X600060.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.347106638174098,0.145272001778623,0.155400322808288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001659708537313,0,0,-0.0402040985178221,0,0,-0.106727387237006,0,0,-0.00591493056142722,0,0.132273330694088,0,0,0,0,-0.0437242600981879,0,-0.0771547468389134,0.000293042770304175,-0.0201621678055423,0,0,0,0,0,0,0,-0.0495736981184185,0,0.0527169909489791,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.112316974876619,0,0.108746773384593,0,0,0,0.140795397460523,0,0,0,0,0,0.0608281566452014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126744966914167,0,0.0381185881444999,0,0,-0.023939520668583,-0.0336810765257956,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.188251245401094,0,0,0,0,0.0800853323632442,0,0,0.010576000051384,0,0,0,0,0,0,0,0,0,0,0.0109352751978252,0,0,0,0,0.015569778294856,0,0,0,0,-0.110357674738415,0.191558430045987,0.0224275220012405,0.123554860984688,0,0.115787527117312,0,0,0,0,0,0,0,-0.012352026042046,0,0,0,0,0,0
X000651.SZ,0.00506699470077078,0,0,0,0,0,0,0,0,0,0.0238216111740255,0,0,-0.00764403206126999,0,0,0,0,0.0182442791641957,0,0,-0.0268549014357389,0,0,0.0128459380176891,0,0,0,0,0,0.0200994698534905,0,0,0,0.00150586512186465,0,0,0.019294103863658,0,0,0,-0.00753502218623237,0,0,-0.0229180902307085,0,0,0,0.0107500050152925,-0.0169244119853657,0,0.0230225125959147,-0.0325625925921229,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.132629887494687,0,0,0,0.0109466722089824,0,0,0,0.017896756495145,0,0,0,0,0.0798617415449822,0,0,0,0,0,0.0214186634191879,0,0,0,0,0,0,0,0,0,0,0,0,0.0827783875040278,0,0,0.0217884217259562,0.104018486398035,0,0,0,0.00183646578835511,0,0,0,0,0,0.00980071707652601,0,0,0,0,0,0,0
X002304.SZ,0.0852929951072243,0,0,0,0.749799912635652,0,0,0,0,0,0,0.124256138003761,0.0321343453788292,0,0,0,0,0.00590322382719661,4.33680868994202e-19,0,0,0,0,-0.0439921552552377,0,0,0.0097481480055105,0,0,0,0,0,0,0.0905119067370923,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.115712141890893,0,0,0,0,0,-0.0251288534729749,0,0,-0.0293268077396412,0.0125546974931656,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158168612194912,0,0,-0.023418485062091,0,0,0,0,0,0,-0.0219559420062366,0.0961250190727048,0,0,0.165840128143715,0,0,0.0109836433215571,0,0,0,0,0,0,0.0469244570078977,0,0,0,6.93889390390723e-18,0,0,-0.00892298621647201,-0.0164701581830562,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817702862419379,0,0,0,0,0,0,0,0.120526852781941,0.136255660141278,0,0.0379597262465174,0,0.117375892967304,0,0,0,0,0,0,0,0,0,0,0,0.0908435977087781,0.0799434916257868,0,0,0.0255479570349858,0,0,0.00125075622055464,0,0,0,0,-0.0117301396749437,0,0,0,0,0,0
X000625.SZ,0,0.0470125833322077,0,0,0.205627995464482,0.0235831215172538,0,0,0,0,0,0,0,0,0.364227094182466,0.015872241482202,0,0,0,0,0,0,0,0.074184516454509,0,0,-0.12064534988319,0,0,0,0,0,-0.173783504299553,0,0,0,0,0,0,0.100066257923743,0,0.132426628544186,0,0,0,0,0,0,0.187705132939442,0,0,0,0.100232143271435,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.255014515114341,0,0,0,0.23395946269962,0,0,0,-0.0801426256173185,0,0,0,0,0,0,0,0.434460798822939,0.0389304428528968,0.1054860999191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310840039632744,0.0199346715498033,0,0,0,0,0,0,0,0,0.0636923133460973,0,0,-0.0717077939263178,0,0,0,0,0,0,0
