,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X300014.SZ,X002371.SZ,X300124.SZ,X003816.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002241.SZ,X002129.SZ,X000625.SZ,X000596.SZ,X002049.SZ,X000661.SZ,X601877.SH,X300142.SZ,X000100.SZ,X002179.SZ,X000799.SZ,X600089.SH,X600460.SH,X600741.SH,X600702.SH,X000157.SZ,X002236.SZ,X600779.SH,X002074.SZ,X600584.SH,X002414.SZ,X600884.SH,X601799.SH,X002007.SZ,X600183.SH,X000800.SZ,X000733.SZ,X300003.SZ,X000977.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.449168664794025,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0143051545008478,0,0.0302953291799867,0,0,0,0,0,0,0,0.016754056385694,0.0156611676335329,0.0136339292947596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425975459510363,0.0208692637625471,0,-4.33680868994202e-19,0,0,0,0,0.0533514769882158,0,0
X000858.SZ,0,0,0,0,0.199167249465939,0.241202905119966,0,0,0,0,0,0.0336388337583116,0,0.0884789582532476,0,0.0326181230641107,0,0,0,0,-0.0454917983783635,0,0,0,0,0,0,0,0,-0.033742890362212,0,0,-0.112507202870651,0,0.0897278765523577,0,0.0906087567145346,0.212253935544465,0,0,-0.0741068491450365,0,0,0,0,0,0,0,0,0,0,-0.0035310403272693,0,0,0,0,0.0149566379193805,0,0
X002415.SZ,0,0.134222643279216,0,0,0,0,0.0850416591093623,0,0.119886755627599,0,0,0,0,0,-0.00470885723097515,0,0,0,0.143521487773575,0,0,0.130325501763418,0,0,0,0,-0.0366238602974151,0.0329362468281779,0,0,0,0,0,0,0,0,0,0.0164498752833524,0,0,0,0.129871255212461,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0118937953159713,0.00881255587998739,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.207550191699641,0,0,0,0,0,0,0,0,0,0,0,0.006971421963751,0,0,0,0,0,0,0,-0.0708726440198989,-0.000772912361158129,0,0,0.51288310810453,0,0,0,0.158002354303851,0,0,0.00758132546919827,0,0,0,0,0,0,0,0,0.0583977138344671,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0130062689363511,0,0
X600276.SH,0,0.129972179486386,0,0,0,0,0,0,0.032071435173248,0,0,0,0,0.0913504936951996,0.0110136696834159,0.0732352925563969,0,0,0,0,0,0,0,0,-0.232323965634036,0.210855128742446,0.208412882522201,0,0,0,0.141552663591037,0,0,0,-0.0199761289833488,0,-0.0643700774535504,0,0,0,0,0,0,0,0,0,0,0.190674436076497,-0.0346104620843498,0,0,0,-8.67361737988404e-19,0,0,0,0.0989113307402428,0,0
X000568.SZ,0,0.58844897025486,0,0.0606158956792325,0,0,0,0,0,0,0,0,0,0,0,0.023881752026103,0,0,0,0,0,0,0,0.0478786660186916,0,0,-0.0524501544149098,0,0,0,0.0473592337113506,0,0,0,0.0128682275264362,0,0,0.0509097507584442,0,0,0,-0.00230169278328777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.197132903407122,0,0,0,0,0,0,0,0,0,0,-0.0355020735662908,0,-0.154257713997048,0,0,0,0,0,0,0.142950532006978,-0.102902635177386,0,0,0,0,0,0.09200318058078,-0.0014768564743229,-0.0144471827125405,0,0,0.0563085027434323,0,0.0638986374611181,0,0,0,-0.0156510288887975,0,0,0,0,0,0,0,0,0,-0.0153448499825575,0,0,0,0,-0.0157954340059218,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704973575530733,0,0,0.0635904376344398,0.0264336995146671,0,0.20026271027996,0,0,0,0.0453050603919958,0,-0.148160737232216,1.73472347597681e-18,0,0,0,-0.229045779123931,0.13220842949782,0,0,0,0,0,0,0.0566792746780791,0,0.132473753706041,0,0,0,0,0,0,0,0,0,0.010945927432693,0,0,0,0,0,0,0
X600690.SH,0,0,0.0485255555002966,0,0.211775441625563,0,0.0856313777704343,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351382574632431,0,0,0,0.0411505339237294,0,0,0,0.0737637353014173,0,0.089681853243681,0,0,0,0,0,0,0,0,0,0,0,0,0.0158425046541212,0,-0.00780303180905093,0,0,0,-0.0946632545500138,0,0
X000651.SZ,0,0.159823084746137,0,0,0,0,0,0,0,0,0,0.107974836129286,0,-0.0227536043386993,0,0,0,0,-0.0584972130170243,0,0,0,-0.000997091804766653,-0.0630906864904249,0,0.012833302957008,0,0,0,0,0,0,0,0,0,0.026907257689426,0,0,0,0,0,0,0,0.0832128322655725,0,0,0,0,0,0.0222311754106016,0,0,0.0406270825612978,0,0,0,0,0,0
