,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X002304.SZ,X002475.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300124.SZ,X300014.SZ,X003816.SZ,X000100.SZ,X000063.SZ,X000596.SZ,X600703.SH,X000157.SZ,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X002371.SZ,X002236.SZ,X002179.SZ,X002007.SZ,X601877.SH,X300142.SZ,X002049.SZ,X600584.SH,X002414.SZ,X000799.SZ,X600183.SH,X601799.SH,X300003.SZ,X000800.SZ,X002074.SZ,X300146.SZ,X002008.SZ,X000066.SZ,X600707.SH,X600089.SH,X000977.SZ,X600460.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.212015091663149,0,0,0,0.162801135708015,0,0.0901647379948625,0.0557994485047584,0.00589427393141954,0,0,0,0,0,0,0,0,0,0,0,0,0.0654826706035074,0,0,0,0,-0.125707324827139,0,0,0,0,0,0,0,0,0.0444374797698684,0,0,0.0248272240480238,0,0,0,0,0,0,0,0,0,0,0,0.0111406325865018,-0.026855793516872,0,0,0,-0.0026535393376893,0,0
X000858.SZ,0.0197134988561875,0,0,0,0,0.340421134119387,0.152512271306755,0,0,0.13066452284046,0,0,0,0,0,0,0,0,0,0,0,0,0.057095568677122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846907252866105,0,0,0.0351063255305869,0,0.00283871875945881,0.0275399304525151,0,0,0.013746609750903,0,0,0,0,0,-0.00884725210883411,-0.0120694264715856,0,0,0,-0.0381324792905965,0,0
X002415.SZ,0,0,0,0,0,0.0949353692939671,0,0.0677171849240934,0,0.0692838734562754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312447095801106,0,0.207014377807858,0,0,0,0,0.184194085785654,0.0194654641569099,0,0.0272041625394559,0,-0.0842297934335348,0,0,0,0.0357036815942562,-0.0427183101502347,0,-0.11156527091322,0,0,0,0.0330640848646494,0.0123483870206526,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0237035063149096,0.0518703460622199,0,0,0,0.0340580153611719,0,0,0,0,0,0,0,0,0,0,0,0.0789863808498808,0,0,0,0,0,0,0.148599051484129,0,0,0,0,0,0,0,0,0.0442671774601187,0.0582246987412408,0,0,-0.14864045260011,0,0,-0.0060329226345293,0,-0.0199858699532285,0,0.0457763601705849,0,0,0,0,0,0,-0.00929710244065493,0,0
X000651.SZ,0,0,0,0,0,0,0.015957382569346,0.118572998449068,0,0.155026259909145,0,0,0,0.0297551592545407,0,0,0,0,0.102167299369517,0,0,0,0,0,0.0787897958353113,0,0,0,0,0,0,0,0,-0.0719938739821164,0,0,0,0,-0.0489193826769572,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.042814648947131,-0.0615210191251289,0.0346619039113983,0,0,0,-0.0395384985646174,0,0
X000568.SZ,0,0.317046772405646,0,0,0,0,0.0707645954120749,0,0,0,0,0,0,0,0,0.0257423417570157,0.148588567991968,0,0,0,0,-0.140052982591309,0,0,0,0,0,0,0,0,0.0955503874568343,0,0,0,0,0,0.243558402369794,0,0,0,0,0,-0.0241480217731732,0,0,0,0,0,0,0,0,-0.0206045496621784,-0.0267769214498517,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.0106306763094471,0.23598675109738,0,0.135763235210126,0,0,0,0,0.0148514591475211,0.0973449524087758,0,0,0,0.175633832317527,0,0,0,0,0,0,0,0,0,0,0,0.0254657871635369,0,0,0,0.113002914371449,0,0.206853053958404,0,0,0,0,0,0,-0.0245255715764817,0,0,0,0,0,0,-0.0807470433730195,0,0,0,-0.0924939464500542,0,0
X600690.SH,0,0,0.112562142069736,0,0.302460318918619,0,0.219504671302358,0,0,0.0833015601699203,0,0,0,0.156879304350603,0,0,0,0,0,0,0,0,0,0,-0.0897615562070761,0.0358034474797077,0,0,0.0470832158341083,0.0732296215475791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158550032926902,0,0.0108584495929087,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.279361199078962,0,0,0,0,0,0,0,0,0.0528350246688168,-0.125016784306597,0,0,0,0,0.0615792352982796,0.0520935551226423,0,0.344808783690516,0,0.0461201706036626,0,0,0.129431155952063,0,0,0,0,0,0,0,0,0.0945981470285755,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252480960028085,0,0,0,0,0.0713710472313374,0,0
X002304.SZ,0,0.094971431366604,0,0,0,0.368741029951738,0,0,0,0,0,0,0,0,-0.168278153371492,0.0274732998932267,0,0,0,0,0.0335817944614053,0.0812833328112055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142004454646957,0.0266446522254767,0,0.0448533814827457,0,0,0,0.0375469220786383,0,0,0,0,0,-0.0393952948158043,-6.93889390390723e-18,0,0,0,0,0,0
