,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X002475.SZ,X600276.SH,X600690.SH,X600104.SH,X300014.SZ,X000651.SZ,X002371.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X000725.SZ,X600031.SH,X002049.SZ,X003816.SZ,X000596.SZ,X002241.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002179.SZ,X000661.SZ,X600089.SH,X600522.SH,X601877.SH,X002180.SZ,X300142.SZ,X002074.SZ,X000733.SZ,X600741.SH,X600884.SH,X600460.SH,X000100.SZ,X600702.SH,X000157.SZ,X600584.SH,X000799.SZ,X002236.SZ,X601799.SH,X002414.SZ,X600418.SH,X600563.SH,X002176.SZ,X000800.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.274919370024964,0,0,0,0,0,0,0,0,0,-0.0298949970429867,0,0,0,-0.0172331345311297,0,0,0,0,0,0,0,0,0,0,0.0287742586868152,0,0,0,0,0.0841283757593602,0,0,0.0603233642838991,0,0,0,0,0,0,0.00463632584697513,0,0,-2.16840434497101e-19,0,-0.0415831207562477,0,0,0,0.0138312002801975,0,0,0,-0.00463247475016204,0,0
X000858.SZ,0,0,0.317989148747631,0.145628611718526,0,0.0376176127246099,0,0,0,0,0,0,0.00664247695550376,0,0,0,0,0,0.0632122634104757,0,0,0.0758893468787327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112208797945277,0,0,0,0,-0.05408595034576,0,-0.00772598806779115,0.0137788554948999,0.0807067610947765,0,0,-0.0535939041322265,-0.00629562939279526,-0.0120700080921534,0,0,0,0.0150310103032157,0,0
X600809.SH,0,0.0664383231652758,0,0.403432967656677,0,0,0,0,0,0,0,0.0861890992752176,0,-0.0446600801342175,0,0,0,0,0,0,0.0366689022555885,0,0,0,0,0,0,0,0,0,0,0,0.0344907503850485,0,0,0,0.089104449585249,0,0.022715566075888,0,0,0.113300841351136,0,0,0,0,0,-0.182854357298852,0,0,0.0276779707870527,0,0,0,0,0,-0.00882625838681195,0,0
X000568.SZ,0,0.154337709964473,0,0,0,0,0.0124803597394144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170638135588626,0,0,0.00810409089507904,0,0,0.00714309143826933,0,0.0342760906337282,0,0,0,0,0,0,0,0,0,0.474077766546927,0,0,6.93889390390723e-18,0,0,0,-0.0110371908761168,-0.0106300691928915,0,0,0,0,0,0,0,0,0,-0.0259957368287647,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0211529067992085,0,0,0,0,0,0.0816228965284198,0,0,0,0,0,0,0,0.0142531527389091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887121344244333,0,0.0683214072122237,0,0.422710824165014,-0.10157638374881,0,0,0,0,0,0,0,0,-0.0829224427121546,0,0,0,0.0230007590792145,0,0
X002304.SZ,0,0,0,0.0563457823700589,0,0,0.050935557807451,0,0.0475088212586301,0,0,0,-0.00933216715095935,0,0,0,0,0,0,0,0.0321070185862608,0,0,0,0,0.0154547707188785,0,0,0,0,0,0,0,0.120419049057154,0,0,0,0,0.228656765608711,0,0,0,0,0,0,0.00169980303268367,0.0779884409579922,0,-0.0335522875293829,0,0,0,-0.0165567211893896,0,0,0,-0.00473950579376084,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467435595119807,0,0.119544633253551,0,0,0,-0.0963923262453416,0.0434782095112232,0,0.0475922276768938,0,0,0,0,0,0,0,0,0,0,0,0,0.0321130622305366,0,0.0691438729918094,0.186824156406973,0,0,0,0,-0.130579924840896,0,0,0,0,-0.0397253599129831,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.105815178209813,0,0,0,-0.315747056495695,0,0,0,0,0,0.062914583493694,0,0,0.550730736719468,0,0,0,0,0.0507880264983216,0,0,0.0286165101666935,-0.0864516597378281,0.0390140420134088,0,0,0,0.290190827445526,0,0,0,0,0,0,0,-0.154837973038863,0,-0.019168210106653,0,0,0,0,0.0465910719222496,0,0,0,0.0476266300043943,0,0
X600690.SH,0,0,0,0,0,0,0.0703761432850118,0,0,0,-0.0223670932590962,0.0224135049098015,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.00980918069405054,0,0,0,0.112631318917064,0,0,-0.0421573568645032,-0.0639158558249755,0,0,0,0.0644504580557895,0,0,0.0568420620106996,0,0,0.0192713385444114,0,0.159280733895301,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0372991135160702,0,0,0,0,0,0.133001271247764,-0.0392008982847839,0,0,0,0.0527528578641002,0,0,0,0,0,0,0,0.0925652612681131,0,0,0,0,0,0,0,0,0,0,0.262110095919899,0,0,0.0264599905373864,0.0741401617380931,0,0.017478998092274,0,0,0,0.0853743217902133,0.12714313076796,-0.0431776140874399,0,0.145942829303137,0,0.0476148015575435,0.0573834850677663,-0.027831511545608,0,0,0,0,0,0
