,X600519.SH,X000858.SZ,X000568.SZ,X600809.SH,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X000725.SZ,X600031.SH,X000596.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X000661.SZ,X002180.SZ,X002241.SZ,X000100.SZ,X600702.SH,X601877.SH,X300142.SZ,X600741.SH,X000157.SZ,X002074.SZ,X000733.SZ,X000977.SZ,X600522.SH,X600584.SH,X600460.SH,X000799.SZ,X300003.SZ,X000066.SZ,X600183.SH,X600884.SH,X600779.SH,X002294.SZ,X002236.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0614476023915955,0.106113554294231,0.224229825089725,0,0,0.105989675794179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366098320463364,0,0,0,0.0670917314298709,0,0,0,0,0,0,0.0166226292501333,0,0,0,0.0290145223860364,0,0,0,0,0,-0.039719722734171,0,0,0,0.011903730899069,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.170252838535898,0.0789711597791656,0,0.615993244387144,0.0122882237981518,0,0,0.181981075573586,0,0,0,0,0.0413277801938186,0,0,0,0,0,0,0,0,0,0,0,0.00449368273342048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185042934259651,-0.0296035516063112,0,0,0,0,0,0,0,0,-0.032479863908257,0.0094191983173344,0,0,0,0,0,0
X000568.SZ,0,0.710394867865368,0,0,0,0,0.0846023157138205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185685211698185,0,0,0,0,-0.00643663379706979,0,0,0,0,0,0,0.0684689107120021,0,0,0,0,0,-3.46944695195361e-18,0,-0.116521026315776,0.198440318057657,0,0.0743150961929884,0,0,0,0,-0.0197623138194995,0,0,0,0,0,0,0
X600809.SH,0,0.0470021859535312,0.282944498262307,0,0,0,0.033967739736801,0,0,0,0,0,0,0,0.163177446560139,0.0360326878545361,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036163191210295,0,0,0,0,0,0,0,0,0,0,0,0,0.234229378971965,0,-0.021140764302492,-0.122528696244281,0,0,0,0,0,0,0,0.000258290923817369,0,0,0,0,0,0
X002415.SZ,0,0.230019482869234,0,0,0,0,0,0,0,0,0,0,0.0829575117377203,0,0,0,0,0.0394273770242646,0,0,0.0635146472278329,0,0,0.0294584255485053,0,0,0,0,0,0,-0.0788845674454859,0,0.0561633518449802,0,-0.112576529710741,0,0,0.160103042132032,-0.0396547411169887,0,0,0,0,0,0,0,0,0,0,0,0,0.00384243341979835,-0.0216957903993528,0,0,0,0,0,0
X600276.SH,0,0,0.104553242948781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143684014300133,0.0328233084003173,0,0,0,-0.235914879198623,0,0.047975470141614,0,0,0,0,0,0,0,0,0.00161517974647105,0.159170815157254,0,0,0.110910639041056,0.0666753481313663,0,0,0,-0.00406778312413963,0.0077906680991806,0,0,0,0,0,0
X002304.SZ,0,0.438530382455794,0.309531105990976,0,0,0,0,0,0,0,0,0,0,0,0,0.132801900330506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609428421152901,0,0,0,0,0,-0.0431006967109487,0,0,0,0,-0.0926898534765536,0,0,0.014441615035055,-0.0221713632654947,0,0,0,-0.0196438104561998,0.0233362782088322,0,0,0,0,0,0
X600690.SH,0,0,0.0607563386177498,0,0.0798700140712555,0,0.0154964446996578,0,0,0,0,0,0,0,0.315744285332074,0.0792495129173786,0,0,0,0.00496460509506559,0,0,0,0,0,0,0.0259183753741081,0,0,0,-0.0449138942728372,0,0,0,0,0,0,-0.0269537658954926,0,0,0,0,0,0,0,0,0.0374298880844263,0,0,0,0,0.000669310748016497,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.418417660624685,0,0,0.164652984179272,0,0,0,0.0595547990897648,3.46944695195361e-18,0,-0.0771828154954315,0.214670703179257,0,0,0,-0.0908796108104927,0,0,0,0.0537261451792496,0,0,0,0.123448844200723,0.203708126070903,0,0,0.174375602387162,0,0.178781381289841,0,0,0,0,0,0,0,0,0,0,0,0.286661649705798,0.0622225040412384,-0.073938225508584,0,0,0,0,0,0
X300124.SZ,0.00735112737856086,0,0,0,0,0,0,0,0.114820436829136,0,0,0,0.194000026501271,0,0.0310835473949969,0,0,0,0,0,-0.00419808151103837,0,0,-0.293582406912857,0,0.284636784342484,0,0.0581331640698817,0,0,0.229426581719576,0.0166627532407809,0,0,0,0,0,0,0,0,0,-0.113060953370534,0,-0.00461947729515773,0,0,0,0,0,0,0,-0.0204788435407468,-0.00452283223063358,0,0,0,0,0,0
