,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X600703.SH,X000157.SZ,X600741.SH,X002236.SZ,X600089.SH,X000100.SZ,X002475.SZ,X000581.SZ,X000050.SZ,X600118.SH,X000559.SZ,X601877.SH,X600066.SH,X000550.SZ,X002294.SZ,X600271.SH,X002129.SZ,X000568.SZ,X002456.SZ,X002292.SZ,X600435.SH,X300003.SZ,X300124.SZ,X000400.SZ,X600839.SH,X000800.SZ,X000869.SZ,X002049.SZ,X002038.SZ,X000977.SZ,X600566.SH,X002008.SZ,X000623.SZ,X002007.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.0482490149666374,0,0,0,0,0,0.0131262889921158,0,0,0,0,0,0.341506352764016,0,0.00483154080869311,0,0,0,0,0,0.0102722230116264,0,0,0,0,0,0.0279615370489934,0,0,0,0,0,0,0.250005417402017,0,0,0,0,0,0,0,0.0873223241297749,0,0,0,0,0.00378447745336672,2.16840434497101e-19,0,0,0,0,0,0
X600519.SH,0.145413821444554,0,0,0,0.0336273792770129,0,0.0517250602096916,0.222776490115636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224124383542762,0,0,0,0,0,-0.0290537817343321,0,0,0,0,0,0,-0.0373021934947706,0,0,-0.0192572767446518,0,0,0,0,0,0,0,0,0,0,0,-0.0104060576125865,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428586856763994,0.0537551714321391,0.0946699512101972,0,0,-0.012801731844949,0,0,0,0,0.107087653241761,0.08595514798013,0,0.0606491959254747,0,0,0,0,0,0.0473968962804956,0,0,0.0445250822699506,0,0,0,0,0,0,0,0,0,0,0.0325655318624101,-0.0171027767066693,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.156339755292221,0,0,0,0.194964196682535,0,0,0,0,0,0,0,0,0,0,0,-0.0148191430530859,0,-0.0468912926919748,0,0,0,0,0,0,0.25139575081241,0,0.0305812371745343,0,0,0,0,0,0,0,-0.0241541556266005,0,0,0,-0.022018292576353,0,0.0656520541313474,0,0,0,0.00619803251338437,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0956289864124132,0,0,0,0,0,0,0,0.322408014521375,0,0,0,0,0,0,0,0,0,-0.032876193308625,0,0,0,0,0,0,0,0.0697575901673541,0.0148588412473754,0.0377322080712512,0,0,0,0.0232105566655184,0.18296800827731,0,0,0.197662637702912,0,0,0,0,-0.0409171932391888,0.0758747420871902,0,0,0,0,0,0
X000625.SZ,0.4659111646255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239350972073257,0,0,0,0,-0.0194721024215027,0,0,0,0.0748082337768536,0.0248605250735311,0.0251409756163963,0.1624157980501,0,0,0,0,0,0,0,0,0,0.0182579478276159,0,0,0.0313733629621118,0,0,0,0,-0.0737618757963499,0,0,0,0,0,-0.0100879866422432,-0.00448534117705053,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.0435525030082033,0,0,0,0,0,0,0.184786321219023,0,0,0,-0.0945173347588285,0,-0.0627391880782431,0,0,-0.00981163679286483,0,0,0,0,0,0.127525032575678,0,0,0,0.121278180362036,0.0677613409010948,0,0,0,0.304464247475547,0,0,0,0,0,0,0,0,0,0.00137917361278138,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.418727666275399,0,0,0,0,0,0,0,0,0,0,0.0857168567595672,0,0,0,0,0,-0.0963699920852616,0,0,0,0,0,0,0,0,0.125801941878589,0,0.0392991873542497,0,0,-0.0204737627184502,0,0,0.0455911456151149,0,0,0.268736933741372,0,-0.0589315537798982,0,0,0,0,0,0.0349913407278971,0,0.129219461319616,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00853948834615664,0,0,0,0,0.0269489328032063,0,0,0,0,0.118580875049986,0.061175408508149,0,0,0,0,0,0,0.0333203863780772,0,0,0.0269125340458459,0,0,-0.104849986789083,0,0,0,0,-0.0444168690008717,0,-0.00212987724620119,0.00410143126905384,0.094718815712077,0,0,0.0163047376002806,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0717436803065345,0.0903429558251357,0,0,0,0,0,0,0,0,0,0,0,0.0564634339334743,0.0619726887346364,0,0,0,0,0.0147378317864369,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.122818983198384,0,0.053986373872981,0.0671245250993551,0,0,0,0,0,0,0,0,0,0.018588440145907,0,0.0358968454082829,0,0,0.00666316596419002,0.00267899626555796,0,0,0,0,0,0
