,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X002236.SZ,X300003.SZ,X002008.SZ,X600031.SH,X600809.SH,X300124.SZ,X600867.SH,X002456.SZ,X601877.SH,X600066.SH,X600271.SH,X000625.SZ,X600487.SH,X002294.SZ,X000596.SZ,X000100.SZ,X600566.SH,X002241.SZ,X000661.SZ,X300142.SZ,X300136.SZ,X000981.SZ,X000050.SZ,X002508.SZ,X002180.SZ,X002007.SZ,X000157.SZ,X002179.SZ,X002038.SZ,X600522.SH,X600498.SH,X000869.SZ,X000977.SZ,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0641090409710493,0.245692146464288,0.122100917741095,0.0673289458468157,0,0,0,0.0630790372718259,0,0,0.060166789158721,0,0,0,0,0,0,0.0981201061634015,0.0170929644374776,-0.0292844825885525,0,0,0,0,0,0.00562695566063571,0,0,0,0,0,0,-0.00547208357011339,0,0,0,0,0,0,0,0,0,0,0.00460411866143938,0,0,0,0,0,-0.0114132111385573,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0958259291808448,0,0,0.338478252405135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590999811592832,0,0.0441679897286111,0,0,0,0,0,0.0666372613890091,0,0.0764143659661252,0,0,0,0,0,0,-0.0243906641099114,-0.0787733942419591,0,0,0,-0.0383147775126978,0,-0.023834195813384,0,0.000182292015496159,-0.0375729595669166,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.138876480685151,0,0,0,0,0,0,0,0,0.164380179549138,0.0482600464239298,0,0,0,0,0,0,0.0678668625748929,0,0,0,0.271703727034781,0.0108173518853981,0,0,0.138841070941705,0.175291301472676,0,0,0,-0.134423431031381,0,0,0,0,0,0,0,0,0,0,-0.00684779761169328,0,0,0,-0.0132123657099788,-0.0027662192684257,0,0,0,0,0,0
X000858.SZ,0.254296419805476,0,0,0,0,0.163998082690029,0,0,0,0,0.148943612309439,0,0.146229007449466,0.0504883618272644,0,0.0678521388430892,0,0,0,0.115138832864703,0,0,0,0,0,0,0,0,-0.0911073604225144,0,0,-0.023208023359673,0,0,0,0,0,0,0,0,0,0,0,-0.00467657709489419,0,0,0,0,0,0,0,0.00426873642842847,-0.00080275502234889,0,0,0,0,0,0
X600276.SH,0,0,0,0.0281561821590297,0,0,0,0,0,0,0.12852719819246,0,0,0,0,0,0.29600054087141,0,0,0.0781015639046938,0,0,0,0,0,-0.098762318594124,0,0,0.153992992407198,0,0,0.253985199155081,0,0.116235041071546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586187055127506,0.0185345540424235,0,0,0,0,0,0
X000651.SZ,0,0,0,0.445966408210406,0,0,0,0,0,0.0908360123159233,0,0.114781083581469,0,0,0,0.0716332475839593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168577270542076,0,-0.0748085129328711,-0.0232487931270285,0,0,0,0.153764996727688,0,0,-0.0411109068036788,0,0,0,0.017359342830939,0.0653392913565402,0,0,0,0,0,0
X002304.SZ,0,0,0.156896094803632,0.0147960337752577,0,0,0,0,0,0.216479056966636,0.13904183777493,0,0.157121570494201,0,0,0,0,0,0,0.0351028236450653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055182941174741,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0189795979536121,0.0340536397742211,0,0,0.0247146142641482,0.00534793935624717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164209116493373,0,0,0.152705638712985,0,0,0,0,0.0306886100378685,0,0,0.0847300960125292,0,0,0,-0.115735764804293,0,0,0,0,0,0.0335312481316869,0,0,0,0,0,-0.0117731935663277,0.028574654016139,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0654269613566439,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233978481556008,0.261823759696024,0,0.0495452943562383,0,0,0.0443419676766963,8.67361737988404e-19,0,0,0.0399833982700079,0,0.102823940635517,0.271040754544671,0.0311414016176869,0,0,0,0.0820038689782513,0,0.0403833703161458,0,0,0,0.0191274547337108,0,0.0256053564773013,-0.0189826917288708,0,0,0,0,0,0
X600690.SH,0,0,0,0.494951421695107,0,0.0952424507683818,0.0804560951260126,0,0,0,0,0,0,0,0,0,0,0,0,0.0398125249889619,0.00701407051458537,0,0,0,0.0196996046189396,0,0,0,0,0.0282613901280964,0,0,0,0.0184084983417017,0,0,0.0791085593718684,0,0,0.0116522466974575,0,0,0,0.0115266545860298,0,0,0,0,0,0,0,-0.0156856296928448,-0.0189337624802293,0,0,0,0,0,0
