,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002292.SZ,X600690.SH,X600703.SH,X600741.SH,X000100.SZ,X600031.SH,X600066.SH,X002506.SZ,X600118.SH,X002241.SZ,X002236.SZ,X000559.SZ,X600177.SH,X000157.SZ,X002475.SZ,X600372.SH,X000338.SZ,X000568.SZ,X300003.SZ,X002074.SZ,X002085.SZ,X300124.SZ,X002294.SZ,X600089.SH,X002426.SZ,X600867.SH,X002456.SZ,X002465.SZ,X600498.SH,X601877.SH,X000977.SZ,X000050.SZ,X002007.SZ,X000869.SZ,X002180.SZ,X600699.SH,X300001.SZ,X002049.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.138063398563235,0,0.167698613537312,0.417047687046245,0,0,0,0,-0.0767408175298734,0,0,0,0,0,0,0,0,0,0,0.0732841957571454,0,0,0,0,0,0,-0.0280062541444849,0,-0.0352634334454563,-0.00579432193270183,0,0,-0.13484799282572,0,0,-0.0849647629787883,0,0,0,0,0,0,0,0,0,-0.00556244897597449,0,0,-0.0112668293693255,0.0636221518426592,0.00766812368461647,0,0,0,0,0
X600104.SH,0,0,0.186228944851867,0,0,0,0,0,0,0,-0.0345086940038947,0,0,0.460794944929602,0,0,0,-0.0476289001556435,0,-3.46944695195361e-18,0,0,0,0,-0.0487162673878281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0.0623279468377851,0.0286866098298772,-0.00616231283311162,0,0.0220890877596898,0,0,-0.0103901896935351,0,0,0,0,0,0,0
X002415.SZ,0,0.0622800498210717,0,0,0,0,0,0,0,0,0,0,0,0,0.276096176878168,0,0,0,0,0.0221458597486169,0,0,0,0,0,0,0,0,0,0.140426353138076,0,0,0,0,0,0,0.0381085436993153,0,0,0,0.0258696821304343,0,0,0.0706526533382749,0,0,0,0,0.110301726284356,0,0.0545637932328562,0.00770067326686751,0,0,0,0,0,0
X000651.SZ,0.104263477301134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939414309220629,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110237076509407,0,0,0,0,0,0,-0.117545105376602,0.0606395513782597,0,0,0,0,0,0,-0.0144371109039537,0,0,0.0882591407279816,0,0.0347246361337059,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.0238865099467928,0,0,0,0,0,0,0.0361582236705869,0.0895967144758727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040410160050241,0,0,0,0,0,0,0,0.0627165828766036,0,0,0,0.221712780974063,0,0.0331628060451462,0,0,0,0,0,0,0
X002304.SZ,0.368452342113228,0,0,0,0.367641113593417,0,0,0,0,0,0.117507000285457,0,0.19026204257362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090615204092156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509730345379055,0,0,-0.0635246856257589,0.154824160170198,0,0,0,0.0169736859439422,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.00924903534839963,0,0,0,0,0,0,0,0,0,0,0,0.354822950932775,0,0,0,0,0,0,0.0512099288988198,0,0,0,0,0,0,0,0,0.0306777786303088,0,0,0,0.00656243891237271,0,0,0,0,0,-0.0319496421937744,0,-0.00634651394571268,0,-0.0276201353466657,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0394390913177059,0,0,0,0.0682809114172845,0,0,0,0,0,0,0.0107601752479667,0.188376830175292,3.46944695195361e-18,0,0,0,0,0,0,0.0807000120656359,0,0.010100820025187,0,0.0313892596898248,0,0,0,0,0,0,0,0.0510674562811971,0,0,0,0,0,0,0.267596505198489,0,0.0207853827550671,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.209869024342613,0,0,0,0,0,0,0,0.00111746380584365,0,0,0,0,0,0,0,0,0,0,0,0.0263356221742495,0,0,0,0,0,0.0548877442342729,0,0,0,0,0,0,0,0,0,0,0.157496289808928,0.188779921818492,0,0.0450532781685592,0,0.00486891050545973,0,0,0,0.007862044309278,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0850528343557029,0,0,0,0.234389122309688,0,0.0178917465222893,0,0,-0.0636800291904151,0,0.0736180358375029,0,0,0,0,0,0.0284764984070756,0.364585286909397,0,0,0,0.174443850398652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971464284158059,0,0,0,0,0,0,0.00726120115982851,0,0,-0.0513895271286383,0.0251622242294773,0,0,0,0,0,0
