,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000338.SZ,X000625.SZ,X600809.SH,X002008.SZ,X600487.SH,X601877.SH,X002241.SZ,X000100.SZ,X002456.SZ,X600066.SH,X002508.SZ,X300003.SZ,X300124.SZ,X002294.SZ,X600867.SH,X300136.SZ,X600522.SH,X600271.SH,X600089.SH,X000596.SZ,X000157.SZ,X600177.SH,X002085.SZ,X000981.SZ,X600566.SH,X000661.SZ,X600498.SH,X002180.SZ,X600699.SH,X002179.SZ,X600118.SH,X300142.SZ,X000559.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.180343373404456,0,0.591871116461164,0,-0.0191614099802154,0.23384296814452,0.0798460108451946,0,0,0,0,0,0,-0.0842904699692186,0,0,0,0,0,0,0,-0.021970070185368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339229240436858,0,0,0.160169359087099,3.46944695195361e-18,0.0211400888432277,0,0,0,0,-0.0159499866056537,0.0263401068149953,0.133088970428384,0,0,0,0,0
X600104.SH,0,0,0,0,0.0721519659841241,0,0,0,0,-4.33680868994202e-19,0,0,0.208859110086192,0,0,0,0,0,0,0,0,0,0,0.0272787402054293,0.0686941682569832,0,0,0,0,0,0,0.0728313103458714,0,0,0,0,0,0,0,0,0,0.0132328177360417,0,0.16982376365228,0,0,0,0.157755378824745,0,0,0,-0.0307578824429433,0.053327244652868,0,0,0,0,0,0
X002415.SZ,0,0.060121752946748,0,0,0,0,0,0,0.0395137908024907,0,0,0.11900060114048,0.0797792875600129,0,0.0641404462359014,0.0270366316974958,0.0239137682742997,0,0,0.22310385417895,0.297944207892779,0.0286614778662237,0,0,0,0,0.00855380207018862,0,0.0545584400019561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00731384213183389,-0.00222519994062439,0,0,0,0,0,0
X000858.SZ,0.350034469051251,0,0,0,0.325639844314048,0.0173201997914897,0,0.0354006243150249,0,0,0.178975705967811,0,0,0,0,0,0,0,0.135475382103685,0.0270482870181197,0,0,0,0,0,0,0,0,0,0,0,-0.0209712936063201,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.000442095652810298,0,0,0,0,0,-0.00149956676126836,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.479078425811054,0,0,0,0,0.00989555103086348,0,0,0,0,0,0,0.0713496723143084,0,0,0.135747961641171,0,0,0,0,0.0370585680257904,0,0,0,0,0,0,0.0673309043508491,0,0,0,0,0,0,0,0,0,0,0.0657814694245507,0,0.0454938410272048,0,0,0,0.00956995645909029,0,0,0,-0.00154311722319528,0.0179876033343789,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.488042244470213,0.0164946898376519,0,0,0,0,0,0,0.124678200097447,0,0.0660441672021834,0,0,0,0,0,0,0,0,0.141414881889066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125752047305318,-0.194047351431546,0,0,0,0,0,0.232994497061669,0,-0.0675488448802243,0.0908575078147749,0,0,0,0,0,0
X600276.SH,0.226759061351702,0,0.0516319169912194,0,0,0,0,0,0,0.0515058260733535,0,0.135609679547428,0,0,0.136974248971366,0,0,0,0,0,0.0567738276238888,0,0,0,-0.214242880170119,0,0,0,0.0742169738607995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318201286010852,0.0597857363288205,0,0,0,0,0,0
X002304.SZ,0.237885826098686,0,0,0.24155607279927,0,0.030335918564057,0,0,0,0,0.137189228456589,0,0.117755370087251,0,0,0,0,0,0,0,0,0,-0.00567205900572203,0,0,0,0.0106732938638497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196537851173059,0,0,0,0,0,0,0,0,0,0,-0.00960730527153301,0.0203555364632055,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.0220725874335441,0,0.3566606148891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142913058667156,0.0647966311182959,0,0,-0.0150367058973526,0,0,0,0,0.119543192642175,0,0,0.494228279964746,0,0,0,0,0,0,0,0,0.173896459525029,0,0,0,0,0,0,0,0,-0.00374539790852079,0.0160396921388976,0,0,0,0,0,0
X600690.SH,0,0.293225733377263,0,0,0.171186953060561,0,0.028010212727364,0,0,0,0.086377305671417,0,0.103336890498414,0,0,0,0,0,0.0694331662933033,0.0742028151707836,0,0,0,0,0,-0.145378372518436,0.159234387109315,0.0363378433533251,0,0,0,0,0,0,0,0.0696420061396864,0,0,0,0,0,0,0,0,0,0.0163190308809124,0,0,0,0,0,-0.0256018741287563,0.0355575477708192,0,0,0,0,0,0
