,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600031.SH,X600703.SH,X000568.SZ,X600066.SH,X002241.SZ,X002475.SZ,X600271.SH,X002456.SZ,X000338.SZ,X002236.SZ,X002085.SZ,X600118.SH,X600177.SH,X000157.SZ,X002292.SZ,X600372.SH,X300124.SZ,X000559.SZ,X600867.SH,X002007.SZ,X300003.SZ,X002180.SZ,X002294.SZ,X002506.SZ,X600089.SH,X002074.SZ,X000981.SZ,X600522.SH,X601877.SH,X002426.SZ,X600498.SH,X000550.SZ,X600566.SH,X002508.SZ,X000623.SZ,X002465.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.280869554593362,0,0,0,0,0,0,0,0,0.0147551612349547,0.0300754001113256,0,0.0879858848293337,0,0,0.0984492638537389,0,0,0.0110571752103322,0.0703973339261127,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0453044571775271,0,-0.0680429017636649,0,0,-0.0449189203351754,0,0,-0.0142295859008626,0,0,0.0134596888739307,0.00286322455477199,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0694469466606895,0,0,0,0,0,0,0.0381310211040699,0,0,0,0,0.0362219638411506,0,0,0,0,0,0,0,0,0,0,0,0,0.11254831018713,0,0,0,0.122443564644305,-0.109379596694745,0,0,0.00797444065823522,-0.00193902507421541,-0.0826893988008886,0,0,0,0,0,0,0.0395831269765837,0.179653235506835,0,0,0,0,0
X002415.SZ,0,0,0,-0.0156643444419992,0,0,0,0,-0.173283305099159,0,-0.122896638991856,0,0.121187151805694,0.236055629757907,-0.0249066533571857,0,0,0,0,0,0.132976727867333,0,0.0535524041405815,0,0,0,0,0,0,0,0,0,0,0.209891573164262,0,0,0,0,0.0641592307054424,0,0,0,0,0,0,0.272756742575683,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0384575738755891,0,0,0,0,-0.0636278152061018,0,0,0,0,0,0,0.0127531799943692,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0690170450969947,0,0.188546466343054,0.104943458276241,0,0.0370971141375194,0,0,0,0.0658088701035901,0,0,-0.0675483489273337,0.108364739021835,-0.0406907325516807,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177769604146859,0,-0.00852487427365734,-0.00883752190709968,0,0,0,0,0,0,0,0,0,0.174291390395143,0,0,0.0132869297145603,0.103173886286363,0,0,0,0,0,0.226308672172231,0.0032593639424183,0.104048676854866,0,0,0,0,0,0,0,0,0,0,0.00755453338839153,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.00286244405819663,-0.0123473112126339,0,0.0495650378677015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164156196390442,0,0,0.0733207747751122,0.0735673137791185,0,0.0836890060518106,0,0.00748677903926412,0,0.260226733825726,0,0,0,-0.142629620710874,0,0.0240443047073675,-0.010481458496668,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.36633570691009,0,0,-0.0232256825379189,0,0,0,0,0,0,0,0.0843952433108174,0,0,0,0,0.0328882409348267,0,0.0522217658785096,0,0,0,0.0106228283578288,0,0,0.0058131616122629,0,0,0,0,0,0,0,0,0.0471644059436542,0,-0.0398300556622759,0.00261990440473741,0,0,0,0,0,0,0,0,-0.0272558981828429,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0729990540610793,0,0,0,0,0,0,0.0591511346217021,0,0,0,0,0,0,0,0,0,0,0.0202035239586354,0,0,0,0,0,0,0,0.093825437560036,0,0,0,0.0858557490695233,0.123159637842052,0,0,0.14527745676409,0,0,0,-0.0410720202335057,-0.0161916044429498,-0.0145165534297315,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0197314041270858,0,0,0,0,0,0,0.0555808322273125,0,-0.0546930218151764,0,0.0384507855487249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133557059627545,0,0,0,-0.0284029629491342,-0.0783587163193121,0,0,0.0371206924970526,0.0496068033831824,0,0.0201005395499049,0.117320032856133,0,0,0,0,0,0,0,0,0.0756003095245715,-0.0190922125631689,-6.93889390390723e-18,0,0,0,0,0
X000063.SZ,0,0,0,0.0414951109518911,0,0,0,0.139102597761835,0,0,0,0,0,0,0,0,0.0578653992162866,0,0,0,0.174617805452703,0,0.0315431980703218,0,0,0,0,0,0,0.0616493351944521,0,0,0,-0.0111770287082727,0,0,0,0,-0.0700547387495372,0.091082165790304,0,0,0,0.00356807557031274,0,0.118342405743076,0,0,0,0,-0.0680371698070222,0,0,0,0,0,0,0
X600690.SH,0,0,0.0531067164538902,0.0118340920619648,0,0,0,0.0324261437413298,0,0.083972885840581,0,0,0.00509380969577768,0,0,0,0.022112178039343,0,0,0,0,0,0,0,0.489106093909671,0,0,0,0,0,0,0,0,0,0,0.0517804364902481,0,0,0,0.12027615415826,0.00878104640021838,0,0,0,0,0,0,0,0,0,0.0409910616911015,0.0491997104132707,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.155856203573176,0,0,0,0,0.0524710667842557,0,0.0292811460375124,0,0.0191856185991871,0,0,0,0,0.0383236004506847,0,0,0,0,0,0,0.0437738878379818,0,0.0643784884032121,0,0,0,0,0.191666633040135,0,0.0404005653739432,0,0,0.00426689033558407,0,0.0225936039481149,0,0,0,0,0,0,0,-0.0338144872063791,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.183202380647425,0,0,0,0,0,0,0.0294029732355147,0,0,0.0271347747337295,0,0,0,0.289984154715396,0,0,0,0,0,0,0,0,0,0,0,0.352525806580101,0,-0.0269943144724743,0,0,0,0.0211044944779731,0,-0.113786458833478,0,0,0,0,0,-0.0360219851305361,-0.0342179737367572,0,0,0,0,0,0
X600703.SH,0,0,0,0.0889536521425626,0,0,0,-0.117350866933385,0.242016886745662,0,0,0,0.0542475915224341,0,0.0621728521187187,0,-0.0502421170520672,0,0,0,0,-0.254680448655071,-0.0108689689602234,0,0,0,0,0,0,0,0,0.120715885380203,0,0,0,0.396728823058589,0,0,-0.0451102620804021,0,0,0,0,0,0,0,0,0,-0.0221971230009363,0,0,0.0753132590251648,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.422000644061845,0.118243637407856,0,0,0,0,0,0,0,0,0,0,0.0121531465613724,0,0,0.0754640556790775,0,0,0.0659487282991632,0,0,0,0,0,0,0.117705146002465,0,0,0,0.0274595652551738,0,0,0,0,0,0,-0.0269247055622065,0,0,0,0,0,0,0,0,0,-0.0371087610842206,0,0,0,0,0,0,0
X600066.SH,0,0,0,-0.0547092708824348,0,0,0,-0.269710300288036,0,0,0,0,-0.0216456216559721,0.164536905721547,0,0,0.0970544485272141,0,0,0,0.201376026029691,0,0.0680604747082858,0,0,-0.0379124469275941,0,0,0,0,0,0,0.0920108333726577,0,0,0,0,0,0.0853163241025757,0.149448076530956,1.73472347597681e-18,0,0,0.026737722386599,0,0,0,0,0,0,0,-0.00262825427896568,0,0,0,0,0,0
