,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600066.SH,X600741.SH,X600703.SH,X002236.SZ,X000568.SZ,X600271.SH,X000100.SZ,X600031.SH,X002241.SZ,X600118.SH,X600177.SH,X002292.SZ,X000338.SZ,X002007.SZ,X600372.SH,X002475.SZ,X000559.SZ,X002180.SZ,X300003.SZ,X002456.SZ,X600522.SH,X002074.SZ,X002506.SZ,X000157.SZ,X600867.SH,X002426.SZ,X002294.SZ,X002508.SZ,X600089.SH,X000981.SZ,X300124.SZ,X002085.SZ,X601877.SH,X000869.SZ,X002465.SZ,X600498.SH,X000050.SZ,X002179.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.33920066401616,0,0,0,0,0,0,0.208849965446559,0,0,0,0,0.0864748446568061,0,0,0,0,-0.0834151820097954,0.0687209337252055,0,0,0.0204468306444952,0,0,0,0,0.0630856053913494,0,-0.0593656449764052,-0.0537211011770303,0.114551304981138,0,0,0,-0.0552896648003245,0,-0.118821459240654,0,0,0.215308979776041,0.00841820256067376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0.116883035898783,0,0,3.46944695195361e-18,0,0,0,0.264916339250671,0.0597845822250016,0,0,0.0811719791087568,0,0,0,0,0,0,0,0,0,-0.106431039409267,0,-0.0315885096401107,0,0,0.0496501390172538,0.0103078619386656,0,0,0,0,-0.0480441119145656,0,0,0,0,0,0,0,0,0,0,0,0,0.122678718291564,0,0,0,0,0.0110051404501397,0,0,0,0,0,0,0
X002415.SZ,0.0748504556048743,0,0,0,0,0,0,0,0.0914958371432012,0,0,0,0,0,0.0129226613545004,0,0,0,0,0,0,0,0,0.138605814203816,0.0499324575441927,0.102533210951731,0,0,0,0,0,0.0239576873110559,-0.027851578215919,0,0,0,0,0.0963036283632141,0,0,0,0.0202736833720291,0,0.102756696217346,0,0.0782132514635371,0,0,0,0,0.0263303405618895,0,0,0,0,0,0,0
X000858.SZ,0.365724281517622,0,0,0,0.300253837791328,0.053997815170438,0,0,0.161960284362104,0,0,0.0245024234122635,0,0,0.193826131732674,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0599087174659316,0,0,-0.0140861786714109,0,0,0,0,0,0,0,0.0569266171720281,0,0,0,0,-0.0560950649182801,0.042407582989543,0,0.0968324918428167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0.155158625162284,0,0,0.633142321334509,0,0,0,0,-0.0902881892007911,0,0.0871733939224688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00988111031252426,1.38777878078145e-17,-0.0233768466273839,0.0220417315807597,0,0,0,0,-0.0296814617196972,0,0,0,0,0.118913851858816,0,0.0575895969398641,0,0,0,0,0,0,0,0.0127172287547822,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0400752389758784,0,0,0,0,0.20920195662208,0,0.0784701164617413,0,0,0.0402847506512427,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258542346931745,0,0,-0.00402125464374714,0.00635059282137565,0,0,0,0.0112937053199141,0,0,0,-0.0191631369812333,0,0,0,0,0,0,-0.026780758819695,0,0,0,0.0029017115951842,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0715581105762524,0,0,0,0.2249865847584,0.0139820706407683,0.0342827124694367,0,0,0,0.193267313212723,0,0.0516661969061672,0,0.0245871349319051,0,0,0,-0.0424956008603843,0,0.00614555067675722,0,0,0,0,0,0,0,0,0,0,0,0.164318522925055,0,0.105528330248406,0,0.00247312403343578,0,-0.0334457259740697,0.0256625689880942,0,0,0,0,0,0
X000625.SZ,0,0.625757875625425,0,0,0,0,0,0,0.0728023187603361,0,0,0.123536505496065,0,0,0,0,0,0,0.235290194184641,0,0,0,0,0.05348870911367,0,0,-0.385983495346086,0,0,0.00455454004031679,0.0252375560218483,0,0.115037087189939,0,0,0.142325002930947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597074284769708,0,0,0,0.153783297314856,0,0
X600690.SH,0,0,0.169301167818773,0.139432888253106,0,0,0,0.0971587477361227,0,0,0,0,0,0,-0.105942904430233,0,0,0,0,0,0,0,0,0.0870472825971681,0,0,0.0754271859550214,0.0414508528397742,0,0,0,0,0,0,0,0,0,0.150899183970907,0,0,0,0,0,0.0122999124177434,0,0,0.064389568766177,0.0339276853379234,0,0,0,0.0331373285797488,0,0,0,0,0,0
X000063.SZ,0,0,0.0213506485776057,0.0725350084901657,0.116276955853008,0,0,0,0,0,0,0,0,0,0,0.0579540230725023,0,0,0,0,0,0,0,0.0200379058366554,0,0,0,0,0,0.117122086888602,0,0,0,0,0,0,0,0.031573032015218,0,0.120425143006592,0,0,0,0,0,0.0406649915930383,0.052695498969501,0.0287539811072033,0,0,0,0.0245224622378875,0,0,0,0,0,0
