,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X000063.SZ,X002241.SZ,X000661.SZ,X003816.SZ,X300124.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X600741.SH,X600703.SH,X000625.SZ,X002371.SZ,X000100.SZ,X002007.SZ,X300142.SZ,X002236.SZ,X601877.SH,X002129.SZ,X002179.SZ,X600584.SH,X002049.SZ,X600183.SH,X000800.SZ,X000157.SZ,X002414.SZ,X601799.SH,X300003.SZ,X300136.SZ,X000066.SZ,X002008.SZ,X002456.SZ,X002185.SZ,X300146.SZ,X000977.SZ,X600066.SH,X002508.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0442110317086384,0,-0.0490788616854251,0,0,0,0,0,0,0.438970376600524,0,0,0,0,0,0,0,0.0262549148943537,0,0.0347050877265542,0,0,0,0,0.0992241656511304,0,0,0,0,-0.0713110393655204,0,0,0.015875815767583,0,0,0,0,0.0148239854491304,0,0,0,0,0,0,0,0,0,0.0319199446509153,0,0,0.0488474663488729,0,0,0,0,0.013036235736284,0,0
X000858.SZ,0.0376541622597683,0,0,0,0,0,0,0,0.176221696609214,0.175347623241178,0.290449760785496,0,0,0,0,0,0,0.00716395627798835,0.000968105067969801,0,0.00939029453066492,0,-0.0287850660199797,0,0,0,0,-0.0617357012917888,0,0.00591868925795413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00182626290616613,0,0,0,0,0.0220504994904815,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.249594077124704,0,0,0,0,0,0,0,-0.0572908550039394,0,0,0,0,0,0,0,0,0,0.14318515110051,0,0,0,0,0,-0.0206413943367956,0,0,0.0492824773366807,0.00806288658069877,0,0.0602857736811862,0,0,0,0,0.0339009880424334,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.0363560871654138,0,0
X002415.SZ,0,0,0,0,0.230933685771537,0,0,0,0,0,0.00868049231151132,0.0841714354225419,0,0,0,0,0,0,-0.0799493282208388,0,0,0,0,0,0,0,-0.0204350460038987,0,0.161692102457619,0,0,0.131288554669637,0,0,0,0,0,-0.0732056107363131,0,0,0,-0.0451902706958747,0,0,0,0,0,0.0866103725504493,0,0,0,-0.0204218244379643,0,0,0,0,0.0389855010676955,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0563030785636156,0,0,0,-0.0577430372230978,0,0,0.498642308917241,0,0,0,0,0,0,0,0,0,0,0.121204963013794,0,0,1.0842021724855e-19,0.0962052220866069,0,0,0,0,0,0,0,0,0,0,0,0,0.0470084978777642,0.0246507070757851,0.0132771781273896,0,0,0,-0.0604666386109709,0.0673270683023234,0,0.00862753652668015,-0.000500363017399336,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0916747145280377,0,0,0,0,0,0,-0.0999431079961037,0,0,0,0,0,0,0,0.0602979062985586,0,0.0265842436111088,0,0.0719913269792427,0.0752546856616536,0,0,0.0489699467832349,0,0,0,0,0.00464221413627842,0.0294598417968175,0,0,0,0,0,0,0,0,0,0.00812079636430938,0,0.00488222216501926,0,-0.0192457435343596,0,0,0,0,0.0191627421316365,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0957092886569498,-0.0586001084471129,0,0,0,0,0,0,0,0.243860469220296,0,0,0.0992477607581517,0.0768338026876666,0,0.0508333655755598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091155283205649,0,0,0,0,0,0,0.0244791182161528,0,0,0,0,0,0,0,0,0,0,0.0190701467729623,0,0
X000568.SZ,0,0.391625237016648,0,0,0,0,0,0,0.316672636030421,0,0,0,0,0,0.159191679203634,-0.0236132795650762,0,0.0214073188660658,0,0,0.0634058863465704,-0.0907517686123749,0,-0.0270154347303691,0,0,0,0,-0.159296915590707,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0593718609164525,0,0,0,0,0,0,0.199012784857391,0,0,0,0,-0.198503043328713,0,0.0357310836350152,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.258112649841182,0,0,0.0428810131501661,0,0,0,0,0,0,0,-0.0285883598234074,0.287433764636674,0,0,0,0,0,0,-0.0342035871782846,-0.0205386324797334,0,0,0,0,0,0,-0.0553079277511424,0,0,0,0,0,0,0,0,0,0,0.109349165406333,0,0,0,0,0,0,0.0320334585697532,0,0,0,-0.00241742888985678,0,0
X600031.SH,0,0,0,0,0,0,0,0.0128444577317791,0,0,0,0,0,0,0,0.347149098299312,0,0,0.315465273115352,0.0908084914537355,0,0.126911646798157,0,0,0,0,0,0,0,0,0,0,0,0,0.0171792598585333,0,0.105252395757164,0,0.055046993040249,-0.122315843889329,0,0,0,0,0,0,0,0,0,-0.0899671962583176,0,0.0710341959725267,-0.0516248500904484,0,0,0,0,0,0
