,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X600104.SH,X000661.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000725.SZ,X000568.SZ,X003816.SZ,X600690.SH,X600809.SH,X002241.SZ,X600703.SH,X000338.SZ,X300142.SZ,X002371.SZ,X000596.SZ,X002007.SZ,X300014.SZ,X300124.SZ,X000100.SZ,X002049.SZ,X600741.SH,X600584.SH,X300003.SZ,X002129.SZ,X002236.SZ,X601877.SH,X600183.SH,X000157.SZ,X000800.SZ,X002414.SZ,X000625.SZ,X000066.SZ,X300136.SZ,X000977.SZ,X002456.SZ,X002179.SZ,X002185.SZ,X600118.SH,X002008.SZ,X002463.SZ,X002180.SZ,X601799.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.408081154144141,0.0069545826282579,0,0,0,0,0,0,0,0,0,0.0103612020662722,0,0,0.025929840905549,0.0173871348861978,0,0,0.0356457436261892,0,0.0775521238916565,0,0.0330690274971085,0,0,0.0191492039566724,0,0.040039603283689,0,0.0170634148158457,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525493576228973,-0.00216483716157965,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.248931320686978,0,0,0,0.183386894249211,0,0,0.30400481141901,0.0899472304781948,0.0227331579667217,0,0.0203069611591235,0,0.0518723802694581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327008147563262,0,0,0,0,0,0,0,0,0,-0.0114827409418094,0.00240936552069265,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.235752843992733,0.186975643060254,0,0,0,0,0,0,0,0.0649686878030646,0.00749668524416691,0,0.0220304466561762,0,0,0,0,0,0,0,0,0,0,0.029892945176133,0,0,0,0,0,0.0577881318900831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00499727470473249,0.00559609772302104,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134672806390193,0.0556992273853728,0,0,0,0,0.277297573384211,0,0,0,0,0,0,0,0.0832272722945996,0.079816435998502,0,0,0,0,0,0,0.0228377115517903,0,0,0,-0.0564260884923544,-0.0146746727040744,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0183461449310791,0,0,0,0,0,0,0,0,0.330594992233448,0,0,0,0,0.0738934526182055,0.0480430733938957,0,0,0,0,0,0.0932893898924417,0,0.032493137487619,0,0,0.0608976967751351,0,0,0,0,0.0112589166257477,0.0195238729332638,0,0.0641006458190611,0,0,0.00533049064638471,0,0,0,0,0,0,-0.00294807374324508,-0.0237127890216243,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0712238876591502,0,0,0,0.104331973613393,0,0.0606093966472994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424963844316082,0,0,0,0.0460489101602897,0,0,0,0,0,0.015262655497401,-0.0283341210464528,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,-0.0297640792632756,0,0,0,0,0,0,0.0143010925992849,0,0,0,0,0,0,0,0,-0.118021237728942,0,0,0,0,1.73472347597681e-18,0,0,0.0595303684223591,0.0445287739531652,0,0,0.0251210447199374,0,0.104373859038856,0.0362048085462157,0,0,0.115975408306444,0,0,0,0.115663656671334,0,0,0,0,-0.000582804601094557,-0.0197272003493443,0.0191336441600372,0,0,0,0,0,0
X000661.SZ,0,0,0.093302884163324,0,0.239895717218345,0,0,0,-0.106470507490617,0,0,0,0,0,0.0398450884239822,0.00342454971864662,0.000191461587980209,0,-0.0725948972860763,0,0,0,0.264702215073098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240598529418259,0,0,0,0,0,0,0,0,0,0,0,0,0.00957118857349764,-0.0296208814119879,0,0,0,0,0,0
X002304.SZ,0,0.148185511007232,0,0,0,0,0,0,0,0,0,0,0.428118313283578,0,0.0148338960154174,0.0618789680527128,0,0,0,0,0,0.147152816995347,0.0333503075739476,0,0,0,0.0103083397286762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.37080561261799e-05,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,-0.121102835857874,0,0,0,0,0,0,0.0480615374812052,0,0,0.179904338067095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116775002460916,0,0,0,0,-0.064224594297952,0,0.0260309630985942,0,0,0,0,0,0,0.172720028409254,0,0.340855371513153,0,0,0,0,-0.0152597580430177,0,0,0,0,0,0
