,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X003816.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X002371.SZ,X000596.SZ,X002007.SZ,X002241.SZ,X000100.SZ,X300142.SZ,X300014.SZ,X600183.SH,X600741.SH,X300003.SZ,X300124.SZ,X000977.SZ,X601877.SH,X002129.SZ,X000157.SZ,X002236.SZ,X600584.SH,X000625.SZ,X000800.SZ,X002049.SZ,X002414.SZ,X002463.SZ,X300136.SZ,X000066.SZ,X002456.SZ,X002179.SZ,X600118.SH,X002185.SZ,X600522.SH,X002074.SZ,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.28631845148854,0.057313464393575,0,0,0,0,0,0,0,0,0.0403372688930517,0,0,0,0,0,0,0,0.127892983765575,0,-3.46944695195361e-18,0,0,0,0,0,0.0173894597223425,0,0,0,0,0,0,0,0.0604336521296014,0,-0.0110738017937593,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.0020153958228758,-0.0246749919152538,0,0,0,0,0,0
X000858.SZ,0.128128202820669,0,0.0423828144323523,0,0,0,0.0592013317752325,0,0,0,0,0,0,0.332323771243705,0.335890224745553,0,0,0,0,0,0,0.113755970109886,0,0,0,0,0,0,0,0.0106973285920443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107411070209569,0,0,-0.000601905687933777,0.000453003689753847,0,0,0,0,0,0
X600276.SH,0,0.202381041192851,0,0,0,0,0,0,0,0,0,0,0.189934913832178,0,0.0228554683610804,0,0,0,0.00977620217622702,0,0.111586671208906,0,0,0,0,0,0,0,0,0.0781377365701868,0,0,0,0,0,0,0,0,0,0,0,0.0818974559402821,0,0,0,0,-0.071409002982844,0,0,0,0,-0.0153457619742102,0,0,0,0,0,0,0
X000651.SZ,0,0.174457188840411,0,0,0.0176522907294525,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0669780591032117,0.39464475988359,0,0,0,0,0,0,0,0,0,0,0.0244275960349234,0,0,0.000921760474092347,0,0,0,0,0,0,0,0.0254786062791865,0,0,0,0,-0.0334870563411047,0,0,0,0,0,0,0,0.0809818505036002,0.0113242044377112,0.0414699065785679,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0627806709185813,0,0.0566842899900547,0,0.195016232601223,0,-0.0546336035594693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04327237631281,0,0,0,0.232776009429993,0.144813620884611,0,-0.049022457114715,0.07646883719583,0,0,0,0,0,0,0.0336964075263168,0,0,0,0,0,0,0.00449547555832851,0.0760592677948853,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0948548246150759,0,0,0.181321195513281,0.168489886990945,0,0,0,0,0,0.276187225271721,0,0,0,0,0,0,0,0,0,0,0,0,0.167660922229836,0,0,0,0,0,0,0.0031606982183357,-0.0363013500951898,0,0,0,0,0,0
X600104.SH,0,0.0931069765225357,0,0,0,0,0,-0.00756836665568413,0,0,0,0,0,0,0,0,0,0,0,0.12886418614877,0,0,0,0,0,0,0.29067513281429,0.112641126393398,0,0.153592775093172,0,0,0,0,0,0,0.0764084434661405,0,0,0,0,0,0,0,0,-0.00300153696125028,-0.0059648381453191,0,0,0,0,0.0145210511643185,-0.020807407768535,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0785474506676891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109660464126928,0,0,0,0,0.0302075920464857,0,0,0,0,0,0,0,0,0,0.0787358170953772,0,-0.0345846582684792,0.236828341084633,0.326723616960092,0.341450959434391,0,0,0,0,-0.0389298014502685,-0.219082244711027,0,-0.0285771766098025,0,-0.0214262638438869,0.0241471944017097,0.00599803997464696,0,0,0,0,0,0
X002304.SZ,0,0.208730540037,0,0,0,0,0,0,0,0.078177285824342,0,0,0,0,0,0.216841179670447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251327915634754,0,0,0,0,0.103135692184585,0,0,0,0,0,0,0,0,0,0.0883313800897459,0,-0.000712377684742584,-0.0138298466686475,0,0,0,0,0,0
X600031.SH,0,0.0345403026335729,0,0,0,0.112987801777193,0.0085870009116475,0,0.0475976839731447,0,0,0,0,0,0,0,0.0547365213572393,0,0,0.0401720370549228,0,0,0,0,0,0.194508275923375,0.135704158440864,0,0,0,0,0,0.13262579112551,0,-0.0775016726574158,0,0,0,0.0174511334616885,0.0175175775141406,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.00238428700012603,0.0176449476999887,0,0,0,0,0,0
