,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002371.SZ,X002049.SZ,X003816.SZ,X002129.SZ,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002179.SZ,X000596.SZ,X002180.SZ,X000338.SZ,X600089.SH,X600703.SH,X600522.SH,X002241.SZ,X000733.SZ,X000661.SZ,X300142.SZ,X000100.SZ,X601877.SH,X002074.SZ,X600741.SH,X300003.SZ,X000157.SZ,X600487.SH,X600460.SH,X600584.SH,X600884.SH,X600563.SH,X600702.SH,X002414.SZ,X002025.SZ,X000066.SZ,X600372.SH,X002236.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.313042789673306,0,0,0.112183210113227,0,0,0.0216829097903597,0,0,0,0.0280178478817863,0.020524406596969,0,0,0.0654242686119119,0,0,0,0,0,0,-0.0355512062102697,0,0,0,0,0.0558613803787384,-0.244199806107964,0,0,0,0,0,0,-0.0485064416756302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182185704869969,0.0469119215251774,0,0,0,0,0,0
X000858.SZ,0,0,0.086268833079639,0,0.142100247028976,0.194247721334341,0,0.161311297153478,0,0,0,0,0,0.0978406880144977,0,0,0,0,0,0,0,0,0.0379121972769457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129149231864944,-0.0345101348430729,0,-0.0561084861172321,0,0,0,0,0,0.00665601086381752,0,0,0,0,0,0
X600809.SH,0.149779285935899,0,0,0,0,0.640604911119935,0,0,0,-0.123813573365316,0,0,0,0.0242980106880929,0,0,0,0,0,0,0,0,0,0,0,-0.0903914640844289,0,-0.0702939613245129,0,-0.0656791956912989,0.0792713719823337,0.0501732828808687,0,0,0,0,0.156308928389016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255645357791632,-0.107039407788127,0.0357853149192588,0,0,0.141497292210991,0,0,0,0,0,0,0,0,0,0.167902667852637,-0.278191848240547,0,0,0,0.107358684642161,0,0.269703058568345,0,0.0686593506114297,0.0224091443040987,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0563160835288788,0,0,0,0,0,0,0,0,-0.0655887109101377,0,-5.42101086242752e-20,0,0,0,0,0,0.00217801524443763,0,0,-0.00570584004084424,0.0313092449835541,0,0,-0.0748071139467473,0,0,0,0.0710841614584733,0,0,0,0,0.0340065529742905,0,0,0,0,0,-0.0893761895250385,0,0,0,0,0,0.0929465994927077,-0.00887722270022247,0,0,0,0,0,0,0,0,0
X000568.SZ,0.349541131794421,0,0.754244910691955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612559647039607,0,0,0,0,0.0875977740748971,0,0,0.0861471206504994,0,0,0,0,0,0,0,0,0,-0.02872362130458,0,0,0,0,0,0,0,0,0,0,0,0.0151058236377938,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.337152029741919,0,0,0.0829169142622133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00101062328694354,0,0,0,0,0,0,0,0,0,0.206018639289569,0,0,0,0.0144822167174822,0,0,0,0,0,0
X002304.SZ,0,0.232193297442191,0,0,0,0,0.100356941997343,0,0,0,0,0.144463333193378,-0.151686606587098,0,0,0,0,0,0,0,0,0,0.100100929985225,0.0414692775791284,0,0,0,0,0,0,0,0,0.0192727139761003,0,0.0759493681485076,0,0,0,0,0,0,0,0,0.165137463328136,-0.117383171583429,0,0,0,0,0.0877695928809783,0,0,0.0200923067791894,0,0,0,0,0,0
X600690.SH,0.155967031498832,0,0,0,0,0.251192462727658,0,0,0,0,0.285205841489776,0,0,0,0,0,0.00748392835860116,0,0,-0.0323708318410042,0,0,0,-0.021505634419652,0,0.0894336224710699,-8.67361737988404e-19,0.10081154580339,0.0875262268720952,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328760317998424,0,0,-0.0534684799246159,0,0,0,0,0,0,-0.0270632178160278,0,0,0,0,0,0,0
X300124.SZ,0,0,-0.142140202856779,0,0,0,0.250346178622889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025996879664759,0,0,0,0,0,0,0,-0.0499814488659319,0,0,0.149467005648135,0,0,0,-0.116412299213281,0,0,0,0,0,-0.0887047924925265,0.181505734958453,0,0,0,0,0,0,-0.00608049081377208,0,0,0,0,0,0
X000651.SZ,0,0.0553496844240811,0,0,0,0,0,0,0.283129023320772,0,0,0,-0.0865699532760283,-8.67361737988404e-19,0,0,0,0,0.374203311804729,0,0,0,0,0,0,0,0,0,0,-0.0397377129409958,0,0.125026245175076,0,0,0,0,0.0390423899420213,0,0,0,0,0,0,0,0,0,-0.0876796889255494,0,0,0,0,0.0404778079593143,-0.0394429337546153,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.168993431214797,0,0,0,0.0179324215722943,0,0.00312162230872064,0,0,0,0,0,0,0.00492794209349808,0,0,0,0,0,0,0.0348565229565137,0,0.0750792992203519,0,0.160903309998144,0,0,0,0,0,0,0,0,0,0,0,0.0462883527355001,0,0,0,0,0,-0.0118253984764836,0,0,0,0,0,0
X300014.SZ,0,0,-0.0631894076640077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255995551859705,0,0,0,0,0,0,0,0,0,-0.0266175703657927,0.129271392173956,0,0,0,0.459548370218742,0,0,0,0.00866981185411044,0,0,0,0.178799528918562,0,0.154750910155665,-0.242744746320106,0,0,0,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,-0.0648940789192141,0.238389172853255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319297414553416,0,0,0,0,0,0,0,0.164483716344102,0,-0.0128356051348001,0,-0.132542336709074,0,-0.295374507081613,0,0,0,0,0,0,0,0,0,0.195519876662345,0,0,0.541729591958414,0,0,-0.24231574700015,0.00853981289099459,0,0,0,0.637471009838998,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.156152071814834,0.0672117163152751,0,0,0,0,0.0826902811627526,0,0,0,0,0,0,0,0,0,0.0540479775028946,0,0,-0.0278768431498671,0,0,0.0136830934551976,0,0,0,0,0,0,0,0,0.0800550364484335,0,0.340725088192995,0.0930394798584939,0,0,-0.0971393247867276,-0.229014769240957,0.012614512143597,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0466093426846216,0,0,0,0,0,0,0.0262422912827379,0,0,-0.0530261509008746,-0.0207730716939128,0.00764293778555933,0.0183971432457944,0,0,0,0,0.0493571557478146,0.0610705065505068,0.0631443538224873,0,0,0,0,0.112185818808759,0,0,0,0,0,0.0646594734951064,0,0,0,0,0,-0.158952414790605,0,0,0.0123429967016493,0,0,0,0,0,0
