,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X600031.SH,X002236.SZ,X002475.SZ,X000338.SZ,X000625.SZ,X002008.SZ,X600809.SH,X600487.SH,X601877.SH,X002241.SZ,X000100.SZ,X600066.SH,X002456.SZ,X002508.SZ,X300003.SZ,X300124.SZ,X002294.SZ,X600867.SH,X600271.SH,X600522.SH,X600089.SH,X000596.SZ,X000157.SZ,X600177.SH,X300136.SZ,X600566.SH,X002085.SZ,X000981.SZ,X600498.SH,X000661.SZ,X600699.SH,X300142.SZ,X002179.SZ,X600118.SH,X600707.SH,X002180.SZ,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.0860402691031306,0,0,0.298423504409362,-0.0527789536425034,0.0449001046795232,0.155766365998284,0,0,0,0,0,0,-0.0190523052585584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398024993146949,0,0,0.288051814769399,0,0,0,-0.000792016430528942,0.0239135452648617,0,0,0,0,0,0
X600104.SH,0,0,0,0.0868502829408187,0,0,0,0,-0.0169938556563309,0,0,0,0.224473096019011,0,0,0,0,0,0,0,0,0,0,0,0,0.100511997081942,0,0.0805881454808011,0,0,0,0,0,0,0,0,0,0.0707391905203349,0,0,0,0,0,0,0.137296627788586,0,0,0,0.19038233626002,0,0,-0.0253258332292948,0.047394532867926,0.0585729481372594,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117519395147085,0.15985809817681,0,0,0,0.315853630437832,0,0.133542465621646,0.117109729871014,0,0,0.0136337526736487,0.0194301700023755,0.111747509706382,0,0,0,0,0,0,0,0,0,0,0.0223737283666814,0,0,0,0,0.137835089968269,-0.0510469442297746,0,0,0,0,0,0,0,-0.00584838139064807,-0.0333515899945731,0,0,0,0,0,0
X000651.SZ,0,0.0918910139962363,0,0,0.496664535536345,0,0,0,0.0272009457785237,0,0,0,0,0.102225005148385,0,0,0,0,0,0.122991418762674,0,0,0,0,0,0,0,0,0,0,0.0472980611840624,0,-8.67361737988404e-19,0,0,0,0,-0.0112349586862609,0,0,0,0,0,0,0.00329789704588706,0,0,0,0,0,0,-0.00380943440467642,0.0260706647628071,0,0,0,0,0,0
X000858.SZ,0.22861572977626,0,0,0.311628393141995,0,0.018036569632422,0,0.00979173685355249,0,0.00174310361089477,0.323946367250903,0,0,0,0,0,0,0,0.0125293865499298,0.0748702602106384,0,0,0,0,0.10642827496817,0,0,0,0,0,0,-0.0235468078726649,0,0,0,0,0,-0.0365400217802565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00552019244550947,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.377176395335726,0.093300409460615,-0.0785167731071705,-0.0622795795352186,0,0,-0.0557480724648152,0,0.0841441435251433,0,0,0.164916958866595,0,0,0,0,0,0,0,0.249333502656271,0,0,0.0184160509897833,0,0.337824742985487,0,0.20147924617103,0,0,0.0848330722277045,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768660769770912,0.0978857885782485,0,0,0,0,0,0
X600276.SH,0.145321475979255,0,0,0,0,0,0,0.0918903513846955,0.110475736257251,0.117367758759744,0,0.0435589585558719,0,0,0.157440492808051,0,0,0,0,-8.67361737988404e-19,8.67361737988404e-19,0,0,0,0,-0.311556126537204,0,0,0.119273371053559,0,0,0,0,0,0,0,0,0.145885854057714,0,0,0,0,0.104172787795486,0,0,0,0,0,0,0,0,-0.0219533110513279,0.0454667923454307,0,0,0,0,0,0
X002304.SZ,0.289046587386945,0,0,0,0.287597837963122,0,0,0,0,0,0.119903627534047,0,0.0985847379939797,0,0,0,0,0,0.00735784265195913,0,0,0,0,0,0,0,0,0,0,0,0.07633310171355,0,0,0,0,0,0,-0.0203597511031372,0,0,0,0,0.0173077056520695,0,0.131782575309214,0,0,0,0.0215804328951665,0,0,-0.00132100123367565,0.0168896820715248,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.0936317851564115,0.22326723079534,0,0,0,0,0,0,0,0,0,0.129707021317125,0,0,0.18915599915723,0,0,0,0.0642772553186911,0,0,0,0,0,0,0,3.46944695195361e-18,0.192825358592316,0.360130674743868,0,0,0,0,0,0,0,0,0.336490934578299,0,0,-0.00719360289389452,0,0,0,-0.0429296499311785,0,0,-0.0170266510475527,0.0252287228651215,0,0,0,0,0,0
X600690.SH,0,0.0702009439656872,0,0.179656061310603,0.217736718676374,0.107302831539628,0.0704222751532321,0,0,0,0,0,0.143012869942351,0,0,0,0,0,0,0,0,0,0,0.0138282258864384,0,0,0,0,0,0,0,0,0,0,0.0882692300080994,0,0,0,0,0,0,0,0,0,0,0.0869401317076648,0,0,0,0,0,-0.0065161224104992,0.00331518190544994,0,0,0,0,0,0
X000568.SZ,0,0,6.93889390390723e-18,0.0631383581704493,0.470214897250087,0,0,0.0761190562781377,0,0,0,0,0,0,0,0,0.0393895618192395,0,0.0572798805295747,0,0,-0.0291628756799754,0,0,0,0,0.106659942243404,0,0,0,0,0,0,0,0.0763466861937782,0,0,0.105264373686268,0,0,0,0,0,0,0,0,0,0,-0.0384403193166054,0,0,0.00854575227304771,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.321789581194344,0,0,0,0,0,0,0.46852785045163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446402745565254,0,0.0509262595499715,0,0,0,0,0,0,0,0,0.486357614553611,0.171574934730171,0,0.0268978428842411,0,0,0,0,0,0,-0.0299090075859599,0,0,0,0,0,0,0
