,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X000661.SZ,X600741.SH,X600703.SH,X002241.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X002007.SZ,X600183.SH,X601877.SH,X300142.SZ,X000157.SZ,X000100.SZ,X000066.SZ,X300124.SZ,X002179.SZ,X000625.SZ,X300014.SZ,X000977.SZ,X300136.SZ,X600271.SH,X002463.SZ,X002008.SZ,X600177.SH,X002456.SZ,X002371.SZ,X002506.SZ,X600066.SH,X600584.SH,X002180.SZ,X600498.SH,X600867.SH,X002129.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.157747153997995,0,0,0,0.528903535349174,0,0,0,0,0,-0.027462420535001,-0.0444009733869238,0,0,0,0.106310971765506,0,0,0,0,0,0,0,-0.029403044349847,0,0,0,-0.0767167194589287,0,0,0,0,0,0,0.0118176110137243,0,0,0,0,0.118896749131807,0,0,0,0,0,-0.0166312776774284,0.0227819321012457,0,0,0,-0.0012153913976087,0,0
X000858.SZ,0.173125530531589,0,0,0,0.0931173884479351,0,0,0,0.0159232335470676,0.0316567898399974,0.522744873094303,0,0,0,0,0.076548073231112,0,0,0.0053660351487898,0,0.00616106552666755,0.0257397672455255,0,0,0,0,0,0,0,0,0,0,0,0,0.00842090569554686,0,0,0,0,0,0.0240400571298134,0,0,0.095804367351078,0,0,0,0,0,0,0,0.00339810587435893,-0.00549228756801699,0,0,0,-0.0384044870857278,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0190271906701518,0,0.204569056086911,0,0,0.0842848209093549,0,0,0.19138258133193,0.0621080765262349,0,0,0,0.0358107223769099,0,0,0,0,0,0,0,0.0414223601961716,0,0,0,-0.0520242362533307,0,0,0.00903884268009414,0,0.0580268577990214,0,0,0,0,0,0,0.00194494291650134,0,0,0,0,0,-0.0015322304413876,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.00251302820917546,-0.183580882831785,0,0,0,0.23343549137799,0,0,0,0,0,0,0,0,0,0,-0.00241188187279438,0.128269899421703,0,0,0,0,0,0,-0.0504526709770901,0,0,0,0,-0.0805816774515083,0,0,0,0,0,0,0,0.052351387043895,0,0,0.174237929610363,0.166494075671043,0.188131051797867,0,-0.0214490130225533,0,0,0,0.0785135610033073,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49377608833861,0,0,0.114470799790219,0,0,0,-0.0148122212587646,0.0439360564512691,0,0,0,0.0159745124806747,-1.73472347597681e-18,0,8.67361737988404e-19,0.0169250377286258,0,-0.0174534026412504,-0.0360569822503356,0,0,-0.000775800343531811,0,0,0,0,0,0,0.0917507526580931,-0.117431516287215,0,0,0,-0.0232529364901975,0,0
X600104.SH,0,0,0,0,-0.0034297954326021,0,0,0,0,0,0,0.0715396576684619,0,0,0,0.0803681965269292,0,0.173682591114718,0.0440017182085008,0,0,0,0,0,0,0.0613793180442951,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00402601455120264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446543417715632,0.00173543097631154,0,0,0,0,0,0
X002475.SZ,0.0476681151637741,0,0,0,0,0,0,0,0.185499864111554,0,0,0,0.108447358958167,0,0.052709851955381,0.123688369562299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224045566499591,0,0,0,0,-0.125907262054088,0.151447010891281,0,0,0.349211207289333,0,0,0,0,0,0,-0.132731307236912,0,0,0,0,0,0,0,0,0,0,-0.0114774384538001,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.206009831803848,0,0,0,0,0.050117839566203,0.219957173955718,0,0,0,0.256793856952434,0,0,0,0,0,0,0.187759728802819,0,-0.217859513314898,0,-0.0951732504697199,0,0,0,-0.0347426340702947,-3.46944695195361e-18,0,0,0,0,0,0,-0.109821981832227,0,0,0,0,0,0,0,0,0,0.0692667736387329,0.0341207039194924,0,0,0,0.136418321991744,0,0
X002304.SZ,0.23511925200303,0.03960621106485,0,0,0,0,0.00509859282122433,0.136157363075298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779607202962683,0,0,0.0435789128913415,0.0697763001302278,0,0.00177725908935289,0,0,0,0,0,-0.0112606025641403,0,0,0,0,0,0,0,-0.0167157390903298,0,0,0,0,0,0.122146082426694,0,0,0,0,0.026880207065038,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.119753297459898,0,0,0,0,0,0,0,0,0,0,0,0.261336984595794,0,0.150724760718789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126179140136403,8.67361737988404e-19,0,0.11490447282121,0,0,0,0,0,0.00716694967215824,0,0.0102236026062194,0,0,0,0,0,0.113273191388268,0,0.0496795873574826,-0.0636846853420815,0,0,0,0,0,0
