,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X000568.SZ,X600703.SH,X600741.SH,X000338.SZ,X300003.SZ,X600271.SH,X601877.SH,X002008.SZ,X600487.SH,X002236.SZ,X002456.SZ,X300124.SZ,X600809.SH,X000661.SZ,X600867.SH,X000100.SZ,X000596.SZ,X000977.SZ,X600066.SH,X300136.SZ,X600498.SH,X600566.SH,X000625.SZ,X002179.SZ,X300142.SZ,X002007.SZ,X002294.SZ,X000157.SZ,X002180.SZ,X002241.SZ,X300146.SZ,X600522.SH,X002049.SZ,X000869.SZ,X600177.SH,X600089.SH,X002371.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.344918626639021,0,0,0,0,0,0.0186553351073756,0,0,0,0,0,0.0993098080346143,0,0,0.0594938660519223,0,0.00343620590537183,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.029962694387638,0,0,0,0,0.0842442587654781,0,0,0,0,0,0,0,0,0,0.00363053169576037,0.00201837069910844,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0364166762521978,0,0,0,0,0,0,0,0.221945553726019,0,0.576572226165749,0,-0.0447902925891346,0,0,0,-0.115037968185005,0,0,0,0,0,0.0576493478521167,0,0,0,0,0,-0.0202203206098392,0,0,0,-0.0852210872544071,0,0,0,0,0,0.113355911077049,0,0,0,0,0,0.0031541162044214,0,0.0408519175220241,0.0193891067163953,0.0283943278183288,0,0,0,0,0,0
X002415.SZ,0,0,0,0.140740216706413,0,0,0.025177878487664,0.113823377348607,0,0,0,0,0,0,0,0,0.00586340222969052,0,0,0.0408974260579156,0.10716158292793,0.259928949373996,0,0,0.117470254689119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182846528350541,0.0165084530486482,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0789638724005508,0,0,0,0,0,0,0.0640957808017042,0.152284826161838,0,0,0,0,0,0,0,0.159515472604489,0,0,0,0,0.0735154823183577,0,0,0.196051570204101,0,0,0,0.0460184094993098,0.328427871160453,0,0,0,0.109291456973681,0,0,0,0,0,0,0,0.0851719218247431,0.0238261302717851,0.0322833202186025,0,0,0,0,0,0
X000858.SZ,0.162816910886945,0,0,0,0,0.0520574571681129,0.303470666292872,0,0.0943206276914092,-0.00753115042663929,0,0,0.192862916358901,0,0,0,0,0,0,0,0,0.0526003154743843,0,0,0,0,0,0,0.0431336944456347,0,0,0,0,0,0,0,0.0446578110149323,0,0.0298352980504173,0,0,0,0,0,0,0,0,0,-0.0179850651993033,0,0,0.00650682623262143,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0633911891949741,0,0,0,0.0917623593574339,0.0131122440913332,0,0,0.0561853406294581,0.0591301068158493,0,0.112057459712994,0,0,0,0.195461975279022,0,0,0,0,0.0250785288427476,0,0,0,0.00952775083259727,0,0,0.0014781720134966,0,0,0,0,0,0,0,0,0,0,0,0.0843944420309369,0,0,0,0,0,0,0,0.0150424845336965,0.0204865550098351,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0861005549327451,0.728646909657804,0,0,0,0,-0.118019779368525,0,0,0.219137762724139,0,0,0,0.0800543941429921,0.111093865494429,0,0,0,0,0,0.0541333616731623,0.0218823130514988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0995821691240491,0,0,0,0,0,0,0,0,0.00209710564354652,-0.00691527853545552,0,0,0,0,0,0
X000725.SZ,0,0,0.0510219233782914,0,0.0224836390752943,0,0.0445923126995298,0,0,0,0,0,0,0,0,0,0.0173324069896493,0,0,0,0,0.0101626772324083,0.00280430969923446,0,0,0,0,0.189228120495093,0,0,0,0.0582495700243527,0,0,0,0,0,0,0,0,0,0,-0.0837992293348275,0.471182923285966,0.136092066449769,0.0383788806270422,0,0,0,0,0,0,0.00905344419458806,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.299358662174545,0.279699198683945,0,0,0,-0.123347673645035,0.154370655966052,0,0,0,0,0,0,0,0,0,0,0.0871348150800325,0.0839591780540819,0,0,0,0.136490220014488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027234171936579,0,0,0.0142842699250328,0.00438260932165647,0,0,0,0,0,0
X000063.SZ,0,0.0521834676305964,0,0,0,0,0,0,0,0,0,0,0,0.332327401407501,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.199911295745893,0,0.189207876030445,0,0,0,0.0257336338564025,0,0,0,0,0,0,0,0,0,0,0.179268889697056,0,-0.109739975054922,0.0745870927016814,-0.0558391835143959,0,0,0,0,0,0
