,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X000661.SZ,X600741.SH,X002241.SZ,X600703.SH,X300003.SZ,X000596.SZ,X600183.SH,X002236.SZ,X601877.SH,X002007.SZ,X300142.SZ,X000100.SZ,X000157.SZ,X000066.SZ,X300124.SZ,X002179.SZ,X000625.SZ,X300136.SZ,X600271.SH,X002463.SZ,X002008.SZ,X000977.SZ,X300014.SZ,X600177.SH,X002506.SZ,X600066.SH,X002456.SZ,X002371.SZ,X002129.SZ,X600498.SH,X600867.SH,X002508.SZ,X000050.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.112738309317269,0,0,0,0,0.572254741928563,0,0,0,0.0140162479676087,-0.0218375658951351,0,0,0,0,0.0305552850862496,0,0,0.0402213125023967,0,0,0,0,-0.0267602203107869,0,0,0,0,0,0,0,0.0305776297523322,-0.0722418883294971,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0602983882319064,0,0.0984339824243189,0,0,0,0,0,0,0,0,0
X000858.SZ,0.25860203503534,0,0,0,0,0,0,0.0309760272263672,0,0,0,0.513286045025508,0,0,0,0.0928562411449157,0,0,0,0.0400710964320371,0.00691444663788394,0.00306142424928004,0,0.0189968249012124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102273142212327,0,0,0.0265590804838227,0.0331613642646279,0.00976032422700635,0.0124588059934148,0,0,0,0,0,0,0,0,0,0,0,-0.0351667460275623,0,0
X600276.SH,0,0.0290730797544467,0,0.031529859708178,0,0,0,0,0.0396889442525436,0,0,0.188876430473221,0,0,0,0,0.0846127881513648,0,0,0,0.00025494393048854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100156662070779,0,0.0541731258115138,0,-0.0652304330066463,0,0,0,0,0,0,0,0,0,0,0.0270356057634492,0,0,-0.000715716937279558,0,0,0,0.0392120434865181,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0746499522466819,0,0,0,0,-0.0183281146349289,0,0,0,0,0,0,0,0,0.164495312506137,0,0,0,0,0,0,0,0,-0.174083363727262,0,0,-0.0337714110477123,-0.0151257730092855,0,0,0,0,0,0,0,0.135296901758087,0,0.142013990112237,0.20760128488025,0,0,0,0.0228922360886291,-0.0791590238837304,0,0,0,0.0265314899675275,0,0
X002415.SZ,0,0.0509091490268544,0,0,0,0,0,0,0,0,0,0.00928825724298433,0,0,0,0,0,0,0,0,0,0,0,0.544058192285365,0,0,0,0,0,0,0.0167106523165607,0,0,0,0,-0.018498982432139,0,0,0,0,0,0,-0.0368342340488045,0.0077261261737509,0.00226543683264023,0.0716757167391575,0,0.0591002041734517,0,0,0,-5.42101086242752e-20,0,0,0,0,-0.0412446021023945,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.10244269215943,0,0,0,0,0,0,0.170943538727484,0,0.0207069905776072,0,0,0,0,0.0916620308312136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104021765541159,0.0457274173059935,-0.0271870232328917,0,0.00511808215506994,0,0,0,0,0,0,0
X002475.SZ,0,0.132182565820766,0,0,0,0,0,0,0.162102997764767,0,0,0,0.21220941436735,0,0.183521876187443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223460703008918,0,0,0,0.152858693242399,0,0,0.180057590817325,-0.0903556554409461,0,0,0,0,0.075339852163263,0,0,0,0,0,0,-0.0858535399899498,0,0,0.0142113855687916,0,0,0,0,0,0
X003816.SZ,0,0,0.210169936810988,0,0,0,0,0,0,0,0,0,0,0,0.0683279806968469,0,0,0,0,0.316912624648893,0,0,-0.0658695828925465,0,0,0,0,0,-0.145931196746543,-0.155898300542566,0,0,0,0,0,-0.00739719693229209,0,-8.67361737988404e-19,-0.00673246435545334,0,0,0,0,-0.0155267084897715,0,0,0,0,0,0,0,0.100694420896754,0.0477891864319603,0,0,0,0.164408370704439,0,0
X002304.SZ,0.300359541278652,0,0.000834247133575279,0,0,0,0,0.135926693258247,0,0.0350073193908883,0,0,0,0.0291442459002787,0,0,0,0,0,0,0,0,0.0619203403438101,0,0.021809949785595,0.0260000517865178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.0389810173490444,0,0,0,0,0,0.019053151191574,0,0,0,0,0,0
X000063.SZ,0,0,0,0.221019385784587,0,0,0.140128095014808,0,0,0,0.577948326467054,0.357914713880427,0,0,0,0,0,0,0.0410566601227315,0.0749977566908277,0,0,0,0.168786296708838,0,0,-0.0379664511938758,0,0,0.0402409078628826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0112940569196844,0,0,0,0,-0.0783862709476375,0,0
