,X600519.SH,X000858.SZ,X002415.SZ,X600104.SH,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000568.SZ,X000338.SZ,X600741.SH,X600703.SH,X601877.SH,X000100.SZ,X000596.SZ,X000661.SZ,X600809.SH,X600271.SH,X002236.SZ,X300003.SZ,X002008.SZ,X300124.SZ,X002007.SZ,X600487.SH,X000625.SZ,X300142.SZ,X002456.SZ,X600498.SH,X600776.SH,X600867.SH,X000157.SZ,X002241.SZ,X300146.SZ,X002180.SZ,X600177.SH,X002371.SZ,X000977.SZ,X002179.SZ,X000050.SZ,X000066.SZ,X600089.SH,X002508.SZ,X600522.SH,X600118.SH,X600066.SH,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.327762868964172,0,0,0.146363326208513,0,0,0,0,0,0,0.0226679055495973,0,0,0,-0.0912794784796048,0,0,0,0.0363717798902886,0,0,0,0,0,0,0,0,0,0,0,0,-0.01185952436103,0.00535625601197035,0,0,0,0,0,0,-0.00320728126620088,0,0,0,0,0,0,0,0,0,0,-0.0176519263168796,0.0349250651806513,0,0,0,-0.0279033108009109,0,0
X000858.SZ,0.0968511188957779,0,0,0,0,0,0.276922268940622,0,0,0,0,0,0.184007414563679,0.0570709315946726,0,0.0226037137706688,0,-0.0268286631739268,0,0,0.151764536963179,0,0.0325136615837871,0,0.00118826839515609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125800026182565,0,0,0,0,0,0,0,0,-0.016569948439202,-0.00980255419798708,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0712386110319472,0,0,0.017259068013793,0.0533407611218154,0.0042601667452262,0,0,0.0633696251533058,-0.00596965423836241,0,0,0,0,0.00885069361754605,0,0.216923600711686,-2.71050543121376e-20,0.099077659535989,0,0,0,0,0,0,0,0,0,0,0.078705144449388,0,0,0,0,0,0,0,0,0,0.0797156437037662,0,0,0,0,0,-0.0369269593541609,0.0589610553916096,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.200283221184216,0,0,0.0793117597530995,0.017981636358691,0.194392670802295,0,0,0,0,0.00671065618874932,0,0,0.113906498644385,0.100784868535753,0,0,0.0521912348723872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409147418139782,0,0,0.103076913724945,0,0,0,0,0,0,0,0,-0.0889526701990264,0,0,0,0.0465497754272894,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,-0.338992185364894,0,0,0,0.266747094042284,0,-0.184286135089233,0,0.136886729858648,0,0,-4.33680868994202e-19,0.442725509033186,0,0,0,0,0,0,0,0,0.0310622652429442,0.106263473950531,0,0,0,0,0,-0.00330846303045806,0,0,0,0,0,0.158977215821632,0.297809919866443,-0.0276418854612838,0,0,0,0.00821064952980944,-0.00861688975341554,0,0,0,0,0,0
X000651.SZ,0.00824142940615821,0.18130542533669,0,0.174087710988676,0.0290088087337767,0,0,0,0,0.186532573928134,0,0,0,0,0,0,0,0,0,0,0,0,0.091097041231749,0,0,0,0,0,0,0.00614459613893354,0,0,0.0221296535707509,0,0,0,0,0,0,0,0,0,-0.0273986842273116,0,0,0,0,0,0,0,0,-0.00169332687211991,0.0156164325577824,0,0,0,0,0,0
X002304.SZ,0,0.053265306951213,0,0,0,0,0,0,0,0,0.107147830225779,0,0.324220598551352,0.0637189808495939,0,0,0,-0.0521171614679198,0.02257522860632,0,0,0,0.0375091152350871,0,0,0,0,0,0,0.101096633142353,0,0,0,0.0191068323142622,0,0,0.117105964183533,0,0,0,0,0,0.00484390806396502,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.0273672124046435,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0957480585133061,0,0.071848962728706,0,0,0,0,0.0156759868613861,0,0.191216639285191,0,0,0,0,0,0,0,0,0.101509985381133,0,0,0.00369421420407237,0.0784922164578453,0,0,0.0795201922800684,0,0,0,0,0,0,0,0,0.2038265580331,0,0,0,0,0,0,0,0,-0.0439508963182073,0.0167254433068387,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,-0.00970311584399142,0,0,0,0,0,0,0,0,0.028725662242768,0,0,0,0,0,0,0,0,0,0,0,0.116894690079062,0,0,0.0790238408430922,0.591801831650639,0.00667857795224199,0,0,0,0,0,0,0,0.177508286804445,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0634874735143926,-0.00341342652862398,0,0,0,0,-0.0974519226910426,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166370510066775,0.0307832543174877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790859198407802,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0697814825324268,0,0,0,0,0.358372603488227,0,0,0,0,0,-0.00357070534229737,-0.0297556676404554,0,0,0,-0.0559133993051018,0,0
