,X600519.SH,X600104.SH,X000858.SZ,X002415.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X600741.SH,X000568.SZ,X600703.SH,X002475.SZ,X600271.SH,X300003.SZ,X601877.SH,X300124.SZ,X600487.SH,X002008.SZ,X000596.SZ,X000661.SZ,X002236.SZ,X600809.SH,X000100.SZ,X600867.SH,X002007.SZ,X002179.SZ,X000625.SZ,X002456.SZ,X300142.SZ,X600066.SH,X600498.SH,X600566.SH,X300146.SZ,X000977.SZ,X000157.SZ,X002294.SZ,X002180.SZ,X600177.SH,X600089.SH,X002241.SZ,X600522.SH,X002506.SZ,X300136.SZ,X600372.SH,X000869.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.299368984769261,0,0,0,0,0,0,0.00766887266628298,0,0,0,0,0,0,0,0.175328979197425,0,0,0,0,0,0,0.0225945887635095,0.14591137820861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471561319084813,0,0,0,0,0,0,0,0,0,0,0,0.0121031382414034,0,0,0,0,0,0
X600104.SH,0,0,0.0609406033980189,0,0,0.269434853436274,0,0,0,0,0,0,0.630460368656672,0,0,0,0,0,0,0,0,0,0,0,0.131091913847341,0.091207041593964,0,0.00959222887744756,0,0,0,0,-0.0326244255790721,0,0,0,0,0,0,0,0,0,0,0,-0.126040182423685,0,0,0,0,0,0,0,0.0140803070567621,0,0,0,0,0,0
X000858.SZ,0,0.093882563554021,0,0.0395259666366245,0,0.0528114268314868,0.0354293701126292,0,0,0,0,0,0,0.414521786696216,0,0,0,0,0.0698040932263908,0,0,0,0.150274088868099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586491776772507,0,0,0,0,0,0
X002415.SZ,0.315642873778486,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0600550748288015,0,-0.00513446077088246,0,6.93889390390723e-18,0,0,0,0.0514787334171542,0.145109870397507,0,0.0512983186963479,0,0,0,0.426002068887717,0,0,0,-0.017922682483401,0,0,0,0,0,0.041338855365452,0,-0.0804053822735384,0.0971138689223755,0,0,0,0,0,0,0,0,0,-0.173470066080519,0,0,0,-0.0034005793608726,0.0161448642973871,0,0,0,0,0,0
X000651.SZ,0.203972536276449,0,0.0763030099328714,0,0,0,0,0,0,0,0,0.0663101349008628,0,0.15882525998086,0,0,0,0,0,0.0797488904424952,0,0.251394407704366,0,-0.026607098169483,-0.0400624173108972,0.00640958152159431,0,0.0891200250179501,-0.0391867488427643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00665377595571009,0.0156302008380396,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.020690232625829,0,0,0,-0.0515073721058574,0,0,0,0,0,0,0.349694490197523,0,0,0,0,0,0.117976721274127,0.0856585408437996,0,0,0,0.0213897672833655,0,0,0,0,0,0,0,0.191303857505956,0,0,0.301883938599809,0,0,0,0,0,0,0,0,0,0,0,0.0188412277749655,0.0272661815536616,0,0,0,0,0,0
X002304.SZ,0,0,0.0802056630152615,0,0,0,0,0,0,0.175256830688818,0,0,0,0.612917975459186,0,0,0,0,0,0,0,0,0,0,0,0.0264154364176765,0,0,0.144131649375899,0,0,0,0,0,0,0,0,0,0,0,-0.16918881142934,0,0,0,0,0,0,0,0,0,0,-0.0206060071398931,0.0262349082126593,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0655325439395227,0,0,0,0,0,0,0.101243601545936,0,0,0.0508208688039622,0,0,0.03104848585323,0,0,0.354256997588602,0,0,0,0,0,0,0,0.137522244076955,0,0,0.0169705247427664,0,0,0.0285567150639119,0,0,0,0.2553407322678,0.104971311111158,0,0.151206856535329,0,0,0,0,0.0248580114658357,0,0,0,0,0,0
X600690.SH,0,-6.93889390390723e-18,0,0.275929998540311,0,0,0,0.0638964415199771,0,0,0.0595403376363409,0,0.123498209671175,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.114391716315375,0,0,0,0,0,0,0,0,-0.0149476240581951,-0.0381564537370074,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00279036227762334,-0.0104283643781674,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.174809052326838,0,0,0,0,0,0,0,0.0443735428156267,0.290531850273908,0,-0.036281426958553,0,0,0.328665326204929,0.0638776672118719,0,0,0,0.0967125920129142,0,0,0,1.73472347597681e-18,0,0.0395585256766284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02542728506367,0,0,0,0,0,0
