,X600519.SH,X000858.SZ,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X000100.SZ,X600271.SH,X000596.SZ,X600809.SH,X000661.SZ,X002236.SZ,X300003.SZ,X300124.SZ,X002008.SZ,X000625.SZ,X002007.SZ,X300142.SZ,X000157.SZ,X600487.SH,X002456.SZ,X002506.SZ,X600498.SH,X600776.SH,X600867.SH,X600177.SH,X600066.SH,X002241.SZ,X000977.SZ,X000050.SZ,X300146.SZ,X002179.SZ,X600089.SH,X002508.SZ,X600522.SH,X002371.SZ,X600118.SH,X002180.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.325962404664588,0,0,0,0.126531997488447,0,-0.0313300692475648,0,0.0146525384569913,0,0,0,0,0,0,-0.0596245966327883,0,0,0,0,0.0467511283802863,0,0,0,0,0,0,0.0317326992227199,0,0.0902218703326384,0,0,0,-0.0144966558333808,0,0,0,0,-0.0400371647341791,0,0,0,0,0,0,0,0,0,0,0,-0.0163184024874066,0.0483228100621301,0,0,0,-0.0330722792115413,0,0
X000858.SZ,0.0778803037050261,0,0,0,0,0,0.258307198955168,0,0,0,0,0.0972299276612621,0,0.18771071305933,0,0,0,-0.0186568490171779,0,0.00951899112227939,0.165189985999215,0,0.0604957478986834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110931218800803,0,0,0,0,0,0,0,0,0,0,0,0,-0.00972892772869604,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0165221575938926,0.172016930619836,0,0.0855987148312889,0,0,0.146173135279318,0,0,0,0,0,0,0,0.10632716552331,0,0,0,0.147647312958279,0,0,0,0,0,0,0,0,0,0,0.099566705059488,0,0,0,0,0,0,0,0,0.0650454098148677,0,0,0,0,-0.0166308779771854,-0.0274101120939124,0,0,0,0.0111083547108752,0,0
X002415.SZ,0,0,0,0,0,0,0.0727392077921499,0,0,0.0468683283833833,0.0662851908882676,0,0.00106579381112375,0,0.0667462604427733,0,-0.00203826461797901,0,0,0,0,0,0.230669974485719,0,0,0.0776281757825696,0,0,0,0,0,0,0,0,0,0,0,0,0.0907982617212541,0,0,0,0,0,0.0669319841608645,0,0,0,0,0,0,-0.0348777788057828,0.0537224063959944,0,0,0,0,0,0
X000651.SZ,0,0.151147895411177,0,0,0,0,0.231366223750185,0,0,0.276284557088648,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0056966174549084,-0.0368183634979853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00703284322748528,0,0,0,0,0,0,0,0.00913731111382248,0,0,0,0.0635874429549907,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0673022230648916,0,0,0,0,0,-0.391256816166408,0,0,0,0.24884709878354,-0.0194607243158723,0,0.230998068455479,0,0.0571954152662687,-0.0703392548109277,0.500365954346155,0,0,0,0,0.0792954525905346,0,0,0,0,0,0,0,0,0,0,0,0.0323031877771486,0,0,0,0,0,0,-0.00559857911275449,0,0,0,0.0369924838219572,0.0172938961961712,0,0,0,0,0,0
X002304.SZ,0,0.0614125446516612,0,0,0,0,0,0,0,0,0.0355538325521152,0,1.38777878078145e-17,0.445587869412925,0,0,0,-0.034731996249504,0,0.130393617665871,0,0,0,-0.0246726753162537,0.0932365965452639,0,0,0,0,0,0,0,-0.0272069283115545,0,-0.0177140001541851,0,0,0,0,0,1.73472347597681e-18,0.0958650324030762,0,0,0.0669457856830873,0,0,0,0.0853667223384758,0,0,0,0,0,0,0,-0.0565830626757665,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.10886899505069,0,0.0987344742175505,0,0.0215375885993131,0,0,0,0,0.235301807797068,0.0510795941115614,0,0,0,0,0,0,0,0,0,0.0194269649206077,0,0,0,0,0,0,0,0.0170594981620802,0,0.0638350241729458,0,0.180021508685379,0,0,0,0,0,0,0,0,0,-0.0578077964183984,-0.0584829568486785,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,-0.0942972722721767,0,0,0,0,0,0,0,0,0,0.027763708709827,0.00571006444783048,0,0,0,0,0,0,0.023780563881773,0,0,0,0,0,0,0.146645439426955,0,0.729410757165736,0.0171358045279731,0,0,0,0,0.146910254781776,0,0,0,0,0,0,0,0,0,0,0,-0.0123323267644907,0,0,0,0,-0.0471638757645709,0,0
X600690.SH,0,0.172468595495694,0.109335004253946,0,0,0,0,0,-0.0759215042762141,0,0,0.00374470892792401,0,0,0,0,0,0,0,0,0,0,0.0308363488590621,0,0,0,0.116055057582223,0,0,0.00461338772881514,0,0,0,0,0,0.00795328774187182,0.141779292731658,0,0,0,0,0,0,0,0.415340506257457,0,0,0,0,0,0,0,-0.034485334049606,0,0,0,-0.046991707107372,0,0
