,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X600741.SH,X000596.SZ,X600809.SH,X000661.SZ,X601877.SH,X600703.SH,X000100.SZ,X002007.SZ,X300003.SZ,X002236.SZ,X000157.SZ,X300142.SZ,X600271.SH,X300124.SZ,X002008.SZ,X002179.SZ,X002506.SZ,X000625.SZ,X600183.SH,X600177.SH,X002371.SZ,X600498.SH,X600867.SH,X600487.SH,X002241.SZ,X000977.SZ,X300014.SZ,X600066.SH,X000050.SZ,X300146.SZ,X600522.SH,X600118.SH,X000066.SZ,X600372.SH,X600776.SH,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.19387731235685,0,0,0,0,0,0.0973874869056419,0,0,0,0.147648690053458,0,0,0,0.00781373214750582,0,0.0204438270275172,0,0,0,0,0,0.118525718660847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122181819510852,0,0,0,0,0,0,0,-0.000413531908708061,0,0,0.180350616941899,0,-2.16840434497101e-19,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,8.3353991908619e-05,0,0.0535541054626543,0,0,0,0,0.308194389490727,0,0,0,0,0,0,0.287111416753778,0,0,0,0,0,0,0,0,0,0,0.0120219617099856,0,0,0,0,0.162436160290982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494660741554547,0,0
X000651.SZ,0,0,0,0,0,0,0.513773533053637,0.0015145596954783,0,0,0,0.0845258771169298,0.205698778966457,0,0.195269858245398,0,0,0.24548015020753,0,-0.0309063281613432,0,0,0,0,0,0,0,0,0,0,0.0220575851603101,0,0,0,0,0,-0.160986162075835,0,-0.0137568762880601,0,0,0,-0.0780074378130995,0,0,0,0,0,0,0,0,0,-0.0315310008810534,0,0,0,0,0,0
X600104.SH,0,0,0.0374105170762321,0,0,0.0219731087076862,0,0,0,0,0,0,0,0,0.287477585710148,0,0,0,0.024617447628328,-0.0027917239027522,0,0.0241797552131484,0.137587423201421,0,0,0,0,0,0,0,0,0.232631050312318,0,0,0,0,0,0,0,0,0,0,0,0.0165434293619311,0,0,0.0144203656718218,0,0,0,0,0.00681119329846606,0,0,0,0,-1.0842021724855e-19,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.142083423462744,0,0,0.0695212012816834,0,-0.0226810664125238,0.16362151699651,0,0,0,0,0.07068852426744,0,0,0,0,0,0,0,0,0,0,0,-0.00757883336115749,0,0.162595397903881,0,0,0,0,0,0,0.0256960796059732,0,-0.125290506821349,-0.0490948383385507,0,0,0.341181948929237,0,0,0,0,0,0,-0.00119549520421604,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.30748856641935,0,0,0,0,0,0,0.00863835873606304,-0.0872321735307155,0,0.0145819101260306,0,0.575143909058685,0,0,0,0,0,-0.257526492212707,-0.0197803797871014,0,0,0,0,0,0.0678439232847943,0.171112940621094,0.0521634463855799,-0.0122219674768973,0,-0.102112333226697,0,0,0,-0.0228717181733214,0,0,0,0,0,-0.00523118244331286,0,0,0,0,-0.00103463833973166,0,0
X002304.SZ,0,0.13286221833564,0.236449013970027,0,0,0,0,0,0,0,0,0,0,0,0,0.215523442883412,0.203391813249077,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846581591293949,0,0,0,0,0,0,0,-0.0837137876431748,-0.0104634346628744,-0.0442652525594128,0,0,0.0655993380004678,-0.0433085686857618,0,0,0,0,0,0,0
X000063.SZ,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.153880207498161,0,0.223063735554179,0,0,0,0,0,0,0,0.0453192056264764,0,0,0,0,0,-0.102059497863654,0,0,0,0,0.104505955408885,0,0.171056483787236,0,0,0,0,0,0,0,0.13744771848163,-0.0365662038583966,0,0,0,0,0,0,0.344820229284057,0.0469455863254549,0,0.0283585956606473,-0.0858956909884044,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224597151419903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189008803240029,0,0,0.0574067658098939,0.0345877127695208,0,0,0,0.375996967829036,0,0,0,0.0434887144648275,0,0,0,0,-0.00751378285031444,0,0,0,0,0.0307306722867816,0,0
X000568.SZ,0,0.265266751471184,0,0,0,0,0,0,0,0,0,0.0545937285510484,0,0,0,0,0.128228095929813,0,0,0.0593559639884232,0,0,0,0.00284822167995418,0,0,0,0,0,0,0,0,0,0,0,0,0.0135892271246847,0,0.194322248982096,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148358540894552,-0.048248494300143,0,0,0,0,0,0
