,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X003816.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600104.SH,X300124.SZ,X000063.SZ,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X600839.SH,X600584.SH,X600089.SH,X000977.SZ,X600703.SH,X600372.SH,X000157.SZ,X002028.SZ,X002456.SZ,X002049.SZ,X002236.SZ,X600522.SH,X600066.SH,X600460.SH,X002129.SZ,X000066.SZ,X601877.SH,X600183.SH,X600741.SH,X002185.SZ,X002085.SZ,X600487.SH,X000800.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.490883408413179,0,0,0.0168969092645354,0,0.0229991669304955,0,0,0,0,0,0,0,-0.0210949792824874,0,0,0.132209399933494,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.024476319912855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179787777072016,0,0,0,0,0,-0.0296532117648121,0,0.0373886725611557,-0.130113588334568,-0.0291873064955533,0,0,-0.0542187669016798,0,0
X000858.SZ,0.395639982035126,0,0,0,0,0,0.482522767527094,0,0,0,0,0,0,0,0,0,0,0,0.00262514502543875,0.0709042757078468,0,0,0,-0.098507842054373,0,0,0.00970110958012679,0,0,0,0,0,0.0290447484586127,0.16013398814516,0.00848188826602812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342245680550949,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,-0.0463034668025069,0,0,0,0,0,0,0,0,0,0,0.0125509753927379,0,0,0.625670313468803,0.130085435447449,-0.0240455011100265,0.108354004975875,0,0,0,0,0,0,0.0194389838273827,0,0.101484852773744,0,0.0192894321105245,-0.0817710150177263,0,0,0,0,0,0,0,0.101029893206069,0,0,0,0,-0.0645831247288541,0.041553048590094,0,0,0,0,0
X600276.SH,0,0.4880495337381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0868878700365894,0,0,0.0503831363353803,-0.135691807453774,0,0,-0.179861462130507,0,0,0,0,0.0470849093126496,0.00592710468327171,0,0,0,0.028469193982831,0,0,0,0,0,0,0,0,0.215832801324281,0,0,0.202188663977699,0,0.120371761634848,-0.164190775062539,0,0,0,0,0,0
X002415.SZ,0.0580684672298833,0,0,0,0,0.186920406036848,0.0689150284536889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158710856202928,0,0,0,0,-0.027780663044027,0,0,0,0,0,0,0,0.124056258401525,0.0236405788210597,0,0,0.0340494044904141,0.063740644164064,0.0642267446947184,0,0,0,0,0,0,0,0,0,0,-0.00198056939084428,0,0.078931866907019,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.322542253880386,0,0,0,0,0,0,0,0,0.140709731373918,0,0,0,0,0,0,0.110302961358519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132625678169932,0,0.016805421132058,0,0,0,0,0,-0.0110575338496909,-1.0842021724855e-19,0,0,0,0.0154067119710784,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.114800541234849,0.536171480105078,0,0,0,0,0,0,0,0,0.21920544441854,0,0.00139958553593503,0,0.00935242484796328,0,0,0,0,0,0,0,0.113725153195464,0,0,0,0,0,0,0,0,0,-0.0543698711779985,0,0,0,0,0.0555924729713016,-0.0264148375991517,0,0,0,0.0294935087680943,0,0.0324502741581086,0,0,-0.0221199258492475,0,0
X000651.SZ,0,0,0,0,-8.67361737988404e-19,0.427449448735701,0,0,0,0.091872480431225,0,0,0.006728028625256,0.055743582419389,0,0,0,0.0554814904490554,0,0,0,0,0,0,0,0,0.00729836331864003,0,0,-0.0473581683035475,0,0.0828454656222875,0,0,0.0526636553020076,0,0,0,0.0758038437610305,-0.0603192318812987,0,0,0,0,0,0,0,0,0,0,0,0.0164624464289963,-0.0502042891626427,0,0,0,0.113530790708723,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222545906435506,0,0,0,0,0,0,0,0,0,0,0.00632279865930478,0,0.07800440762279,0,0.0816122751915366,0,0,0,0,0,0,0,0,0,0.301366843683025,0,0,0,0,0,0,0.0261422825695976,0,0,0,0,0.0594794903387657,-0.0708311455087428,0,0.0444878935275717,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.476451402507954,0,0,0,0,0,0,0,0,0,0,0,0,0.318466128795881,0,0,0,0,-0.176323013208113,0.157925007159469,0,-0.00408366154853101,0,0,-0.0928149317661771,0,0,0.376203548582099,-0.141376781246173,0,0,0,0,0,0,-0.171693424899219,0,0,0,-0.0283068035197867,-0.0328362640016374,0,0,0,0,0,-0.0615765492049483,0,0.248171132221289,0,0,-0.114435918083313,0,0
