,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X002475.SZ,X002304.SZ,X300124.SZ,X300014.SZ,X000651.SZ,X600104.SH,X002371.SZ,X002129.SZ,X000725.SZ,X003816.SZ,X002049.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002179.SZ,X000063.SZ,X600089.SH,X000338.SZ,X002241.SZ,X600703.SH,X002180.SZ,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X000100.SZ,X601877.SH,X002074.SZ,X600741.SH,X000157.SZ,X300003.SZ,X600460.SH,X600487.SH,X600884.SH,X600584.SH,X600702.SH,X002414.SZ,X600563.SH,X002236.SZ,X601799.SH,X002007.SZ,X600372.SH,X000799.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.197137664356187,0,0.364605894577541,0,0.0737239702040593,0.0454722215629901,0,0,0,0.0235445379003145,0,0,0.0600216955347882,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525030409615507,0,0,-0.146844110473871,0,0.0216053273769218,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138468411801067,0.0106201657195987,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0724881122609156,-8.67361737988404e-19,0.160441322682032,0,0,0.034023359412506,0,0,0.114467112625728,0,0.110902648826444,0,0,0,0,0,0,0.0391234502370599,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0474669026758271,0,0,0,0,0,0,0,0.208236259868746,-0.101813447136938,0,0,0,0,0,0.0477203869095046,0,0.0330227391697311,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.100087537795875,0,0,-0.0452519148285617,0,0,0,0,0,0,0,0,0,0,0,0,-0.031630523908695,0,0,0,0,-0.139969769345605,0,0,0.012148516180651,0,0.300304137868247,0,0,0,0,0,0,0,0.294000565535655,0,0,-0.213027367540302,0.193486665567158,0,0,0,0,0,0,0.00407759420647017,0,0,0,0,0,0
X600809.SH,0.114199950321867,0,0,0,0,0.653400127811549,0,0,0,-0.147216411079677,0,0,0,0.0386768267632018,0,0,0,-0.0940653951519181,0,0,0,0,0,-0.0211769817463347,0,0,0,0,-0.0759404766438051,0.116440256292172,0,0,0,0,0,0,0,0.142868128501928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.1760530856525,-0.0100209697015738,0,0,0.0540857748015155,0,0,0,0,0,0,0,0,0.246311977147918,0,0,0,0.0429109171509715,0,0,0.00785552894356774,0,0,0,0,0,0,0,0.150611838435151,0,-0.12343076767216,0,0,0,-0.0322908150491761,-0.088176415330923,0,0,0.105474371883901,0,0,0,0.0930042846055173,-0.186049659875034,0,0,0,0,0,0
X000568.SZ,0,0,0,0.880828588699437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062127346789451,0,0,0,0,0,0,0,0.116454361210978,0.103060887347635,0,0,0,0,0,0,0,0,0,0,0,-0.0361916832829087,0.0404583042585924,0,0,0,0,0,0,0,0,0,0.0246108638449576,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.140663832713251,0,0,0,0,0,0.478581015067449,0,0,0.099891135502741,0,0,0,0,-0.108234908128522,0,0,0,0.148320989694502,0,0.0611691087418949,0,-0.136938379805174,0.00715052759010872,0,0,0,0,0,0,0,0,0,0,0,-0.0502723308031039,0,0.0524799273918718,-0.101427947035121,0,0,0.0992242509820712,0,0,0,0,-0.0623862987252144,0.0288474653855581,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.340880403662953,0.18315577888091,0,0,0.00406799125129639,0,0,0,0,0,0,0,0,0,-0.0212454639198268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228641532161988,0,0,0,0.052471350734229,0,0.179874278137963,0,0,0,0,0,0,0.00927014193161506,0,0,0,0,0,0
X002304.SZ,0,0.264688113045663,0,0,0,0,0,0,0,0,-0.11462653731039,0,0.00253431655903885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212073012077852,-0.188426685975725,0,0,0.0836335492391199,0.0236249174478972,0,0,0,0,0.0179408054820697,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.135729811383543,0,0,-0.103229133557145,0.0285610764418155,0,0,0,0,0,-0.0840382541302597,0,0,0,0,0,0.257360280282042,0,0,0,0,0,0.104146546213714,0,0,0,0,0,0,0,0,0.119119671239194,0,0,0,0,-0.199097269766019,0,0,0,-0.0682290901285656,0,0,0,0,0.284805076907172,0,-0.0998865822134571,0.00611746272747927,0,0,0,0,0,0,0
