,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000063.SZ,X000725.SZ,X002129.SZ,X600031.SH,X002371.SZ,X000596.SZ,X003816.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002180.SZ,X002241.SZ,X300142.SZ,X600702.SH,X601877.SH,X000157.SZ,X600741.SH,X000733.SZ,X002236.SZ,X600522.SH,X600584.SH,X002074.SZ,X600460.SH,X000977.SZ,X000066.SZ,X000799.SZ,X300003.SZ,X600183.SH,X002007.SZ,X000800.SZ,X600118.SH,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.022000318926557,0,0,0.180218758671276,0,0.184383160921029,0,0,0.0570734400872638,0,0,0.118747083739239,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297546596322343,0,0,0,0,0,0.0511405713405349,0,0,0,0,0,0,0,0,0,0,-0.00501184948387154,0.0695065093340625,0,0.00735907146460721,0,0,-0.0608159031260466,0,0,0.00427413740522977,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0457198310640034,0,0.0926729096569562,0,0.564946812380483,0.0645502112350912,0.177218477355193,0,0,0,0,0,0,0,0,0,0,0,0.0425313674521207,0,0,0,0,0,0,0,0,0,0.0963591783858481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308167280976206,0.00516142158353723,0,0,0,0,0,0
X002415.SZ,0,0.0961377670720298,0,0,0.027301352230075,0,0,0,0,0,0,0,0,0,0,0,0.0885404109118684,0,0,0.0763072473523767,0,0,0,0,0.0160347547283298,0,0,0,0.118636524285359,0,0,0,-0.01773560256523,-0.149487898911719,0,-1.38777878078145e-17,0.148760151776221,-0.117825914746554,0,0,0,0.0916436376376546,0,0,0,0,-0.0604395183106909,0,-0.051212104965703,0,0,0,-0.0285594382849585,0,0,0,0,0,0
X000568.SZ,0,0.43787975956185,0,0,0,0,0.350635686422156,0.0521399388834872,0,0,0,0,0,0,0,0,0,0,0,-0.0527358354786522,0,0,0,0,-0.165561265619153,0,0,0,0,0,0,0,0,0,0,-0.0574629719012021,0,-0.122078743899032,0,0,0,-0.0468440539421122,0,0,0,0.296510038169905,0,0.0393748135545196,0.063786820352496,0,0,0.0154608800370779,-0.027132544000152,0,0,0,0,0,0
X600809.SH,0,0.066794814694378,0.0908263344090361,0.101693481298825,0,0,0.162240861622224,0.119846192648276,0,0,0,0,0,0,0,0,0,0,0,0.0585404234252412,0,0,0,-0.0105399708802846,0,0,0,0,0,0,0,0,0.0754846690752386,0,0,-0.0151885949714285,0,-0.109639738665711,0,0,0,0,-0.023442220123407,0.25711832489189,0,-0.0101278367964711,0,0,0,0,0,0,-0.00379508845399355,0,0,0,0,0,0
X600276.SH,0,0,0,0.179183994675269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0883171216333532,0.201588507463508,0,0,0,0,0,-0.135143735486474,0,0.406312741912718,0,0.116494390965535,0,0.0960388172788688,0,0,0,0,0,0.0337578627360203,0.0242629493813557,0,0,0,0,-0.026154686454836,-0.0341321470768596,0.0280477558038832,0,0,0,0,0,0
X002304.SZ,0,0.276425742980393,0,0.404322489100133,0,0,0,0,0,0,0,0,-0.0387567043560823,0,0,0.0744632082001235,0,0.240552747561829,0,0,0,0,0,0,0,0,0,0,0,-0.0501098133590244,0,0,0,0,0,0.0312840047363351,0,0,0,0,0,0,-0.0411819609275168,0,-0.0848022236173066,0,-0.0127696644290969,0,-0.0186791033223079,0,0,-0.00538898426675701,0.00372292558767883,0,0,0,0,0,0
X600690.SH,0,0,0,0.149379768322624,0,0,0,0,0,0,0.0671419727987975,0,0,0,-0.0366901680165019,0.13265759360211,0,0,0,0,0.0152025371556251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11335375348566,0,0,0,0,0,0,0.00663974580516326,0,0,0,0,0,0,0,0,0,0.00172997288969069,0,0,0,0,0,0,0
X000651.SZ,0,0.211277239550918,0,0,0,0,0.0110483427079207,0.338977970563163,0,0,0,0,0,0,0,0,0,0,0,0,0.0751226480446739,0.0797390398966705,0,0,0,0,0,0,0,0,0.0119942025094484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010078992408187,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.279402543238244,0,-0.0806287833971033,0,0,0,0,0,0,0.0853388584167331,0,0,0.102431716216343,0,0,0,0,0,0,0,0,0,0,0,0.033730904070448,0.278987173779642,0,0.23016931754646,0,0.250369008542842,0,-0.0595856752769804,0,0,0,0,0.0459987139222642,0,0,0,0.607870367528936,-0.00411715197709151,0,0,0,0,0,0,0
X300124.SZ,0,-0.0808775693883333,0,0,0,0,0,0,0,0.164295754912793,0,0,0,0,-0.0417081913395659,0,0.053345478783065,0,0,0.111189342219515,0,0,0,0,0,0,0,-0.464890120705327,0.0629157539896626,0.0216220203339656,0,0.229883248083043,0.00472351998260443,0,0,0,0,0,0,0,0.120222571337562,0.263620017027264,0,0,-0.0282348087353524,0,0.126181972572161,0,0,0,0,-0.0320995664034251,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0862841179810991,0,0,0,0,0.0177285075992905,0,0,0,0,0.0240817601455919,0,0,-0.0593291751530513,0,0.038083188929731,0,0.142714535605464,0,0,0,0,0,0,0,0,-0.00380420095546131,0,0,0,0,0.267808265483765,0,0,0,0,0,0,0.0476719395140618,0,0,0,0,0,0,0,0,-0.0296768914264184,0.060279742305023,-0.047552837239118,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.111142261826059,0,0,0,0,0,0.0670941581814347,0,0,0,0.0668934351849722,-0.135220004528445,0.18309522973146,0.1566498027631,0,0,0,0,0,0,0,0,-0.0424591779803973,0,0,0,0,0,0,0,0,0,0.24634507635377,0,0.0932660249767232,0,0,0.0744664781879022,0,0,0,0.264707802832575,0,0,0,0,0.0641479428265522,0.00344253179456732,-8.67361737988404e-19,0,0,0,0,0,0
