,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X000100.SZ,X300124.SZ,X002236.SZ,X000625.SZ,X300003.SZ,X600498.SH,X600487.SH,X002008.SZ,X000661.SZ,X600809.SH,X002007.SZ,X300142.SZ,X002179.SZ,X000157.SZ,X600066.SH,X600867.SH,X600089.SH,X000596.SZ,X600177.SH,X600566.SH,X600372.SH,X600522.SH,X002506.SZ,X002456.SZ,X002180.SZ,X300146.SZ,X002241.SZ,X600118.SH,X600183.SH,X002294.SZ,X000977.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.306295724305321,0.051860319049041,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519249177839764,-0.0105444840469188,0,0,0,0.0218043747031097,0,0,0,0,0,0,0,0,0,0,0.492217383606666,0,0,0,0,0,0,0,0.0109593552394829,0,0,0,0,0,0,0,-0.0068447170492349,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0337317267091012,0,0.1472885710184,0,0.040356213369906,0,0,0,0,0,0,0,0,0,0,0.0733988443721532,0.0254148091233366,0,0.104416167285683,0.0585038628201327,0,0.0609540284738207,-0.0177134587109195,0,0,0,0,0,0,-0.142179319160422,0,0,0,0.19787299132246,0,0,0,-0.11583547439709,0,0,0,0,0,0,0.0769631607664139,0,0,0.00458022183223833,-0.0508077193850135,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10430568663705,0,0.691657117588565,0,0,0,1.73472347597681e-18,0.0275512769953194,-0.00617173505524306,0,-0.0156581506307179,-0.00655410499071439,0,0,0,0,0,0,0,0,-0.0595293235391545,0,0,0.114869057523413,-0.0425676361453633,0,0,0,0,0,-0.0321783751211734,0,-0.138179277910846,-0.00467671922310629,-2.16840434497101e-19,0,0,0,0,0,0
X000651.SZ,0.179581110594998,0,0,0,0,0,0.192373639221292,0,0.149628658223294,0,0.162978779700676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124965931978878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167224076151788,0,0,0,0,0.0192112347412286,-0.00888866736379959,0,0,0,0.106330677782672,0,0
X600276.SH,0,0,0,0,0,0,0,0.00355715607119395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43789116915327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165054862631219,0,0,0,0,0,0,0,0,0.192695249376445,0,0,0,0,0,0.0120147623549301,0.0209854559559687,0,0,0,-0.0398740442717672,0,0
X000858.SZ,0.284837249306661,0,0,0,0,0,0.127160730431838,0,0.119884192604878,0,0,0,0,0.120782092312416,0,0,0,0,0,0,0,0,0,0.01655054992435,0,0,-0.0398709605572792,0.130038010047745,0,0,0,0,0.10447152035574,-0.0880312554102554,0,0.128277838318953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00220676458611356,0.0187711332805358,0,0,0,0,0,0
X002304.SZ,0.0136377204692597,0,0,0,0,0,0,0,0,0,0,0,0,0.434463831749043,0,0,-0.0832670199871188,0,0,0,0,0,0.14828769382152,0,0,0,0,0.171136881975171,0,-0.115033853956781,0,0,0,0,0,0.285872814209087,0,0,0,0,0,0,0,0.0169581464190517,0,0,0,0,0,2.16840434497101e-19,0,-0.0124098058853319,0.0419468761239228,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.155960315319169,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0331429718781958,0,0.0353799635334498,0,0,0,0,0.107319686545929,0,0,0,0,0,0.0253126406204815,0,0.218728502999789,0,0.087269310161709,0,-0.129966427461244,0,0.165812916585368,0,0.206331049045363,0,0,0,0.00321047144753349,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.208044158299833,0,0,-0.0209003029275059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214395227071546,0,0,0,0,0.0400234625865418,0,0,0,0,0,0,0,0,-0.0371845493773905,0,0.0630527029332435,0,0,0,0,0.545844986398518,0,0,-0.0210687158914627,-0.00958327671980197,0,0,0,-0.0514140751646512,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428655411699907,0,0,0,0.204652798111588,0,0,0,0,0,0.297928891381726,0.159004037349662,0,0,0,0,0.0618165037945105,0,0,0,0,0,0,0,0,0.217189133201719,0.0771199581328186,0,0.0684499187183441,0,0,0,0,0,0,0,0,0,0.0303870156844244,-0.0500623490325458,0,0,0,0.122341258034086,0,0
